NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	FN1	7	0.5741158127784729	0.27376357	Yes	
row_1	ITGA2B	ITGA2B	105	0.34764614701271057	0.43475348	Yes	
row_2	ITGA4	ITGA4	606	0.1416163593530655	0.47659025	Yes	
row_3	VCL	VCL	1115	0.09631027281284332	0.49638206	Yes	
row_4	ACTN1	ACTN1	1232	0.08955872803926468	0.53316265	Yes	
row_5	PXN	PXN	1242	0.0886283591389656	0.5750162	Yes	
row_6	ITGAV	ITGAV	1440	0.0785636231303215	0.6023704	Yes	
row_7	ITGA5	ITGA5	2202	0.05293596163392067	0.5884069	Yes	
row_8	ITGB1	ITGB1	2206	0.05282575637102127	0.6134751	Yes	
row_9	ITGA2	ITGA2	2339	0.04962464049458504	0.6303632	Yes	
row_10	ITGA8	ITGA8	2967	0.03694319725036621	0.615673	No	
row_11	ILK	ILK	3042	0.03586016967892647	0.6289797	No	
row_12	TLN1	TLN1	3350	0.030779913067817688	0.6278466	No	
row_13	ITGB7	ITGB7	4006	0.023598162457346916	0.6053407	No	
row_14	ITGB6	ITGB6	4008	0.023572267964482307	0.61654425	No	
row_15	ITGB3	ITGB3	4447	0.01933661662042141	0.6031927	No	
row_16	ITGA10	ITGA10	5004	0.01500479131937027	0.5816884	No	
row_17	ACTG1	ACTG1	6283	0.008259408175945282	0.51973534	No	
row_18	ACTB	ACTB	7384	0.0037902884650975466	0.46482652	No	
row_19	PTK2	PTK2	8531	-1.0473816473677289E-5	0.4057411	No	
row_20	ITGA1	ITGA1	9485	-0.002987332409247756	0.35802856	No	
row_21	ACTN4	ACTN4	9501	-0.0030455668456852436	0.3587093	No	
row_22	ITGA9	ITGA9	9999	-0.004719813819974661	0.3353364	No	
row_23	ITGA7	ITGA7	10361	-0.006057691294699907	0.31961477	No	
row_24	ITGB5	ITGB5	12623	-0.015074682421982288	0.21023007	No	
row_25	ITGA3	ITGA3	13226	-0.01812356896698475	0.18784304	No	
row_26	ITGB4	ITGB4	16828	-0.05062849074602127	0.026340766	No	
row_27	TLN2	TLN2	18273	-0.0827120840549469	-0.008622508	No	
row_28	ITGB8	ITGB8	19084	-0.1420309841632843	0.017427882	No	
