NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHRM5	CHRM5	47	0.4306490123271942	0.47182798	Yes	
row_1	ITPR2	ITPR2	1305	0.08530422300100327	0.5009884	Yes	
row_2	PLCB2	PLCB2	1321	0.08436650037765503	0.59312356	Yes	
row_3	GNAQ	GNAQ	2291	0.050658561289310455	0.5989729	Yes	
row_4	ITPR1	ITPR1	2957	0.037027206271886826	0.6054777	Yes	
row_5	CYCS	CYCS	3185	0.033388618379831314	0.6305481	Yes	
row_6	SLC25A5	SLC25A5	4375	0.01992076262831688	0.5912097	No	
row_7	SLC25A31	SLC25A31	6029	0.009333506226539612	0.5162996	No	
row_8	CHRM1	CHRM1	6152	0.008821282535791397	0.51972663	No	
row_9	VDAC3	VDAC3	6195	0.00864977203309536	0.5270876	No	
row_10	VDAC2	VDAC2	6668	0.006647688802331686	0.5100835	No	
row_11	VDAC1	VDAC1	7077	0.004952868912369013	0.49451125	No	
row_12	CHRM3	CHRM3	9780	-0.003942220471799374	0.35960296	No	
row_13	PLCB4	PLCB4	11252	-0.009329053573310375	0.2940674	No	
row_14	PLCB3	PLCB3	12070	-0.012503503821790218	0.2657321	No	
row_15	SLC25A4	SLC25A4	13381	-0.019051434472203255	0.21920057	No	
row_16	ITPR3	ITPR3	14513	-0.026783455163240433	0.19040878	No	
row_17	MCU	MCU	14600	-0.027593357488512993	0.21636376	No	
row_18	PLCB1	PLCB1	14808	-0.02913995273411274	0.23778608	No	
