NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX11	COX11	3021	0.036254677921533585	-0.12928215	No	
row_1	SDHD	SDHD	4096	0.022654669359326363	-0.1680566	No	
row_2	UQCRC2	UQCRC2	4564	0.01847994700074196	-0.17856622	No	
row_3	COA5	COA5	4573	0.01843474991619587	-0.16541265	No	
row_4	COX6A2	COX6A2	6179	0.00870589166879654	-0.24186587	No	
row_5	NDUFS1	NDUFS1	7763	0.002525343094021082	-0.32173175	No	
row_6	NDUFAF5	NDUFAF5	8470	1.7943562124855816E-4	-0.35804778	No	
row_7	NDUFB10	NDUFB10	9004	-0.0015194920124486089	-0.38444635	No	
row_8	COX4I1	COX4I1	9111	-0.0018337505171075463	-0.38856924	No	
row_9	NDUFS6	NDUFS6	9808	-0.00403903191909194	-0.42152867	No	
row_10	SDHA	SDHA	10168	-0.005295773036777973	-0.43616518	No	
row_11	COX6B1	COX6B1	10672	-0.0071624345146119595	-0.45686218	No	
row_12	COX5A	COX5A	10817	-0.007661876268684864	-0.4586578	No	
row_13	SDHB	SDHB	11382	-0.009736798703670502	-0.48060945	No	
row_14	NDUFB8	NDUFB8	11501	-0.010244132950901985	-0.47916242	No	
row_15	NDUFS4	NDUFS4	11672	-0.010927043855190277	-0.4798974	No	
row_16	UCP1	UCP1	11688	-0.010984035208821297	-0.4725884	No	
row_17	NDUFV2	NDUFV2	12513	-0.014522522687911987	-0.50444096	Yes	
row_18	NDUFAF6	NDUFAF6	12611	-0.015033124014735222	-0.49838546	Yes	
row_19	NDUFA4	NDUFA4	12827	-0.016047321259975433	-0.49767548	Yes	
row_20	NDUFA9	NDUFA9	12959	-0.01670699194073677	-0.49214345	Yes	
row_21	CYC1	CYC1	13047	-0.01712777279317379	-0.4840302	Yes	
row_22	NDUFB3	NDUFB3	13082	-0.017277395352721214	-0.47307062	Yes	
row_23	NDUFA12	NDUFA12	13361	-0.01891338638961315	-0.47350392	Yes	
row_24	NDUFV1	NDUFV1	13385	-0.0190788134932518	-0.46065077	Yes	
row_25	NDUFC2	NDUFC2	13427	-0.019335908815264702	-0.44853768	Yes	
row_26	UQCRB	UQCRB	13476	-0.01963684894144535	-0.4365645	Yes	
row_27	NDUFAF2	NDUFAF2	13655	-0.02090594172477722	-0.4303688	Yes	
row_28	NDUFB7	NDUFB7	13809	-0.021887196227908134	-0.4221603	Yes	
row_29	NDUFA10	NDUFA10	13861	-0.022177888080477715	-0.408472	Yes	
row_30	SDHC	SDHC	13865	-0.022188816219568253	-0.3922976	Yes	
row_31	COX15	COX15	13917	-0.022511694580316544	-0.37836367	Yes	
row_32	NDUFA8	NDUFA8	13976	-0.022892918437719345	-0.36451054	Yes	
row_33	UQCRFS1	UQCRFS1	14058	-0.0234437994658947	-0.35143942	Yes	
row_34	NDUFA1	NDUFA1	14447	-0.02633543312549591	-0.3520895	Yes	
row_35	NDUFA11	NDUFA11	14453	-0.026375478133559227	-0.3329373	Yes	
row_36	COX16	COX16	14819	-0.029340572655200958	-0.33018845	Yes	
row_37	NDUFS7	NDUFS7	14910	-0.02993599884212017	-0.3128042	Yes	
row_38	NDUFS8	NDUFS8	14945	-0.030292412266135216	-0.29226658	Yes	
row_39	COX14	COX14	14987	-0.030671505257487297	-0.27181137	Yes	
row_40	UQCRQ	UQCRQ	15067	-0.031358685344457626	-0.25281224	Yes	
row_41	NDUFS3	NDUFS3	15513	-0.035437554121017456	-0.24970655	Yes	
row_42	NDUFAF4	NDUFAF4	15591	-0.03605164587497711	-0.22715051	Yes	
row_43	NDUFB11	NDUFB11	15700	-0.037104833871126175	-0.20541981	Yes	
row_44	COX10	COX10	15710	-0.03720603883266449	-0.17850363	Yes	
row_45	COX8A	COX8A	16295	-0.04384390637278557	-0.17638758	Yes	
row_46	COX20	COX20	16694	-0.04895353317260742	-0.16090874	Yes	
row_47	COA3	COA3	16755	-0.049737349152565	-0.12740342	Yes	
row_48	NDUFA13	NDUFA13	16835	-0.050843894481658936	-0.09406465	Yes	
row_49	NDUFAF3	NDUFAF3	16850	-0.05105239525437355	-0.05721675	Yes	
row_50	COA6	COA6	17317	-0.05805211514234543	-0.038552634	Yes	
row_51	NDUFAF1	NDUFAF1	18610	-0.09825614094734192	-0.032944687	Yes	
row_52	NDUFS2	NDUFS2	18672	-0.10165932774543762	0.038719635	Yes	
