NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZWINT	ZWINT	5404	0.012432589195668697	-0.25836188	No	
row_1	NSL1	NSL1	7144	0.004689130000770092	-0.34038904	No	
row_2	NUF2	NUF2	7901	0.0021191993728280067	-0.37591842	No	
row_3	KNL1	KNL1	10982	-0.008322859182953835	-0.5211707	No	
row_4	CENPW	CENPW	11188	-0.009096906520426273	-0.51702094	No	
row_5	SPC25	SPC25	12012	-0.01223379373550415	-0.53964335	No	
row_6	CDCA8	CDCA8	13761	-0.021629801020026207	-0.59473413	No	
row_7	NDC80	NDC80	15894	-0.03903554007411003	-0.64146024	Yes	
row_8	PMF1	PMF1	15992	-0.040146876126527786	-0.5815244	Yes	
row_9	CENPT	CENPT	16035	-0.04068233445286751	-0.5178883	Yes	
row_10	CENPC	CENPC	16347	-0.04437415674328804	-0.4621427	Yes	
row_11	MIS12	MIS12	16973	-0.05248751491308212	-0.40945497	Yes	
row_12	INCENP	INCENP	17049	-0.053550757467746735	-0.32670578	Yes	
row_13	BIRC5	BIRC5	17163	-0.05555563420057297	-0.24267201	Yes	
row_14	DSN1	DSN1	17630	-0.06463588774204254	-0.16214192	Yes	
row_15	SPC24	SPC24	18046	-0.07483123987913132	-0.062493637	Yes	
row_16	AURKB	AURKB	18264	-0.08244500309228897	0.05967232	Yes	
