NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPA1	RPA1	2443	0.04728756472468376	-0.0817025	No	
row_1	RFC4	RFC4	2713	0.0416126623749733	-0.056615554	No	
row_2	PRIM1	PRIM1	3364	0.030611686408519745	-0.06147403	No	
row_3	GINS4	GINS4	3828	0.025219352915883064	-0.061738174	No	
row_4	WDHD1	WDHD1	4900	0.01584056206047535	-0.102134295	No	
row_5	RFC1	RFC1	5377	0.012550958432257175	-0.11492898	No	
row_6	POLE3	POLE3	6642	0.006754083093255758	-0.17378394	No	
row_7	PRIM2	PRIM2	8545	-5.565179526456632E-5	-0.27180848	No	
row_8	RFC5	RFC5	9511	-0.0030661742202937603	-0.31869814	No	
row_9	POLA1	POLA1	9642	-0.0035015172325074673	-0.32212344	No	
row_10	GINS1	GINS1	10016	-0.004792733117938042	-0.33687022	No	
row_11	RFC2	RFC2	11674	-0.010935506783425808	-0.41207555	No	
row_12	MCM7	MCM7	12383	-0.013926675543189049	-0.43554536	No	
row_13	PCNA	PCNA	12704	-0.015439380891621113	-0.43759176	No	
row_14	MCM3	MCM3	14555	-0.027198826894164085	-0.50752336	Yes	
row_15	MCM5	MCM5	15125	-0.0318639874458313	-0.5070327	Yes	
row_16	POLE4	POLE4	15636	-0.03641264885663986	-0.49924117	Yes	
row_17	MCM6	MCM6	15678	-0.036788925528526306	-0.4669134	Yes	
row_18	RPA2	RPA2	15844	-0.038492895662784576	-0.43938443	Yes	
row_19	RPA3	RPA3	16028	-0.04055320471525192	-0.41085476	Yes	
row_20	POLA2	POLA2	16097	-0.04142598435282707	-0.37557802	Yes	
row_21	POLE	POLE	16681	-0.04875174164772034	-0.35999885	Yes	
row_22	POLE2	POLE2	16975	-0.052516039460897446	-0.32594168	Yes	
row_23	MCM10	MCM10	17338	-0.05860701948404312	-0.28974012	Yes	
row_24	RFC3	RFC3	17647	-0.06504857540130615	-0.24472341	Yes	
row_25	MCM4	MCM4	17665	-0.06545484811067581	-0.18432096	Yes	
row_26	GINS2	GINS2	17816	-0.06851790100336075	-0.12790899	Yes	
row_27	CDC45	CDC45	17969	-0.07291922718286514	-0.06747962	Yes	
row_28	GINS3	GINS3	18033	-0.07452282309532166	-9.5967477E-4	Yes	
row_29	MCM2	MCM2	18118	-0.07747434079647064	0.06724063	Yes	
