NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAMK1G	CAMK1G	464	0.1648206114768982	0.2009562	Yes	
row_1	CAMK2A	CAMK2A	858	0.11398915946483612	0.33622125	Yes	
row_2	CAMK1D	CAMK1D	922	0.10895894467830658	0.48162854	Yes	
row_3	CAMK2G	CAMK2G	938	0.10825599730014801	0.6285503	Yes	
row_4	PLCG2	PLCG2	2092	0.05601544678211212	0.64555806	Yes	
row_5	PDGFB	PDGFB	2387	0.0484355129301548	0.69648916	Yes	
row_6	PDGFRA	PDGFRA	2827	0.03964756429195404	0.72795886	Yes	
row_7	CALM2	CALM2	6032	0.009319478645920753	0.5755699	No	
row_8	CAMK2B	CAMK2B	6807	0.006027182098478079	0.5439083	No	
row_9	CAMK4	CAMK4	7988	0.001828084117732942	0.48559645	No	
row_10	CALM3	CALM3	8856	-9.87485283985734E-4	0.44226676	No	
row_11	PDGFRB	PDGFRB	10002	-0.004728895612061024	0.3897161	No	
row_12	PLCG1	PLCG1	10542	-0.006688975263386965	0.371067	No	
row_13	CALM1	CALM1	11583	-0.010553071275353432	0.33187297	No	
row_14	PDGFA	PDGFA	11796	-0.011380268260836601	0.33647475	No	
row_15	CAMK1	CAMK1	13488	-0.019711069762706757	0.27622873	No	
row_16	CAMK2D	CAMK2D	13760	-0.021623756736516953	0.29176548	No	
