NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ORC2	ORC2	3117	0.03459072485566139	-0.123785324	No	
row_1	GINS4	GINS4	3828	0.025219352915883064	-0.13347475	No	
row_2	TOPBP1	TOPBP1	5011	0.014973356388509274	-0.17843443	No	
row_3	POLE3	POLE3	6642	0.006754083093255758	-0.2552639	No	
row_4	ORC5	ORC5	6828	0.005928652826696634	-0.2584744	No	
row_5	ORC4	ORC4	8119	0.0013322229497134686	-0.32356113	No	
row_6	GINS1	GINS1	10016	-0.004792733117938042	-0.41619805	No	
row_7	CDC6	CDC6	10571	-0.006793895270675421	-0.4375097	No	
row_8	RECQL4	RECQL4	11951	-0.012022243812680244	-0.49577573	No	
row_9	MCM7	MCM7	12383	-0.013926675543189049	-0.5031332	No	
row_10	TICRR	TICRR	13164	-0.01779862307012081	-0.5243516	No	
row_11	MTBP	MTBP	14108	-0.023769386112689972	-0.54760134	Yes	
row_12	ORC3	ORC3	14554	-0.027185890823602676	-0.5415293	Yes	
row_13	MCM3	MCM3	14555	-0.027198826894164085	-0.5125006	Yes	
row_14	MCM5	MCM5	15125	-0.0318639874458313	-0.50782883	Yes	
row_15	ORC6	ORC6	15411	-0.034346841275691986	-0.48586494	Yes	
row_16	POLE4	POLE4	15636	-0.03641264885663986	-0.45855132	Yes	
row_17	MCM6	MCM6	15678	-0.036788925528526306	-0.42140114	Yes	
row_18	ORC1	ORC1	15753	-0.03760925680398941	-0.38507685	Yes	
row_19	POLE	POLE	16681	-0.04875174164772034	-0.38083854	Yes	
row_20	POLE2	POLE2	16975	-0.052516039460897446	-0.33989558	Yes	
row_21	MCM4	MCM4	17665	-0.06545484811067581	-0.30555984	Yes	
row_22	GINS2	GINS2	17816	-0.06851790100336075	-0.24016578	Yes	
row_23	CDC45	CDC45	17969	-0.07291922718286514	-0.17017739	Yes	
row_24	GINS3	GINS3	18033	-0.07452282309532166	-0.09388893	Yes	
row_25	MCM2	MCM2	18118	-0.07747434079647064	-0.015533078	Yes	
row_26	CDT1	CDT1	18120	-0.07749791443347931	0.06712716	Yes	
