NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCF1	NCF1	220	0.24228516221046448	0.11250952	Yes	
row_1	NCF2	NCF2	280	0.2168358713388443	0.22031121	Yes	
row_2	EGR1	EGR1	291	0.21184855699539185	0.32809	Yes	
row_3	CREB5	CREB5	389	0.1795867681503296	0.41489103	Yes	
row_4	NCF4	NCF4	680	0.13283218443393707	0.46784016	Yes	
row_5	RAC2	RAC2	735	0.12714168429374695	0.5300491	Yes	
row_6	PIK3CD	PIK3CD	789	0.12175723165273666	0.5895571	Yes	
row_7	PIK3CB	PIK3CB	790	0.12159621715545654	0.65171564	Yes	
row_8	CYBB	CYBB	1097	0.09728261083364487	0.6856672	Yes	
row_9	PRKCD	PRKCD	1578	0.07285360991954803	0.6981592	Yes	
row_10	MAPK3	MAPK3	1947	0.06014203652739525	0.70992815	Yes	
row_11	CAV1	CAV1	2823	0.03968936949968338	0.6850998	No	
row_12	RAC1	RAC1	3136	0.03419311344623566	0.6864915	No	
row_13	PIK3CA	PIK3CA	3279	0.03193967416882515	0.6954968	No	
row_14	MAPK1	MAPK1	3932	0.024344583973288536	0.6743228	No	
row_15	CAV2	CAV2	4871	0.016095805913209915	0.6341853	No	
row_16	CYBA	CYBA	5575	0.01146923191845417	0.6037999	No	
row_17	PRNP	PRNP	7114	0.0048254430294036865	0.5269637	No	
row_18	CAV3	CAV3	7685	0.0027500621508806944	0.498979	No	
row_19	CREB1	CREB1	7755	0.0025651028845459223	0.49673244	No	
row_20	CREB3L3	CREB3L3	10870	-0.007885228842496872	0.34019816	No	
row_21	ATF2	ATF2	11276	-0.009383277036249638	0.32411203	No	
row_22	CREB3L2	CREB3L2	12539	-0.014635689556598663	0.26652193	No	
row_23	ATF4	ATF4	12895	-0.01639426127076149	0.25659785	No	
row_24	ATF6B	ATF6B	13128	-0.017583055421710014	0.25362363	No	
row_25	CREB3L4	CREB3L4	13268	-0.01834920607507229	0.25583637	No	
row_26	CREB3	CREB3	15083	-0.03146528825163841	0.17838696	No	
row_27	CREB3L1	CREB3L1	15824	-0.03821330890059471	0.159765	No	
row_28	FYN	FYN	16793	-0.050284259021282196	0.13555737	No	
