NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRAP2	GRAP2	332	0.1929279863834381	0.15276785	Yes	
row_1	VAV1	VAV1	687	0.13210347294807434	0.25084448	Yes	
row_2	CD4	CD4	1191	0.09190387278795242	0.30584556	Yes	
row_3	CD247	CD247	1261	0.08770022541284561	0.37951174	Yes	
row_4	ITPR2	ITPR2	1305	0.08530422300100327	0.4524081	Yes	
row_5	VAV3	VAV3	1385	0.08127867430448532	0.5199046	Yes	
row_6	CD3D	CD3D	1784	0.06611289829015732	0.55760735	Yes	
row_7	VAV2	VAV2	1849	0.06351929157972336	0.6102393	Yes	
row_8	PLCG2	PLCG2	2092	0.05601544678211212	0.6470906	Yes	
row_9	CD3G	CD3G	2397	0.04826437681913376	0.6739217	Yes	
row_10	CD3E	CD3E	2623	0.04385408014059067	0.7009407	Yes	
row_11	ITPR1	ITPR1	2957	0.037027206271886826	0.7163827	Yes	
row_12	LCP2	LCP2	3820	0.025321679189801216	0.6942552	No	
row_13	LAT	LAT	5196	0.013778404332697392	0.6355257	No	
row_14	LCK	LCK	5742	0.010570538230240345	0.61674637	No	
row_15	PLCG1	PLCG1	10542	-0.006688975263386965	0.37531602	No	
row_16	ZAP70	ZAP70	12865	-0.016248416155576706	0.2699571	No	
row_17	ITPR3	ITPR3	14513	-0.026783455163240433	0.20866117	No	
row_18	FYN	FYN	16793	-0.050284259021282196	0.13548766	No	
