NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS4	GINS4	3828	0.025219352915883064	-0.15868667	No	
row_1	GINS1	GINS1	10016	-0.004792733117938042	-0.47014633	No	
row_2	UBB	UBB	11401	-0.009814378805458546	-0.5264544	No	
row_3	MCM7	MCM7	12383	-0.013926675543189049	-0.5557115	No	
row_4	MCM3	MCM3	14555	-0.027198826894164085	-0.6259951	Yes	
row_5	MCM5	MCM5	15125	-0.0318639874458313	-0.606604	Yes	
row_6	TRAIP	TRAIP	15607	-0.03613962605595589	-0.57614267	Yes	
row_7	MCM6	MCM6	15678	-0.036788925528526306	-0.523512	Yes	
row_8	NPLOC4	NPLOC4	17021	-0.053172241896390915	-0.511377	Yes	
row_9	VCP	VCP	17217	-0.056365717202425	-0.4352609	Yes	
row_10	MCM4	MCM4	17665	-0.06545484811067581	-0.358235	Yes	
row_11	GINS2	GINS2	17816	-0.06851790100336075	-0.26122382	Yes	
row_12	CDC45	CDC45	17969	-0.07291922718286514	-0.1575876	Yes	
row_13	GINS3	GINS3	18033	-0.07452282309532166	-0.046914298	Yes	
row_14	MCM2	MCM2	18118	-0.07747434079647064	0.067188814	Yes	
