NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS5	NDUFS5	4047	0.023214243352413177	-0.1836647	No	
row_1	CDK5R1	CDK5R1	5022	0.014891093596816063	-0.21778853	No	
row_2	NDUFB5	NDUFB5	6654	0.006724193226546049	-0.29465878	No	
row_3	NDUFS1	NDUFS1	7763	0.002525343094021082	-0.34909245	No	
row_4	MAPT	MAPT	7833	0.0023112997878342867	-0.3501488	No	
row_5	CAPN1	CAPN1	7869	0.002205310622230172	-0.34956568	No	
row_6	NDUFB10	NDUFB10	9004	-0.0015194920124486089	-0.4064305	No	
row_7	NDUFAB1	NDUFAB1	9545	-0.00317238736897707	-0.4308562	No	
row_8	NDUFS6	NDUFS6	9808	-0.00403903191909194	-0.4399991	No	
row_9	NDUFA5	NDUFA5	10465	-0.0064449794590473175	-0.46686482	No	
row_10	CAPN2	CAPN2	11176	-0.009056762792170048	-0.49368742	No	
row_11	NDUFB8	NDUFB8	11501	-0.010244132950901985	-0.4993073	No	
row_12	NDUFS4	NDUFS4	11672	-0.010927043855190277	-0.49624148	No	
row_13	CHRNA7	CHRNA7	12251	-0.01330037321895361	-0.51165617	Yes	
row_14	NDUFB4	NDUFB4	12252	-0.013312146067619324	-0.4972351	Yes	
row_15	NDUFV2	NDUFV2	12513	-0.014522522687911987	-0.494918	Yes	
row_16	NDUFA4	NDUFA4	12827	-0.016047321259975433	-0.4936837	Yes	
row_17	NDUFA9	NDUFA9	12959	-0.01670699194073677	-0.48234415	Yes	
row_18	NDUFB3	NDUFB3	13082	-0.017277395352721214	-0.46992233	Yes	
row_19	CDK5	CDK5	13323	-0.018686693161725998	-0.46206224	Yes	
row_20	NDUFA12	NDUFA12	13361	-0.01891338638961315	-0.44348237	Yes	
row_21	NDUFV1	NDUFV1	13385	-0.0190788134932518	-0.42400098	Yes	
row_22	NDUFC2	NDUFC2	13427	-0.019335908815264702	-0.40516979	Yes	
row_23	NDUFV3	NDUFV3	13590	-0.02037964202463627	-0.39145115	Yes	
row_24	NDUFB7	NDUFB7	13809	-0.021887196227908134	-0.37898883	Yes	
row_25	NDUFA10	NDUFA10	13861	-0.022177888080477715	-0.35759488	Yes	
row_26	NDUFB6	NDUFB6	13895	-0.022404231131076813	-0.335027	Yes	
row_27	NDUFA8	NDUFA8	13976	-0.022892918437719345	-0.31435478	Yes	
row_28	NDUFB1	NDUFB1	14160	-0.02410556562244892	-0.2976834	Yes	
row_29	NDUFA1	NDUFA1	14447	-0.02633543312549591	-0.28391084	Yes	
row_30	NDUFA11	NDUFA11	14453	-0.026375478133559227	-0.2555962	Yes	
row_31	NDUFS7	NDUFS7	14910	-0.02993599884212017	-0.24669461	Yes	
row_32	NDUFS8	NDUFS8	14945	-0.030292412266135216	-0.21563303	Yes	
row_33	NDUFB2	NDUFB2	15141	-0.03198191896080971	-0.19104832	Yes	
row_34	NDUFS3	NDUFS3	15513	-0.035437554121017456	-0.17180116	Yes	
row_35	APP	APP	15533	-0.03558044508099556	-0.13423708	Yes	
row_36	NDUFC1	NDUFC1	15543	-0.03572096303105354	-0.09600482	Yes	
row_37	NDUFB11	NDUFB11	15700	-0.037104833871126175	-0.06385815	Yes	
row_38	NDUFA7	NDUFA7	15708	-0.03718380257487297	-0.023937993	Yes	
row_39	NDUFA3	NDUFA3	16504	-0.04634612426161766	-0.014750638	Yes	
row_40	NDUFA13	NDUFA13	16835	-0.050843894481658936	0.023301736	Yes	
row_41	NDUFS2	NDUFS2	18672	-0.10165932774543762	0.038697667	Yes	
