NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA4	PSMA4	8503	8.337171311723068E-5	-0.43844318	No	
row_1	PSMA6	PSMA6	9804	-0.004018031992018223	-0.501544	No	
row_2	PSMA8	PSMA8	10412	-0.006247227545827627	-0.52671665	No	
row_3	PSMD14	PSMD14	10989	-0.008357550948858261	-0.548219	No	
row_4	PSMD4	PSMD4	11487	-0.010155330412089825	-0.56388247	No	
row_5	PSMD12	PSMD12	11835	-0.01152107771486044	-0.5704694	Yes	
row_6	PSMA5	PSMA5	11836	-0.011524473316967487	-0.55915713	Yes	
row_7	PSMA1	PSMA1	11946	-0.012009546160697937	-0.55299014	Yes	
row_8	PSMB4	PSMB4	12473	-0.014322592876851559	-0.5660587	Yes	
row_9	PSMD7	PSMD7	12544	-0.014647355303168297	-0.5552912	Yes	
row_10	PSMC1	PSMC1	12568	-0.014784233644604683	-0.54196537	Yes	
row_11	PSMC6	PSMC6	12591	-0.014903557486832142	-0.5284709	Yes	
row_12	PSMA2	PSMA2	12740	-0.01562962494790554	-0.52076185	Yes	
row_13	PSMD6	PSMD6	13170	-0.017812587320804596	-0.52540207	Yes	
row_14	PSMC2	PSMC2	13732	-0.021447045728564262	-0.5332824	Yes	
row_15	PSMA3	PSMA3	13781	-0.0217331200838089	-0.514425	Yes	
row_16	PSMB3	PSMB3	14017	-0.02316327393054962	-0.5038079	Yes	
row_17	PSMB1	PSMB1	14050	-0.023386884480714798	-0.48250204	Yes	
row_18	PSMD8	PSMD8	14165	-0.024128418415784836	-0.46469724	Yes	
row_19	PSMD1	PSMD1	14992	-0.030710561200976372	-0.47715148	Yes	
row_20	PSMC5	PSMC5	15172	-0.03221084922552109	-0.45476535	Yes	
row_21	PSMC4	PSMC4	15564	-0.03582077845931053	-0.43976924	Yes	
row_22	PSMB6	PSMB6	15704	-0.03714296966791153	-0.4104789	Yes	
row_23	ADRM1	ADRM1	15730	-0.03742148354649544	-0.37503582	Yes	
row_24	PSMB2	PSMB2	15746	-0.03756918013095856	-0.33893207	Yes	
row_25	PSMB5	PSMB5	15925	-0.039356935769319534	-0.30947986	Yes	
row_26	PSMD2	PSMD2	16163	-0.04219195619225502	-0.28028765	Yes	
row_27	PSMC3	PSMC3	16236	-0.04310264065861702	-0.24169199	Yes	
row_28	PSMB7	PSMB7	16243	-0.04319119080901146	-0.19960558	Yes	
row_29	PSMD9	PSMD9	17244	-0.05673183128237724	-0.19549143	Yes	
row_30	PSMD13	PSMD13	17264	-0.05696934834122658	-0.14055103	Yes	
row_31	PSMD11	PSMD11	18658	-0.10075566172599792	-0.113491915	Yes	
row_32	PSMD3	PSMD3	19150	-0.15570926666259766	0.014027695	Yes	
