NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREB5	CREB5	389	0.1795867681503296	0.14151281	Yes	
row_1	CAMK1G	CAMK1G	464	0.1648206114768982	0.28597996	Yes	
row_2	CACNA1H	CACNA1H	730	0.12749478220939636	0.38702026	Yes	
row_3	CAMK2A	CAMK2A	858	0.11398915946483612	0.4830243	Yes	
row_4	CAMK1D	CAMK1D	922	0.10895894467830658	0.5778022	Yes	
row_5	CAMK2G	CAMK2G	938	0.10825599730014801	0.67442214	Yes	
row_6	CACNA1D	CACNA1D	3306	0.031513556838035583	0.58075064	No	
row_7	CYP11B2	CYP11B2	3324	0.031121358275413513	0.6078728	No	
row_8	CALM2	CALM2	6032	0.009319478645920753	0.47670662	No	
row_9	CAMK2B	CAMK2B	6807	0.006027182098478079	0.44222802	No	
row_10	CREB1	CREB1	7755	0.0025651028845459223	0.39571625	No	
row_11	CAMK4	CAMK4	7988	0.001828084117732942	0.38540092	No	
row_12	CALM3	CALM3	8856	-9.87485283985734E-4	0.34159398	No	
row_13	CREB3L3	CREB3L3	10870	-0.007885228842496872	0.2449144	No	
row_14	ATF2	ATF2	11276	-0.009383277036249638	0.23247768	No	
row_15	CALM1	CALM1	11583	-0.010553071275353432	0.226197	No	
row_16	CREB3L2	CREB3L2	12539	-0.014635689556598663	0.19013222	No	
row_17	ATF4	ATF4	12895	-0.01639426127076149	0.18658057	No	
row_18	ATF6B	ATF6B	13128	-0.017583055421710014	0.19043928	No	
row_19	CREB3L4	CREB3L4	13268	-0.01834920607507229	0.19978158	No	
row_20	ATP1A1	ATP1A1	13415	-0.019269561395049095	0.20959102	No	
row_21	CAMK1	CAMK1	13488	-0.019711069762706757	0.22361249	No	
row_22	CAMK2D	CAMK2D	13760	-0.021623756736516953	0.22909594	No	
row_23	CREB3	CREB3	15083	-0.03146528825163841	0.18925254	No	
row_24	CREB3L1	CREB3L1	15824	-0.03821330890059471	0.18548313	No	
