NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT2	WNT2	255	0.22483591735363007	0.09865623	No	
row_1	WNT7A	WNT7A	1560	0.0735870823264122	0.06801174	No	
row_2	WNT2B	WNT2B	2007	0.058879826217889786	0.07429423	No	
row_3	SMO	SMO	2239	0.051975835114717484	0.08822946	No	
row_4	WNT5A	WNT5A	4088	0.022768501192331314	0.004264396	No	
row_5	HHIP	HHIP	4914	0.01574305258691311	-0.030445954	No	
row_6	WNT10A	WNT10A	5674	0.010957763530313969	-0.06413278	No	
row_7	PTCH2	PTCH2	6261	0.008387552574276924	-0.09017742	No	
row_8	PTCH1	PTCH1	7115	0.0048165274783968925	-0.13176496	No	
row_9	WNT9B	WNT9B	8924	-0.0012607343960553408	-0.22436275	No	
row_10	WNT8B	WNT8B	9034	-0.0015985117061063647	-0.22918814	No	
row_11	GLI1	GLI1	9996	-0.004715890623629093	-0.2763945	No	
row_12	WNT8A	WNT8A	10899	-0.007995862513780594	-0.3189276	No	
row_13	BMP2	BMP2	11930	-0.01191862765699625	-0.36611	No	
row_14	WNT7B	WNT7B	13546	-0.020086180418729782	-0.4393949	No	
row_15	WNT5B	WNT5B	14539	-0.02708854153752327	-0.47707435	No	
row_16	WNT1	WNT1	15266	-0.03296736627817154	-0.49811485	No	
row_17	SUFU	SUFU	15835	-0.03834922984242439	-0.50833225	No	
row_18	KIF7	KIF7	16462	-0.045778606086969376	-0.51784587	No	
row_19	WNT10B	WNT10B	17424	-0.06040231138467789	-0.5373609	Yes	
row_20	GLI2	GLI2	17453	-0.060946349054574966	-0.5084977	Yes	
row_21	WNT16	WNT16	17842	-0.06928705424070358	-0.49404937	Yes	
row_22	WNT9A	WNT9A	18150	-0.07851696759462357	-0.47083473	Yes	
row_23	GLI3	GLI3	18404	-0.08814306557178497	-0.4400489	Yes	
row_24	WNT6	WNT6	19164	-0.15799471735954285	-0.40061837	Yes	
row_25	BMP4	BMP4	19200	-0.16471964120864868	-0.32051256	Yes	
row_26	WNT3A	WNT3A	19245	-0.18078508973121643	-0.23288193	Yes	
row_27	WNT3	WNT3	19368	-0.23265615105628967	-0.12347914	Yes	
row_28	WNT4	WNT4	19384	-0.25380849838256836	0.0019593062	Yes	
