NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRNP	PRNP	7114	0.0048254430294036865	-0.36219484	No	
row_1	PSMA4	PSMA4	8503	8.337171311723068E-5	-0.43370035	No	
row_2	PSMA6	PSMA6	9804	-0.004018031992018223	-0.49682322	No	
row_3	PSMA8	PSMA8	10412	-0.006247227545827627	-0.52202636	No	
row_4	PSMD14	PSMD14	10989	-0.008357550948858261	-0.54356897	No	
row_5	PSMD4	PSMD4	11487	-0.010155330412089825	-0.5592807	No	
row_6	PSMD12	PSMD12	11835	-0.01152107771486044	-0.56592184	Yes	
row_7	PSMA5	PSMA5	11836	-0.011524473316967487	-0.55466294	Yes	
row_8	PSMA1	PSMA1	11946	-0.012009546160697937	-0.54855186	Yes	
row_9	PSMB4	PSMB4	12473	-0.014322592876851559	-0.56168807	Yes	
row_10	PSMD7	PSMD7	12544	-0.014647355303168297	-0.5509885	Yes	
row_11	PSMC1	PSMC1	12568	-0.014784233644604683	-0.5377312	Yes	
row_12	PSMC6	PSMC6	12591	-0.014903557486832142	-0.5243057	Yes	
row_13	PSMA2	PSMA2	12740	-0.01562962494790554	-0.5166694	Yes	
row_14	PSMD6	PSMD6	13170	-0.017812587320804596	-0.5213932	Yes	
row_15	PSMC2	PSMC2	13732	-0.021447045728564262	-0.5293743	Yes	
row_16	PSMA3	PSMA3	13781	-0.0217331200838089	-0.51061755	Yes	
row_17	PSMB3	PSMB3	14017	-0.02316327393054962	-0.5001083	Yes	
row_18	PSMB1	PSMB1	14050	-0.023386884480714798	-0.4789107	Yes	
row_19	PSMD8	PSMD8	14165	-0.024128418415784836	-0.46121788	Yes	
row_20	PSMD1	PSMD1	14992	-0.030710561200976372	-0.47381642	Yes	
row_21	PSMC5	PSMC5	15172	-0.03221084922552109	-0.45157984	Yes	
row_22	PSMC4	PSMC4	15564	-0.03582077845931053	-0.4367505	Yes	
row_23	PSMB6	PSMB6	15704	-0.03714296966791153	-0.4076324	Yes	
row_24	ADRM1	ADRM1	15730	-0.03742148354649544	-0.37236258	Yes	
row_25	PSMB2	PSMB2	15746	-0.03756918013095856	-0.33643273	Yes	
row_26	PSMB5	PSMB5	15925	-0.039356935769319534	-0.30716312	Yes	
row_27	PSMD2	PSMD2	16163	-0.04219195619225502	-0.27816677	Yes	
row_28	PSMC3	PSMC3	16236	-0.04310264065861702	-0.23977076	Yes	
row_29	PSMB7	PSMB7	16243	-0.04319119080901146	-0.19788423	Yes	
row_30	PSMD9	PSMD9	17244	-0.05673183128237724	-0.19403525	Yes	
row_31	PSMD13	PSMD13	17264	-0.05696934834122658	-0.13935854	Yes	
row_32	PSMD11	PSMD11	18658	-0.10075566172599792	-0.11276936	Yes	
row_33	PSMD3	PSMD3	19150	-0.15570926666259766	0.014028402	Yes	
