NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	Details ...	45	0.6638791	1.8491659	0.0	0.104370505	0.097	2553	tags=36%, list=13%, signal=41%	
KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	Details ...	29	0.70992815	1.83824	0.0017605633	0.060527805	0.112	1947	tags=38%, list=10%, signal=42%	
KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY	Details ...	27	0.67404133	1.7087799	0.0072727273	0.2613418	0.52	3136	tags=48%, list=16%, signal=57%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	Details ...	25	0.6848892	1.7028769	0.008944544	0.21376874	0.557	938	tags=24%, list=5%, signal=25%	
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	Details ...	17	0.72795886	1.673974	0.012891345	0.23215121	0.676	2827	tags=41%, list=15%, signal=48%	
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	Details ...	19	0.7163827	1.6622795	0.007633588	0.2247136	0.725	2957	tags=63%, list=15%, signal=74%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	Details ...	24	0.6871711	1.656175	0.010733453	0.20595242	0.75	938	tags=25%, list=5%, signal=26%	
KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY	Details ...	29	0.648609	1.655054	0.0035587188	0.18211043	0.756	2339	tags=34%, list=12%, signal=39%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	Details ...	25	0.67442214	1.650861	0.008928572	0.17032157	0.773	938	tags=24%, list=5%, signal=25%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY	Details ...	15	0.7209386	1.6388347	0.017013233	0.17250851	0.808	2092	tags=33%, list=11%, signal=37%	
KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	Details ...	29	0.6303632	1.6242487	0.008710802	0.18350515	0.858	2339	tags=34%, list=12%, signal=39%	
KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY	Details ...	22	0.65428185	1.5935487	0.026022306	0.22445932	0.931	2339	tags=32%, list=12%, signal=36%	
KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY	Details ...	25	0.63973814	1.5759954	0.025089607	0.24025378	0.955	2967	tags=40%, list=15%, signal=47%	
KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY	Details ...	22	0.6469749	1.5686071	0.023121387	0.23711479	0.963	2339	tags=32%, list=12%, signal=36%	
KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING	KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING	Details ...	21	0.641239	1.5563567	0.02909091	0.24562527	0.971	2945	tags=24%, list=15%, signal=28%	
KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY	KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY	Details ...	19	0.646349	1.5538787	0.036190476	0.23490055	0.975	2728	tags=42%, list=14%, signal=49%	
KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING	KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING	Details ...	21	0.617331	1.4775579	0.041509435	0.40296742	1.0	2135	tags=14%, list=11%, signal=16%	
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	Details ...	30	0.56355333	1.4657168	0.03885135	0.4141042	1.0	3337	tags=47%, list=17%, signal=56%	
KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY	Details ...	21	0.60589796	1.4626471	0.080438755	0.4016687	1.0	2291	tags=29%, list=12%, signal=32%	
KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY	Details ...	19	0.6305481	1.4592371	0.06839187	0.38996506	1.0	3185	tags=32%, list=16%, signal=38%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP2B3_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP2B3_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY		23	0.59494174	1.4585047	0.06932409	0.37327048	1.0	938	tags=22%, list=5%, signal=23%	
KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY		15	0.6433974	1.4508425	0.06928839	0.3742218	1.0	806	tags=27%, list=4%, signal=28%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY		20	0.6005852	1.429939	0.075187966	0.41134694	1.0	3185	tags=30%, list=16%, signal=36%	
KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY		17	0.6150829	1.4268928	0.086021505	0.40290874	1.0	4524	tags=41%, list=23%, signal=54%	
KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY		26	0.5495084	1.3953676	0.08522727	0.47444046	1.0	1955	tags=31%, list=10%, signal=34%	
KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S		15	0.63024527	1.3931296	0.10546875	0.46220428	1.0	3112	tags=33%, list=16%, signal=40%	
