NAME	TITLE	SCORE	
MMP12	MMP12	0.8525602	
LVRN	LVRN	0.63403416	
KRT17	KRT17	0.61604327	
AOC1	AOC1	0.60578585	
ISM2	ISM2	0.60308254	
NOG	NOG	0.6015395	
NOTUM	NOTUM	0.6013326	
FN1	FN1	0.5741158	
LHX2	LHX2	0.55859756	
FAM43B	FAM43B	0.5513413	
HPGD	HPGD	0.5479012	
CLDN19	CLDN19	0.54450554	
C5orf46	C5orf46	0.538474	
GKN1	GKN1	0.53160584	
LAIR2	LAIR2	0.53088224	
CXCR6	CXCR6	0.53005826	
PLAC8	PLAC8	0.5240953	
ASCL2	ASCL2	0.52187115	
PIPOX	PIPOX	0.5176509	
MYCN	MYCN	0.5172097	
SFRP1	SFRP1	0.51020175	
MEP1A	MEP1A	0.508827	
TM4SF5	TM4SF5	0.50686294	
SERPINE2	SERPINE2	0.5005683	
CASQ1	CASQ1	0.4999416	
S100P	S100P	0.49969882	
HSD3B1	HSD3B1	0.4936783	
MIR181A2HG	MIR181A2HG	0.485381	
3-Sep	3-Sep	0.48497325	
GCM1	GCM1	0.48283112	
KCNJ2	KCNJ2	0.48036388	
CSH1	CSH1	0.47830787	
TNNI2	TNNI2	0.47826093	
EBI3	EBI3	0.47564068	
PRG2	PRG2	0.47555667	
KRT14	KRT14	0.47055227	
TAC3	TAC3	0.4672236	
CYGB	CYGB	0.46085513	
GUCA2A	GUCA2A	0.45795065	
EGLN3	EGLN3	0.4567112	
PTPRF	PTPRF	0.45608926	
HMGB3	HMGB3	0.45548654	
VGLL1	VGLL1	0.45407596	
HTRA4	HTRA4	0.4537438	
PSG3	PSG3	0.4437505	
XAGE2	XAGE2	0.4337024	
PRG4	PRG4	0.43105432	
CHRM5	CHRM5	0.430649	
CORO6	CORO6	0.429916	
TTR	TTR	0.42985892	
AQP9	AQP9	0.42870003	
KCNK12	KCNK12	0.42640957	
LIN28B	LIN28B	0.42445603	
SPRR2G	SPRR2G	0.42153844	
GH1	GH1	0.42038837	
ERP27	ERP27	0.42035392	
EVA1A	EVA1A	0.42021036	
IGF2BP3	IGF2BP3	0.4177304	
ASPHD2	ASPHD2	0.41680577	
CST6	CST6	0.41389877	
SCGB1D2	SCGB1D2	0.40952247	
PTGES	PTGES	0.40919146	
PBX4	PBX4	0.40791976	
NRGN	NRGN	0.40708232	
IRX2	IRX2	0.40377563	
PCSK6	PCSK6	0.39957553	
CLIC3	CLIC3	0.39953426	
COL17A1	COL17A1	0.39737085	
CSF2RB	CSF2RB	0.39479783	
PLA2G10	PLA2G10	0.39382198	
RGS18	RGS18	0.39277506	
NLRP2	NLRP2	0.39199984	
FAT2	FAT2	0.38792488	
CSH2	CSH2	0.38623387	
KRT8	KRT8	0.38527268	
TRIML2	TRIML2	0.38464573	
KRT6A	KRT6A	0.38438553	
CRABP2	CRABP2	0.38276613	
NIM1K	NIM1K	0.37866533	
DSG2	DSG2	0.37837365	
HES2	HES2	0.37830704	
OPN3	OPN3	0.37776038	
ASGR1	ASGR1	0.37663272	
LHX4	LHX4	0.3750587	
TUBB1	TUBB1	0.37189263	
PTHLH	PTHLH	0.3705655	
CCNE1	CCNE1	0.369597	
PHGDH	PHGDH	0.36954576	
SYT8	SYT8	0.364651	
ALPL	ALPL	0.3622823	
BIRC7	BIRC7	0.3622733	
LILRA2	LILRA2	0.36147133	
HCAR1	HCAR1	0.36123464	
CA2	CA2	0.35878608	
PHLDA2	PHLDA2	0.35867944	
OLFM4	OLFM4	0.35864186	
MYL10	MYL10	0.35609925	
GTSF1	GTSF1	0.35532582	
LILRA3	LILRA3	0.3551961	
PRSS8	PRSS8	0.35457653	
UPK1B	UPK1B	0.35386646	
SLC6A2	SLC6A2	0.35366032	
VWCE	VWCE	0.35301194	
CLEC1B	CLEC1B	0.3496628	
COL27A1	COL27A1	0.34810853	
ITGA2B	ITGA2B	0.34764615	
DNASE1L3	DNASE1L3	0.34723026	
GP9	GP9	0.346387	
HBG1	HBG1	0.34286627	
PSG2	PSG2	0.34280246	
ADH1A	ADH1A	0.34125465	
HLA-G	HLA-G	0.34077546	
ACRBP	ACRBP	0.34045193	
MCEMP1	MCEMP1	0.3401087	
PSG9	PSG9	0.33598733	
HBG2	HBG2	0.33445317	
CSHL1	CSHL1	0.33387226	
PLEKHG6	PLEKHG6	0.3326078	
REEP1	REEP1	0.33229092	
MFAP5	MFAP5	0.33103412	
RBP7	RBP7	0.33095208	
FGFBP1	FGFBP1	0.3289698	
PFKFB4	PFKFB4	0.32704294	
CPSF7	CPSF7	0.32642317	
DAW1	DAW1	0.3263704	
GRAMD2	GRAMD2	0.3253514	
KRT7	KRT7	0.32344535	
IL17D	IL17D	0.32334137	
IL1RAP	IL1RAP	0.32197714	
APOBEC2	APOBEC2	0.32194403	
RNASE7	RNASE7	0.32094872	
KRT6C	KRT6C	0.32005283	
FPR1	FPR1	0.31867027	
BAIAP2L1	BAIAP2L1	0.3162155	
HLA-DRB5	HLA-DRB5	0.31582233	
GATA3	GATA3	0.31557688	
SERTAD4	SERTAD4	0.31434265	
SLC2A14	SLC2A14	0.3143081	
MAG	MAG	0.31365848	
PTGIS	PTGIS	0.31357938	
CYP26A1	CYP26A1	0.31013095	
SOD3	SOD3	0.30973518	
SLC2A5	SLC2A5	0.30897886	
GPC4	GPC4	0.30428502	
TENM3	TENM3	0.30388117	
CPA3	CPA3	0.30231792	
JAML	JAML	0.30098358	
HIST1H3H	HIST1H3H	0.29859686	
PRAM1	PRAM1	0.2972686	
HN1	HN1	0.2962844	
STAB2	STAB2	0.29547456	
NAV1	NAV1	0.29457158	
CORIN	CORIN	0.29387322	
MMP1	MMP1	0.2925516	
KRT24	KRT24	0.29223895	
HLA-DRB1	HLA-DRB1	0.2888084	
TRIM58	TRIM58	0.2867193	
PPBP	PPBP	0.28636852	
CXCR2P1	CXCR2P1	0.28622302	
TNFSF10	TNFSF10	0.28607202	
IGF2	IGF2	0.28556466	
LPAR2	LPAR2	0.2852421	
C1orf115	C1orf115	0.28340554	
RRAD	RRAD	0.28317618	
SELL	SELL	0.28162804	
CXCR1	CXCR1	0.2815141	
PLK2	PLK2	0.28070554	
SCGB2A2	SCGB2A2	0.2797161	
MMP11	MMP11	0.27938476	
CXCL13	CXCL13	0.27838296	
NFE2	NFE2	0.2775302	
AIF1L	AIF1L	0.27676594	
LOC100507140	LOC100507140	0.27657592	
REPS2	REPS2	0.2757341	
ARHGEF16	ARHGEF16	0.2755543	
MAGEA8	MAGEA8	0.2752046	
TEX35	TEX35	0.27491644	
FAM110A	FAM110A	0.27419308	
FCGR3B	FCGR3B	0.27325273	
RCOR2	RCOR2	0.27145648	
SERPINA5	SERPINA5	0.27120104	
ADAM19	ADAM19	0.27097288	
DHDH	DHDH	0.26935127	
MSLN	MSLN	0.2682327	
CX3CR1	CX3CR1	0.2681889	
XAGE3	XAGE3	0.2678167	
CLIC6	CLIC6	0.26705435	
ENC1	ENC1	0.26701096	
KANK4	KANK4	0.2664537	
PGF	PGF	0.26579607	
PI3	PI3	0.2656619	
MYOZ1	MYOZ1	0.26342207	
FFAR2	FFAR2	0.26224568	
FGFBP2	FGFBP2	0.26223955	
PLD5	PLD5	0.26213107	
C1orf106	C1orf106	0.26090923	
RBM38	RBM38	0.26088804	
