NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNE4	KCNE4	26	0.36500564217567444	0.054652534	Yes	
row_1	SGCD	SGCD	77	0.3094997704029083	0.099546805	Yes	
row_2	PLN	PLN	124	0.26749932765960693	0.13820453	Yes	
row_3	DSG2	DSG2	283	0.19648191332817078	0.16016793	Yes	
row_4	KCNJ2	KCNJ2	297	0.19097602367401123	0.18879415	Yes	
row_5	KCNN2	KCNN2	310	0.18847684562206268	0.21708871	Yes	
row_6	TPM1	TPM1	347	0.179979607462883	0.24283703	Yes	
row_7	MYH2	MYH2	388	0.17186231911182404	0.2671329	Yes	
row_8	KCNH2	KCNH2	444	0.16226838529109955	0.28918022	Yes	
row_9	ROCK1	ROCK1	465	0.15868765115737915	0.31249037	Yes	
row_10	EPB41L5	EPB41L5	484	0.15521551668643951	0.33537138	Yes	
row_11	SCN3B	SCN3B	495	0.15241217613220215	0.3582365	Yes	
row_12	CAV1	CAV1	510	0.1501365453004837	0.3805454	Yes	
row_13	MYH7	MYH7	553	0.14356309175491333	0.40039608	Yes	
row_14	PDE4D	PDE4D	583	0.14082574844360352	0.4204999	Yes	
row_15	GJA5	GJA5	645	0.13351497054100037	0.43782526	Yes	
row_16	TNNT2	TNNT2	706	0.1285061091184616	0.45443395	Yes	
row_17	CACNA1C	CACNA1C	724	0.12703557312488556	0.4730434	Yes	
row_18	PARVA	PARVA	916	0.11064413189888	0.4801291	Yes	
row_19	ANK2	ANK2	944	0.10842786729335785	0.495366	Yes	
row_20	ACTA2	ACTA2	985	0.10574676096439362	0.5095185	Yes	
row_21	GSN	GSN	1010	0.10335439443588257	0.5241324	Yes	
row_22	MYL1	MYL1	1213	0.09103161096572876	0.52763957	Yes	
row_23	FLNA	FLNA	1261	0.08888237178325653	0.5388423	Yes	
row_24	PIK3CA	PIK3CA	1303	0.08630989491939545	0.5499611	Yes	
row_25	FRMD6	FRMD6	1304	0.08628612756729126	0.563199	Yes	
row_26	ZEB2	ZEB2	1543	0.07695472240447998	0.5626826	Yes	
row_27	CACNB2	CACNB2	1911	0.06440338492393494	0.55356157	Yes	
row_28	FGF13	FGF13	1958	0.0629032552242279	0.5608304	Yes	
row_29	TNNC1	TNNC1	2044	0.060475368052721024	0.5657075	Yes	
row_30	SHTN1	SHTN1	2045	0.06043591722846031	0.5749795	Yes	
row_31	ACTC1	ACTC1	2157	0.057918649166822433	0.5781182	Yes	
row_32	DSC2	DSC2	2502	0.049866609275341034	0.56795776	Yes	
row_33	KCNE1	KCNE1	2533	0.04921208694577217	0.5739545	Yes	
row_34	ABCC9	ABCC9	2587	0.04826810583472252	0.5786156	Yes	
row_35	KCNJ8	KCNJ8	2661	0.04706108197569847	0.58205605	Yes	
