NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CORIN	CORIN	7	0.43464916944503784	0.07510779	Yes	
row_1	KCNE4	KCNE4	26	0.36500564217567444	0.13755396	Yes	
row_2	SLC8A2	SLC8A2	73	0.31220731139183044	0.18938385	Yes	
row_3	CASQ2	CASQ2	93	0.29331734776496887	0.23933074	Yes	
row_4	PLN	PLN	124	0.26749932765960693	0.2842256	Yes	
row_5	DSG2	DSG2	283	0.19648191332817078	0.31016693	Yes	
row_6	KCNJ2	KCNJ2	297	0.19097602367401123	0.3426543	Yes	
row_7	KCNN2	KCNN2	310	0.18847684562206268	0.37475947	Yes	
row_8	KCNH2	KCNH2	444	0.16226838529109955	0.39605358	Yes	
row_9	IRX3	IRX3	481	0.15571501851081848	0.42122847	Yes	
row_10	SCN3B	SCN3B	495	0.15241217613220215	0.44701982	Yes	
row_11	CAV1	CAV1	510	0.1501365453004837	0.4723643	Yes	
row_12	ATP1B1	ATP1B1	580	0.14094328880310059	0.49326694	Yes	
row_13	PDE4D	PDE4D	583	0.14082574844360352	0.5176156	Yes	
row_14	GJA5	GJA5	645	0.13351497054100037	0.53764236	Yes	
row_15	ACE2	ACE2	691	0.12953899800777435	0.5578065	Yes	
row_16	CACNA1C	CACNA1C	724	0.12703557312488556	0.5782086	Yes	
row_17	ANK2	ANK2	944	0.10842786729335785	0.5857047	Yes	
row_18	AGT	AGT	1241	0.0895930752158165	0.58594656	Yes	
row_19	FLNA	FLNA	1261	0.08888237178325653	0.6003965	Yes	
row_20	CACNB2	CACNB2	1911	0.06440338492393494	0.5780009	No	
row_21	DSC2	DSC2	2502	0.049866609275341034	0.5561338	No	
row_22	KCNE1	KCNE1	2533	0.04921208694577217	0.56312656	No	
row_23	ABCC9	ABCC9	2587	0.04826810583472252	0.5687654	No	
row_24	CALM1	CALM1	2953	0.04189793020486832	0.5571558	No	
row_25	ZMPSTE24	ZMPSTE24	2998	0.04124011844396591	0.56204003	No	
row_26	SCN4B	SCN4B	3277	0.0376213975250721	0.5541891	No	
row_27	KCND3	KCND3	3280	0.03759225457906723	0.5606129	No	
row_28	ATP2A2	ATP2A2	3339	0.03684256598353386	0.56400925	No	
row_29	CAMK2D	CAMK2D	3381	0.03628658875823021	0.56818855	No	
row_30	PKP2	PKP2	3764	0.03168008476495743	0.5539252	No	
row_31	GJD3	GJD3	3784	0.03144127503037453	0.55840147	No	
row_32	CACNA2D1	CACNA2D1	4187	0.027192959561944008	0.54232424	No	
row_33	DSP	DSP	4278	0.02632373571395874	0.5422385	No	
row_34	TRPC1	TRPC1	4288	0.02626691572368145	0.5463337	No	
row_35	TBX18	TBX18	4505	0.02398672141134739	0.5393231	No	
row_36	HRC	HRC	4878	0.020699022337794304	0.5236705	No	
row_37	CALM3	CALM3	5013	0.019716762006282806	0.52016103	No	
row_38	RYR2	RYR2	5504	0.016237536445260048	0.4976286	No	
row_39	TRPM4	TRPM4	5982	0.013294615782797337	0.47525778	No	
row_40	MEF2A	MEF2A	6169	0.012224791571497917	0.46775708	No	
row_41	CALM2	CALM2	6212	0.012011069804430008	0.4676696	No	
row_42	SCN2B	SCN2B	6362	0.011258898302912712	0.4619155	No	
row_43	TNNI3K	TNNI3K	6513	0.010447308421134949	0.45596874	No	
row_44	KCNQ1	KCNQ1	6709	0.00955083779990673	0.4475381	No	
row_45	ATP2B4	ATP2B4	7517	0.006011647637933493	0.40682903	No	
row_46	TBX5	TBX5	7727	0.0052376678213477135	0.39692515	No	
row_47	NKX2-5	NKX2-5	7938	0.004493882413953543	0.38684037	No	
row_48	SLC4A3	SLC4A3	8441	0.0026081374380737543	0.36132056	No	
row_49	RANGRF	RANGRF	8546	0.002195685636252165	0.356321	No	
row_50	ATP1A1	ATP1A1	8945	7.668836624361575E-4	0.33586228	No	
row_51	GJC1	GJC1	9274	-3.1101430067792535E-4	0.3189461	No	
row_52	SRI	SRI	9358	-5.376631743274629E-4	0.31474516	No	
row_53	ATP2B2	ATP2B2	9417	-7.420156034640968E-4	0.31187317	No	
row_54	EHD3	EHD3	9734	-0.0019378940341994166	0.29586032	No	
row_55	SCN10A	SCN10A	9951	-0.002640944207087159	0.28514338	No	
row_56	SLC8A1	SLC8A1	10219	-0.003603039076551795	0.27195483	No	
row_57	SCN5A	SCN5A	10464	-0.004506268538534641	0.2601131	No	
row_58	NUP155	NUP155	10468	-0.004526175558567047	0.26074377	No	
row_59	CTNNA3	CTNNA3	10737	-0.005533253774046898	0.24783865	No	
row_60	AKAP9	AKAP9	10760	-0.005610986612737179	0.24767466	No	
row_61	ATP2A1	ATP2A1	10927	-0.0061991531401872635	0.24016246	No	
row_62	SLC8A3	SLC8A3	11542	-0.00860987976193428	0.20989005	No	
row_63	BIN1	BIN1	11687	-0.009154856204986572	0.20402932	No	
row_64	CACNA1D	CACNA1D	12712	-0.01407440472394228	0.15349299	No	
row_65	TRDN	TRDN	12787	-0.014515138231217861	0.15218467	No	
row_66	ATP2B1	ATP2B1	12827	-0.014710786752402782	0.15272117	No	
row_67	SRC	SRC	12851	-0.014824751764535904	0.15410526	No	
row_68	TMEM65	TMEM65	12913	-0.015168634243309498	0.15358302	No	
row_69	KCNJ3	KCNJ3	13625	-0.019694840535521507	0.120216705	No	
row_70	ATP1A2	ATP1A2	13636	-0.019738223403692245	0.12312655	No	
row_71	GJC3	GJC3	13810	-0.0207871925085783	0.11778517	No	
row_72	KCNE2	KCNE2	13999	-0.02212195098400116	0.11189947	No	
row_73	JUP	JUP	14116	-0.022858113050460815	0.10986677	No	
row_74	RNF207	RNF207	14145	-0.02309463545680046	0.112428114	No	
row_75	GJA1	GJA1	14281	-0.024147527292370796	0.10963626	No	
row_76	KCNH6	KCNH6	14311	-0.02441195398569107	0.112374604	No	
row_77	PRKACA	PRKACA	14502	-0.025894664227962494	0.1070405	No	
row_78	KCNE3	KCNE3	14521	-0.026033885776996613	0.11062958	No	
row_79	CACNA1G	CACNA1G	14878	-0.029023773968219757	0.09725023	No	
row_80	ATP1A3	ATP1A3	14976	-0.03000267967581749	0.09744109	No	
row_81	KCNA5	KCNA5	15457	-0.03484557196497917	0.07865704	No	
row_82	KCNJ5	KCNJ5	15920	-0.039715807884931564	0.061649915	No	
row_83	CXADR	CXADR	16110	-0.042204372584819794	0.05919948	No	
row_84	HCN4	HCN4	16141	-0.042490195482969284	0.065025076	No	
row_85	SCN1B	SCN1B	16265	-0.044427406042814255	0.06637537	No	
row_86	KCNE5	KCNE5	16880	-0.05343714728951454	0.043886498	No	
row_87	ATP1B2	ATP1B2	16931	-0.054499462246894836	0.05076255	No	
row_88	ATP2B3	ATP2B3	17055	-0.05638369545340538	0.054188862	No	
