NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LBP	LBP	169	0.2406134158372879	0.00917674	No	
row_1	CXCL13	CXCL13	319	0.18679660558700562	0.015373043	No	
row_2	FZD5	FZD5	528	0.14749737083911896	0.015555727	No	
row_3	LDOC1	LDOC1	654	0.13289210200309753	0.018973565	No	
row_4	MEF2C	MEF2C	810	0.11920096725225449	0.019803954	No	
row_5	LTF	LTF	948	0.10818776488304138	0.020749431	No	
row_6	MMP3	MMP3	967	0.10707708448171616	0.02781561	No	
row_7	EPHB2	EPHB2	1001	0.1042095199227333	0.03388544	No	
row_8	SASH1	SASH1	1170	0.09367883205413818	0.032130204	No	
row_9	SERPINE1	SERPINE1	1415	0.08209344744682312	0.025546849	No	
row_10	NOTCH2	NOTCH2	1539	0.07703295350074768	0.024893194	No	
row_11	STAP1	STAP1	1567	0.07563808560371399	0.029139958	No	
row_12	CXCL6	CXCL6	1577	0.07524709403514862	0.034295876	No	
row_13	PRKCA	PRKCA	1599	0.07459995150566101	0.038777824	No	
row_14	NR1H4	NR1H4	1661	0.0720849335193634	0.04098648	No	
row_15	CCL2	CCL2	1756	0.06886544823646545	0.041234095	No	
row_16	MRC1	MRC1	1931	0.06374773383140564	0.03692856	No	
row_17	CAPN2	CAPN2	1975	0.06251771748065948	0.039360393	No	
row_18	CDK4	CDK4	2013	0.06142955273389816	0.042023677	No	
row_19	NLRP7	NLRP7	2069	0.06005150452256203	0.04364556	No	
row_20	NFKB1	NFKB1	2156	0.05794673040509224	0.043494005	No	
row_21	CDC73	CDC73	2221	0.05622471868991852	0.04436063	No	
row_22	CD36	CD36	2253	0.055418409407138824	0.046887342	No	
row_23	PLSCR4	PLSCR4	2311	0.05425344780087471	0.047971528	No	
row_24	MAPK8	MAPK8	2337	0.05378115177154541	0.05068864	No	
row_25	ANKRD1	ANKRD1	2571	0.0486653633415699	0.04217982	No	
row_26	MAPK3	MAPK3	2807	0.04426105320453644	0.03323749	No	
row_27	CXCL9	CXCL9	2910	0.04270775243639946	0.03111263	No	
row_28	ZMPSTE24	ZMPSTE24	2998	0.04124011844396591	0.029660037	No	
row_29	TNFAIP3	TNFAIP3	3071	0.04003119468688965	0.028899055	No	
row_30	IL6	IL6	3234	0.03818129003047943	0.023307884	No	
row_31	PDCD1LG2	PDCD1LG2	3352	0.036626845598220825	0.01994646	No	
row_32	TRIM5	TRIM5	3584	0.03367224708199501	0.010421092	No	
row_33	PRKCE	PRKCE	3612	0.03337905555963516	0.011508778	No	
row_34	TRAF6	TRAF6	3653	0.03292665630578995	0.011884925	No	
row_35	MTDH	MTDH	3734	0.03205093368887901	0.01011032	No	
row_36	BCL10	BCL10	3753	0.03183688595890999	0.01155191	No	
row_37	MALT1	MALT1	3873	0.030190806835889816	0.0076050945	No	
row_38	DAB2IP	DAB2IP	3882	0.03010646253824234	0.009438649	No	
row_39	TREM2	TREM2	3950	0.029472406953573227	0.008149005	No	
row_40	SMC1A	SMC1A	4104	0.0279857087880373	0.0022648512	No	
