NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LBP	LBP	169	0.2406134158372879	0.010640145	No	
row_1	CXCL13	CXCL13	319	0.18679660558700562	0.017973797	No	
row_2	FZD5	FZD5	528	0.14749737083911896	0.019060925	No	
row_3	LDOC1	LDOC1	654	0.13289210200309753	0.023289245	No	
row_4	MEF2C	MEF2C	810	0.11920096725225449	0.024849642	No	
row_5	LTF	LTF	948	0.10818776488304138	0.026457418	No	
row_6	MMP3	MMP3	967	0.10707708448171616	0.034170803	No	
row_7	EPHB2	EPHB2	1001	0.1042095199227333	0.040871598	No	
row_8	SASH1	SASH1	1170	0.09367883205413818	0.039693322	No	
row_9	SERPINE1	SERPINE1	1415	0.08209344744682312	0.03362241	No	
row_10	STAP1	STAP1	1567	0.07563808560371399	0.031871714	No	
row_11	CXCL6	CXCL6	1577	0.07524709403514862	0.037482187	No	
row_12	PRKCA	PRKCA	1599	0.07459995150566101	0.042415638	No	
row_13	NR1H4	NR1H4	1661	0.0720849335193634	0.045063443	No	
row_14	CCL2	CCL2	1756	0.06886544823646545	0.045733117	No	
row_15	MRC1	MRC1	1931	0.06374773383140564	0.041824415	No	
row_16	CAPN2	CAPN2	1975	0.06251771748065948	0.044636413	No	
row_17	CDK4	CDK4	2013	0.06142955273389816	0.047672875	No	
row_18	NLRP7	NLRP7	2069	0.06005150452256203	0.0496609	No	
row_19	NFKB1	NFKB1	2156	0.05794673040509224	0.04986497	No	
row_20	CDC73	CDC73	2221	0.05622471868991852	0.05107528	No	
row_21	CD36	CD36	2253	0.055418409407138824	0.053938486	No	
row_22	PLSCR4	PLSCR4	2311	0.05425344780087471	0.055353977	No	
row_23	MAPK8	MAPK8	2337	0.05378115177154541	0.058397282	No	
row_24	ANKRD1	ANKRD1	2571	0.0486653633415699	0.050198473	No	
row_25	MAPK3	MAPK3	2807	0.04426105320453644	0.04153973	No	
row_26	CXCL9	CXCL9	2910	0.04270775243639946	0.039679695	No	
row_27	TNFAIP3	TNFAIP3	3071	0.04003119468688965	0.03458385	No	
row_28	IL6	IL6	3234	0.03818129003047943	0.02923444	No	
row_29	PDCD1LG2	PDCD1LG2	3352	0.036626845598220825	0.02610222	No	
row_30	TRIM5	TRIM5	3584	0.03367224708199501	0.016796278	No	
row_31	PRKCE	PRKCE	3612	0.03337905555963516	0.018087225	No	
row_32	TRAF6	TRAF6	3653	0.03292665630578995	0.018664822	No	
row_33	MTDH	MTDH	3734	0.03205093368887901	0.017089207	No	
row_34	BCL10	BCL10	3753	0.03183688595890999	0.018724121	No	
row_35	MALT1	MALT1	3873	0.030190806835889816	0.014967826	No	
row_36	DAB2IP	DAB2IP	3882	0.03010646253824234	0.01698356	No	
row_37	TREM2	TREM2	3950	0.029472406953573227	0.015876433	No	
row_38	AKT1	AKT1	4156	0.027443774044513702	0.007420911	No	
row_39	IRAK1	IRAK1	4222	0.02686491049826145	0.006207254	No	
row_40	HMGB1	HMGB1	4305	0.026091353967785835	0.0040460555	No	
row_41	CTR9	CTR9	4483	0.024196911603212357	-0.0032140464	No	
row_42	JAK2	JAK2	4600	0.02310159057378769	-0.0073868763	No	
row_43	CMPK2	CMPK2	4659	0.02244499698281288	-0.008593176	No	
row_44	BMP6	BMP6	4805	0.021262655034661293	-0.014424357	No	
row_45	ADAM9	ADAM9	4888	0.020622486248612404	-0.01702737	No	
row_46	LACRT	LACRT	5219	0.018059419468045235	-0.032748736	No	
row_47	NFKBIL1	NFKBIL1	5509	0.016198372468352318	-0.046485923	No	
row_48	DEFB118	DEFB118	5546	0.015992488712072372	-0.04706815	No	
row_49	CCR5	CCR5	5595	0.015712495893239975	-0.048297737	No	
row_50	IL24	IL24	5659	0.015314122661948204	-0.05034043	No	
row_51	RHOA	RHOA	5760	0.01468312181532383	-0.05436038	No	
row_52	PRPF8	PRPF8	5852	0.014116119593381882	-0.057957582	No	
row_53	NOS3	NOS3	5924	0.013641265220940113	-0.060551915	No	
row_54	PPM1E	PPM1E	6016	0.013038239441812038	-0.064236194	No	
row_55	IL12B	IL12B	6197	0.012077935971319675	-0.072631545	No	
row_56	XBP1	XBP1	6294	0.011600172147154808	-0.07669231	No	
row_57	IRF8	IRF8	6364	0.011245280504226685	-0.07937609	No	
row_58	PLSCR3	PLSCR3	6590	0.010116057470440865	-0.09027271	No	
row_59	TICAM1	TICAM1	6661	0.00975628662854433	-0.09312884	No	
row_60	TNFSF4	TNFSF4	7079	0.007846007123589516	-0.11420468	No	
row_61	NOS2	NOS2	7263	0.0070029268972575665	-0.12316621	No	
row_62	GBP2	GBP2	7377	0.006590016186237335	-0.1285168	No	
row_63	VIM	VIM	7586	0.005791274830698967	-0.13887775	No	
