NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RARRES2	RARRES2	89	0.2989669144153595	0.08177592	No	
row_1	LTF	LTF	948	0.10818776488304138	0.06873133	No	
row_2	RNASE7	RNASE7	3512	0.03460215777158737	-0.053603828	No	
row_3	BCL10	BCL10	3753	0.03183688595890999	-0.05679777	No	
row_4	COTL1	COTL1	4060	0.028354786336421967	-0.06440537	No	
row_5	DCD	DCD	7043	0.007992900907993317	-0.21606153	No	
row_6	HTN1	HTN1	7070	0.007887015119194984	-0.2151254	No	
row_7	DEFB114	DEFB114	8266	0.003300202079117298	-0.2758717	No	
row_8	PLA2G5	PLA2G5	8591	0.0020600680727511644	-0.29200515	No	
row_9	DEFB4A	DEFB4A	9332	-4.655569209717214E-4	-0.330078	No	
row_10	HRG	HRG	9338	-4.76572138722986E-4	-0.3301985	No	
row_11	TGFB1	TGFB1	9401	-6.811273051425815E-4	-0.33320287	No	
row_12	DEFB136	DEFB136	9688	-0.0017730524996295571	-0.34745726	No	
row_13	DEFB106A	DEFB106A	10059	-0.0030011404305696487	-0.36569393	No	
row_14	IL17A	IL17A	10098	-0.003123491071164608	-0.36675355	No	
row_15	GAPDH	GAPDH	10296	-0.00391165167093277	-0.3757949	No	
row_16	RNASE8	RNASE8	11174	-0.0071353609673678875	-0.41901436	No	
row_17	CLEC6A	CLEC6A	11604	-0.008874273858964443	-0.43860054	No	
row_18	CLEC4C	CLEC4C	12029	-0.010587736032903194	-0.45743352	No	
row_19	PLCG2	PLCG2	12235	-0.011508083902299404	-0.46469334	No	
row_20	DEFA6	DEFA6	12515	-0.012978347949683666	-0.4753491	No	
row_21	NLRP10	NLRP10	12533	-0.013079116120934486	-0.47244832	No	
row_22	HTN3	HTN3	12888	-0.015030678361654282	-0.48638353	No	
row_23	IL17RC	IL17RC	13188	-0.016681600362062454	-0.4970021	No	
row_24	ELANE	ELANE	13813	-0.020809918642044067	-0.5232082	No	
row_25	FAM3A	FAM3A	14091	-0.022693457081913948	-0.53095406	No	
row_26	DEFB106B	DEFB106B	14384	-0.025031449273228645	-0.5387989	No	
row_27	DEFA5	DEFA5	14811	-0.02839086763560772	-0.55259186	No	
row_28	SPON2	SPON2	14901	-0.029168980196118355	-0.54876024	No	
row_29	DEFB119	DEFB119	16206	-0.04355894774198532	-0.60350364	No	
row_30	CLEC4E	CLEC4E	16449	-0.046954039484262466	-0.6024335	No	
row_31	USP15	USP15	16936	-0.0545949712395668	-0.61175406	Yes	
row_32	IL36RN	IL36RN	17126	-0.057804834097623825	-0.6048127	Yes	
row_33	CLEC7A	CLEC7A	17260	-0.060342442244291306	-0.5942468	Yes	
row_34	S100A9	S100A9	17648	-0.06803479790687561	-0.5945731	Yes	
row_35	S100A8	S100A8	17844	-0.07333607226610184	-0.58345455	Yes	
row_36	CARD9	CARD9	17976	-0.07724283635616302	-0.5679029	Yes	
row_37	CHGA	CHGA	17991	-0.07801848649978638	-0.5460864	Yes	
row_38	CTSG	CTSG	18033	-0.07922389358282089	-0.5253156	Yes	
row_39	TRIM62	TRIM62	18155	-0.08271032571792603	-0.5076681	Yes	
row_40	IL17RA	IL17RA	18188	-0.08371023088693619	-0.48513654	Yes	
row_41	SPI1	SPI1	18286	-0.08765018731355667	-0.46482277	Yes	
row_42	MPO	MPO	18590	-0.10292225331068039	-0.45073304	Yes	
row_43	ZBP1	ZBP1	18594	-0.10309743136167526	-0.42110324	Yes	
row_44	DEFA1	DEFA1	18617	-0.10448216646909714	-0.39205438	Yes	
row_45	GNLY	GNLY	18859	-0.12179820984601974	-0.36931026	Yes	
row_46	HAMP	HAMP	18912	-0.1258564442396164	-0.33563533	Yes	
row_47	DEFA4	DEFA4	18936	-0.1277220994234085	-0.29992414	Yes	
row_48	CLEC4D	CLEC4D	18949	-0.12928330898284912	-0.26319394	Yes	
row_49	DEFA1B	DEFA1B	18961	-0.13031412661075592	-0.22611433	Yes	
row_50	CLEC4A	CLEC4A	18986	-0.1332034170627594	-0.1888712	Yes	
row_51	DEFA3	DEFA3	19005	-0.1357332020998001	-0.15058744	Yes	
row_52	CX3CR1	CX3CR1	19273	-0.18096375465393066	-0.11209289	Yes	
row_53	ARG1	ARG1	19351	-0.20707754790782928	-0.056244113	Yes	
row_54	S100A12	S100A12	19353	-0.20719493925571442	0.003562582	Yes	
