NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-A	HLA-A	3593	0.03360466659069061	-0.15777998	No	
row_1	PGLYRP2	PGLYRP2	5913	0.013754080049693584	-0.26607502	No	
row_2	SSC5D	SSC5D	7181	0.007365965284407139	-0.3253637	No	
row_3	HLA-B	HLA-B	8787	0.0012885944452136755	-0.4070167	No	
row_4	PGLYRP3	PGLYRP3	9088	2.5054297293536365E-4	-0.42227104	No	
row_5	NOD1	NOD1	12277	-0.01173565536737442	-0.576987	No	
row_6	TLR1	TLR1	15837	-0.03878460451960564	-0.7287978	No	
row_7	TLR2	TLR2	16374	-0.0459236279129982	-0.71902776	No	
row_8	CD1D	CD1D	17644	-0.06790368258953094	-0.7291324	Yes	
row_9	PGLYRP4	PGLYRP4	17930	-0.07578759640455246	-0.682115	Yes	
row_10	NAIP	NAIP	18461	-0.09571775048971176	-0.63149565	Yes	
row_11	TLR6	TLR6	18565	-0.1014678031206131	-0.55419254	Yes	
row_12	NLRC4	NLRC4	19013	-0.13643169403076172	-0.46614894	Yes	
row_13	PGLYRP1	PGLYRP1	19175	-0.15657161176204681	-0.3469714	Yes	
row_14	NOD2	NOD2	19177	-0.15736031532287598	-0.21890724	Yes	
row_15	HLA-DRB1	HLA-DRB1	19416	-0.2843194007873535	3.0916306E-4	Yes	
