NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-A	HLA-A	3593	0.03360466659069061	-0.1607441	No	
row_1	PGLYRP2	PGLYRP2	5913	0.013754080049693584	-0.27025905	No	
row_2	SSC5D	SSC5D	7181	0.007365965284407139	-0.33020127	No	
row_3	HLA-B	HLA-B	8787	0.0012885944452136755	-0.41197965	No	
row_4	PGLYRP3	PGLYRP3	9088	2.5054297293536365E-4	-0.42725825	No	
row_5	CLEC6A	CLEC6A	11604	-0.008874273858964443	-0.5504209	No	
row_6	NOD1	NOD1	12277	-0.01173565536737442	-0.5765234	No	
row_7	TLR1	TLR1	15837	-0.03878460451960564	-0.73175055	Yes	
row_8	TLR2	TLR2	16374	-0.0459236279129982	-0.7259964	Yes	
row_9	CLEC7A	CLEC7A	17260	-0.060342442244291306	-0.7277486	Yes	
row_10	CD1D	CD1D	17644	-0.06790368258953094	-0.6981343	Yes	
row_11	PGLYRP4	PGLYRP4	17930	-0.07578759640455246	-0.6577395	Yes	
row_12	TLR4	TLR4	18004	-0.07840833067893982	-0.60451436	Yes	
row_13	NAIP	NAIP	18461	-0.09571775048971176	-0.55844694	Yes	
row_14	TLR6	TLR6	18565	-0.1014678031206131	-0.49000823	Yes	
row_15	NLRC4	NLRC4	19013	-0.13643169403076172	-0.41388604	Yes	
row_16	PGLYRP1	PGLYRP1	19175	-0.15657161176204681	-0.30838692	Yes	
row_17	NOD2	NOD2	19177	-0.15736031532287598	-0.19406883	Yes	
row_18	HLA-DRB1	HLA-DRB1	19416	-0.2843194007873535	3.0924435E-4	Yes	
