NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH11	MYH11	37	0.34620633721351624	0.10433501	Yes	
row_1	PRICKLE1	PRICKLE1	307	0.1886836588382721	0.14835618	Yes	
row_2	COL3A1	COL3A1	346	0.18011103570461273	0.20166793	Yes	
row_3	COL1A2	COL1A2	365	0.1761123538017273	0.2547847	Yes	
row_4	COL6A1	COL6A1	442	0.1626940220594406	0.3007904	Yes	
row_5	EMILIN1	EMILIN1	564	0.14251890778541565	0.33828235	Yes	
row_6	SMAD3	SMAD3	662	0.13229386508464813	0.37387502	Yes	
row_7	PPARG	PPARG	763	0.1233760416507721	0.40657616	Yes	
row_8	LOX	LOX	799	0.12004099041223526	0.4416083	Yes	
row_9	GAS6	GAS6	953	0.10792156308889389	0.46683154	Yes	
row_10	HAS3	HAS3	1007	0.10392816364765167	0.49599	Yes	
row_11	AGT	AGT	1241	0.0895930752158165	0.51145995	Yes	
row_12	ELN	ELN	1280	0.0876355767250061	0.5363926	Yes	
row_13	QSOX1	QSOX1	1294	0.08680989593267441	0.56236213	Yes	
row_14	PXDN	PXDN	1373	0.08354166895151138	0.5839742	Yes	
row_15	GPM6B	GPM6B	1411	0.08218227326869965	0.60728496	Yes	
row_16	TIE1	TIE1	1890	0.06488409638404846	0.6025283	Yes	
row_17	HAS2	HAS2	1930	0.06381548941135406	0.6200994	Yes	
row_18	FBLN5	FBLN5	1948	0.06330176442861557	0.6386483	Yes	
row_19	DAG1	DAG1	2176	0.05751452594995499	0.6445835	Yes	
row_20	EFEMP2	EFEMP2	2310	0.05427473783493042	0.6543757	Yes	
row_21	PLOD3	PLOD3	2526	0.04940282925963402	0.6584408	Yes	
row_22	PHLDB1	PHLDB1	2714	0.045934345573186874	0.6628867	Yes	
row_23	NTN4	NTN4	2747	0.045413803309202194	0.6751719	Yes	
row_24	SMAD4	SMAD4	3690	0.03254425898194313	0.6365448	No	
row_25	ATP7A	ATP7A	4092	0.028090372681617737	0.6244706	No	
row_26	TNXB	TNXB	4167	0.027353979647159576	0.6290461	No	
row_27	CLASP1	CLASP1	4434	0.024660279974341393	0.62288624	No	
row_28	TGFBR3	TGFBR3	5344	0.017192644998431206	0.5812511	No	
row_29	CLASP2	CLASP2	5550	0.015984205529093742	0.5755768	No	
row_30	RAMP2	RAMP2	5654	0.015340561047196388	0.574969	No	
row_31	IHH	IHH	5824	0.014338011853396893	0.57064736	No	
row_32	FKBP10	FKBP10	5871	0.014008009806275368	0.57257223	No	
row_33	HAPLN2	HAPLN2	7572	0.005835722666233778	0.48663023	No	
row_34	ANTXR1	ANTXR1	7774	0.005067387595772743	0.4778122	No	
row_35	HAS1	HAS1	8605	0.0020064169075340033	0.43559363	No	
row_36	SMPD3	SMPD3	8928	8.178200223483145E-4	0.41922697	No	
row_37	TGFB1	TGFB1	9401	-6.811273051425815E-4	0.39507723	No	
row_38	MAD2L2	MAD2L2	11290	-0.0075576091185212135	0.29996142	No	
row_39	SOX9	SOX9	13011	-0.01576703041791916	0.21603501	No	
row_40	NOTCH1	NOTCH1	14962	-0.029850581660866737	0.12456085	No	
row_41	RGCC	RGCC	15634	-0.03665240481495857	0.10118013	No	
row_42	MFAP4	MFAP4	15793	-0.038323357701301575	0.10478688	No	
row_43	PHLDB2	PHLDB2	16554	-0.0484578013420105	0.08043595	No	
row_44	THSD4	THSD4	17897	-0.07489033788442612	0.034161076	No	
row_45	TGFBR1	TGFBR1	19081	-0.14497022330760956	0.017598066	No	
