NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK2	PLK2	643	0.13365179300308228	-0.0040977597	No	
row_1	FCER1A	FCER1A	974	0.10654831677675247	0.0020719308	No	
row_2	A2M	A2M	1507	0.07850754261016846	-0.00830883	No	
row_3	NOTCH2	NOTCH2	1539	0.07703295350074768	0.0068791453	No	
row_4	YES1	YES1	1901	0.06459030508995056	0.002301762	No	
row_5	PNMA1	PNMA1	1978	0.062330856919288635	0.011959834	No	
row_6	RBPJ	RBPJ	2371	0.05281201750040054	0.0032132925	No	
row_7	MKRN2	MKRN2	3219	0.03837540000677109	-0.032192823	No	
row_8	EXT1	EXT1	3435	0.035627495497465134	-0.03553806	No	
row_9	PLCG1	PLCG1	3453	0.03538943827152252	-0.02870315	No	
row_10	TREM2	TREM2	3950	0.029472406953573227	-0.04791115	No	
row_11	HMGB1	HMGB1	4305	0.026091353967785835	-0.06051795	No	
row_12	PSMA1	PSMA1	4609	0.023029375821352005	-0.07115662	No	
row_13	GPR17	GPR17	5749	0.014740216545760632	-0.12680387	No	
row_14	IL12B	IL12B	6197	0.012077935971319675	-0.14727096	No	
row_15	NPY5R	NPY5R	7118	0.007680109236389399	-0.19313979	No	
row_16	PARK7	PARK7	7865	0.00473143020644784	-0.23065951	No	
row_17	IL36B	IL36B	8793	0.0012764132115989923	-0.2782858	No	
row_18	RHBDF2	RHBDF2	8943	7.725963951088488E-4	-0.28581727	No	
row_19	IL25	IL25	9083	2.681310288608074E-4	-0.29294193	No	
row_20	IL36A	IL36A	9215	-1.1684758646879345E-4	-0.29968613	No	
row_21	PSMB4	PSMB4	10662	-0.00525244465097785	-0.37326613	No	
row_22	ZP3	ZP3	10990	-0.006391317583620548	-0.38877144	No	
row_23	CD81	CD81	11221	-0.00728789996355772	-0.39906868	No	
row_24	CNR1	CNR1	11773	-0.009499418549239635	-0.42547217	No	
row_25	NLRP6	NLRP6	12253	-0.011624800972640514	-0.4476917	No	
row_26	IL31RA	IL31RA	12699	-0.014014591462910175	-0.46763334	No	
row_27	SRC	SRC	12851	-0.014824751764535904	-0.47220537	No	
row_28	IL1F10	IL1F10	12884	-0.015011372044682503	-0.4705872	No	
row_29	ELANE	ELANE	13813	-0.020809918642044067	-0.5140077	No	
