NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNN1	CNN1	3	0.46213164925575256	0.022063544	Yes	
row_1	MYLK	MYLK	8	0.4272156059741974	0.042395823	Yes	
row_2	RYR3	RYR3	10	0.4233059287071228	0.06269729	Yes	
row_3	KCNE4	KCNE4	26	0.36500564217567444	0.079461984	Yes	
row_4	MYH11	MYH11	37	0.34620633721351624	0.09558472	Yes	
row_5	DES	DES	51	0.3350934088230133	0.11101592	Yes	
row_6	KCNMA1	KCNMA1	75	0.3110639452934265	0.12476777	Yes	
row_7	SGCD	SGCD	77	0.3094997704029083	0.13959709	Yes	
row_8	CACNA1H	CACNA1H	86	0.2998230457305908	0.15359436	Yes	
row_9	CASQ2	CASQ2	93	0.29331734776496887	0.16738361	Yes	
row_10	NMU	NMU	108	0.2837960422039032	0.18029588	Yes	
row_11	SYNM	SYNM	109	0.2810559868812561	0.19380993	Yes	
row_12	PLN	PLN	124	0.26749932765960693	0.20593861	Yes	
row_13	ACTA1	ACTA1	128	0.26513373851776123	0.21852988	Yes	
row_14	CASQ1	CASQ1	132	0.26306772232055664	0.2310218	Yes	
row_15	PTGER3	PTGER3	155	0.2473345845937729	0.24176174	Yes	
row_16	MYOCD	MYOCD	226	0.21568375825881958	0.24846488	Yes	
row_17	SSPN	SSPN	237	0.2110259234905243	0.25808772	Yes	
row_18	OXTR	OXTR	274	0.19938723742961884	0.26578867	Yes	
row_19	DSG2	DSG2	283	0.19648191332817078	0.274817	Yes	
row_20	KCNJ2	KCNJ2	297	0.19097602367401123	0.28331858	Yes	
row_21	KCNN2	KCNN2	310	0.18847684562206268	0.2917524	Yes	
row_22	NPNT	NPNT	343	0.18063925206661224	0.2987615	Yes	
row_23	TPM1	TPM1	347	0.179979607462883	0.30725828	Yes	
row_24	PPP1R12B	PPP1R12B	356	0.17824605107307434	0.31540975	Yes	
row_25	SLMAP	SLMAP	360	0.1772453337907791	0.32377505	Yes	
row_26	MYH2	MYH2	388	0.17186231911182404	0.33062407	Yes	
row_27	TPM4	TPM4	394	0.1699414998292923	0.33853343	Yes	
row_28	TNNI2	TNNI2	410	0.1676885336637497	0.3458105	Yes	
row_29	KCNH2	KCNH2	444	0.16226838529109955	0.35188386	Yes	
row_30	LMOD1	LMOD1	452	0.1614314317703247	0.35927922	Yes	
row_31	ROCK1	ROCK1	465	0.15868765115737915	0.36628067	Yes	
row_32	SMTN	SMTN	489	0.15371021628379822	0.37246647	Yes	
row_33	SCN3B	SCN3B	495	0.15241217613220215	0.37953296	Yes	
row_34	CALD1	CALD1	507	0.15059858560562134	0.38619787	Yes	
row_35	CAV1	CAV1	510	0.1501365453004837	0.3933121	Yes	
row_36	MYH7	MYH7	553	0.14356309175491333	0.39801452	Yes	
row_37	ANXA6	ANXA6	575	0.14139795303344727	0.40371308	Yes	
row_38	MYL9	MYL9	578	0.14119356870651245	0.41039732	Yes	
row_39	ATP1B1	ATP1B1	580	0.14094328880310059	0.41712192	Yes	
row_40	PDE4D	PDE4D	583	0.14082574844360352	0.42378846	Yes	
row_41	ADRA1B	ADRA1B	616	0.1374136507511139	0.4287191	Yes	
row_42	GJA5	GJA5	645	0.13351497054100037	0.4336719	Yes	
row_43	DMPK	DMPK	690	0.12954063713550568	0.43759525	Yes	
row_44	ACE2	ACE2	691	0.12953899800777435	0.44382387	Yes	
row_45	SGCA	SGCA	703	0.12867674231529236	0.44943473	Yes	
row_46	DOCK5	DOCK5	705	0.12856103479862213	0.45556393	Yes	
row_47	TNNT2	TNNT2	706	0.1285061091184616	0.4617429	Yes	
row_48	CACNA1C	CACNA1C	724	0.12703557312488556	0.4669605	Yes	
row_49	SULF1	SULF1	943	0.10860937088727951	0.46076077	Yes	
row_50	ANK2	ANK2	944	0.10842786729335785	0.46597433	Yes	
row_51	TPM2	TPM2	976	0.10648240149021149	0.46947008	Yes	
row_52	ACTA2	ACTA2	985	0.10574676096439362	0.47413558	Yes	
row_53	GSN	GSN	1010	0.10335439443588257	0.4778477	Yes	
row_54	GNAO1	GNAO1	1012	0.10312547534704208	0.4827539	Yes	
row_55	GSTM2	GSTM2	1029	0.10158995538949966	0.48680037	Yes	
row_56	MYL2	MYL2	1106	0.09707444161176682	0.48748603	Yes	
row_57	PRKD1	PRKD1	1125	0.09614001214504242	0.49116564	Yes	
