NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATA3	GATA3	927	0.10954626649618149	-0.007260959	No	
row_1	GAS6	GAS6	953	0.10792156308889389	0.031409726	No	
row_2	IL33	IL33	1094	0.09792274236679077	0.06044539	No	
row_3	NR1H4	NR1H4	1661	0.0720849335193634	0.05793713	No	
row_4	XCL1	XCL1	1725	0.06992354989051819	0.080577806	No	
row_5	PDCD1LG2	PDCD1LG2	3352	0.036626845598220825	0.010256108	No	
row_6	C1QBP	C1QBP	3996	0.028972139582037926	-0.0121879885	No	
row_7	HMGB1	HMGB1	4305	0.026091353967785835	-0.018416468	No	
row_8	SCGB1A1	SCGB1A1	5420	0.0167030468583107	-0.069701865	No	
row_9	PGLYRP2	PGLYRP2	5913	0.013754080049693584	-0.08999086	No	
row_10	TNFSF4	TNFSF4	7079	0.007846007123589516	-0.14718682	No	
row_11	PRNP	PRNP	7622	0.005661122500896454	-0.17305186	No	
row_12	PGLYRP3	PGLYRP3	9088	2.5054297293536365E-4	-0.2485369	No	
row_13	FOXP3	FOXP3	10057	-0.00300014135427773	-0.29736412	No	
row_14	INHBA	INHBA	10110	-0.003171539166942239	-0.2988724	No	
row_15	RARA	RARA	10557	-0.004847824573516846	-0.32008606	No	
row_16	LAPTM5	LAPTM5	10788	-0.005717217456549406	-0.32983458	No	
row_17	NLRP6	NLRP6	12253	-0.011624800972640514	-0.40105644	No	
row_18	AXL	AXL	13332	-0.01761830598115921	-0.45014575	No	
row_19	CD96	CD96	13965	-0.021888693794608116	-0.47464517	No	
row_20	HAVCR2	HAVCR2	14144	-0.023088566958904266	-0.47527894	No	
row_21	IL36RN	IL36RN	17126	-0.057804834097623825	-0.607662	Yes	
row_22	IL10	IL10	17186	-0.05894138291478157	-0.5888814	Yes	
row_23	CD274	CD274	17496	-0.06448737531900406	-0.5809445	Yes	
row_24	CR1	CR1	17605	-0.067142054438591	-0.5616552	Yes	
row_25	DDIT3	DDIT3	17765	-0.07097482681274414	-0.5435778	Yes	
row_26	SLAMF1	SLAMF1	17802	-0.07217614352703094	-0.51871014	Yes	
row_27	LGALS9C	LGALS9C	17848	-0.07340525090694427	-0.4938517	Yes	
row_28	LILRB1	LILRB1	17888	-0.07460044324398041	-0.46824116	Yes	
row_29	TLR4	TLR4	18004	-0.07840833067893982	-0.44514143	Yes	
row_30	LGALS9	LGALS9	18226	-0.08539202809333801	-0.42492425	Yes	
row_31	ZC3H12A	ZC3H12A	18810	-0.11738210171461105	-0.4115372	Yes	
row_32	IL1RL1	IL1RL1	19047	-0.14050358533859253	-0.37168756	Yes	
row_33	INHA	INHA	19136	-0.1515313982963562	-0.32011947	Yes	
row_34	LGALS9B	LGALS9B	19140	-0.15229828655719757	-0.26388234	Yes	
row_35	IL20RB	IL20RB	19147	-0.15315189957618713	-0.2074839	Yes	
row_36	PGLYRP1	PGLYRP1	19175	-0.15657161176204681	-0.15090261	Yes	
row_37	NOD2	NOD2	19177	-0.15736031532287598	-0.09268798	Yes	
row_38	HLA-DRB1	HLA-DRB1	19416	-0.2843194007873535	3.0955547E-4	Yes	
