NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DRA	HLA-DRA	2231	0.056015193462371826	-0.08637516	No	
row_1	EP300	EP300	3431	0.03568539023399353	-0.1299351	No	
row_2	MALT1	MALT1	3873	0.030190806835889816	-0.13721062	No	
row_3	OPA1	OPA1	3941	0.029580699279904366	-0.12550656	No	
row_4	ANXA1	ANXA1	5032	0.01950172707438469	-0.17173804	No	
row_5	SOCS5	SOCS5	5735	0.01483437605202198	-0.2003471	No	
row_6	IL12B	IL12B	6197	0.012077935971319675	-0.21793719	No	
row_7	TNFSF4	TNFSF4	7079	0.007846007123589516	-0.25936127	No	
row_8	NFKBID	NFKBID	7720	0.005260912235826254	-0.28967854	No	
row_9	RIPK2	RIPK2	8187	0.003514220705255866	-0.31191546	No	
row_10	CCL19	CCL19	8912	8.632584940642118E-4	-0.34881958	No	
row_11	IL23R	IL23R	9340	-4.806540091522038E-4	-0.37059945	No	
row_12	FOXP3	FOXP3	10057	-0.00300014135427773	-0.40599576	No	
row_13	RARA	RARA	10557	-0.004847824573516846	-0.42925146	No	
row_14	KLHL25	KLHL25	14270	-0.024055268615484238	-0.6084015	No	
row_15	BRD2	BRD2	14425	-0.025365673005580902	-0.6033454	No	
row_16	CD86	CD86	14610	-0.026791421696543694	-0.59910613	No	
row_17	CD80	CD80	15126	-0.03157932683825493	-0.60948724	Yes	
row_18	SOCS1	SOCS1	15427	-0.034488268196582794	-0.60728705	Yes	
row_19	BRD4	BRD4	15566	-0.03585594892501831	-0.59602934	Yes	
row_20	NLRP3	NLRP3	15679	-0.03701961040496826	-0.58283406	Yes	
row_21	IFNG	IFNG	15943	-0.03999027609825134	-0.5759055	Yes	
row_22	NFKBIZ	NFKBIZ	15959	-0.040190160274505615	-0.5560817	Yes	
row_23	IL2RG	IL2RG	16367	-0.04586215317249298	-0.5535718	Yes	
row_24	IL12RB1	IL12RB1	16484	-0.04743773862719536	-0.5352436	Yes	
row_25	IL18	IL18	16608	-0.04914332553744316	-0.5164023	Yes	
row_26	PRKCZ	PRKCZ	16619	-0.049279242753982544	-0.49166244	Yes	
row_27	CD83	CD83	16779	-0.05182794854044914	-0.47330233	Yes	
row_28	IL23A	IL23A	17150	-0.05828846991062164	-0.46251532	Yes	
row_29	ZBTB7B	ZBTB7B	17604	-0.06708523631095886	-0.4515014	Yes	
row_30	SHB	SHB	18064	-0.08005259931087494	-0.43415117	Yes	
row_31	SASH3	SASH3	18121	-0.08158811926841736	-0.3952258	Yes	
row_32	LGALS9	LGALS9	18226	-0.08539202809333801	-0.35682693	Yes	
row_33	IL4R	IL4R	18659	-0.10706325620412827	-0.32424092	Yes	
row_34	HLX	HLX	19342	-0.2051619589328766	-0.25427508	Yes	
row_35	NCKAP1L	NCKAP1L	19371	-0.21967613697052002	-0.14313501	Yes	
row_36	HLA-DRB1	HLA-DRB1	19416	-0.2843194007873535	3.095221E-4	Yes	
