NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK2	PLK2	643	0.13365179300308228	0.015116788	No	
row_1	YES1	YES1	1901	0.06459030508995056	-0.026399028	No	
row_2	MKRN2	MKRN2	3219	0.03837540000677109	-0.08048263	No	
row_3	PLCG1	PLCG1	3453	0.03538943827152252	-0.079716966	No	
row_4	TREM2	TREM2	3950	0.029472406953573227	-0.09465856	No	
row_5	PSMA1	PSMA1	4609	0.023029375821352005	-0.12028647	No	
row_6	GPR17	GPR17	5749	0.014740216545760632	-0.1737263	No	
row_7	IL12B	IL12B	6197	0.012077935971319675	-0.19242486	No	
row_8	NPY5R	NPY5R	7118	0.007680109236389399	-0.23711656	No	
row_9	PARK7	PARK7	7865	0.00473143020644784	-0.2738963	No	
row_10	RHBDF2	RHBDF2	8943	7.725963951088488E-4	-0.32918414	No	
row_11	PSMB4	PSMB4	10662	-0.00525244465097785	-0.41592526	No	
row_12	ZP3	ZP3	10990	-0.006391317583620548	-0.43048722	No	
row_13	CD81	CD81	11221	-0.00728789996355772	-0.4397206	No	
row_14	CNR1	CNR1	11773	-0.009499418549239635	-0.46471664	No	
row_15	NLRP6	NLRP6	12253	-0.011624800972640514	-0.48522997	No	
row_16	SRC	SRC	12851	-0.014824751764535904	-0.51067513	No	
row_17	HLA-E	HLA-E	15316	-0.033402733504772186	-0.62573415	No	
row_18	CD28	CD28	15383	-0.03404073417186737	-0.6168395	No	
row_19	GPX1	GPX1	15576	-0.03597956523299217	-0.6137453	No	
row_20	C3	C3	15636	-0.03666472062468529	-0.60354143	No	
row_21	FUT7	FUT7	15983	-0.040524937212467194	-0.6067503	No	
row_22	SYK	SYK	16277	-0.04460291191935539	-0.6057512	No	
row_23	IL10	IL10	17186	-0.05894138291478157	-0.63130176	Yes	
row_24	LTA	LTA	17319	-0.061265163123607635	-0.6159755	Yes	
row_25	SPN	SPN	17634	-0.067696213722229	-0.60771567	Yes	
row_26	PLA2G2D	PLA2G2D	17706	-0.06948618590831757	-0.58627164	Yes	
row_27	FYN	FYN	17734	-0.07022026181221008	-0.5622923	Yes	
row_28	FGR	FGR	18181	-0.08349055051803589	-0.555136	Yes	
row_29	LYN	LYN	18329	-0.08925461024045944	-0.5304703	Yes	
row_30	FURIN	FURIN	18536	-0.10012152045965195	-0.5049222	Yes	
row_31	HCK	HCK	18629	-0.10513946413993835	-0.47167924	Yes	
row_32	BTK	BTK	18669	-0.10755626857280731	-0.43482852	Yes	
row_33	MAPK14	MAPK14	18759	-0.11402866989374161	-0.39821884	Yes	
row_34	FCGR1A	FCGR1A	18892	-0.12484031170606613	-0.35992122	Yes	
row_35	FCGR2B	FCGR2B	18932	-0.12737715244293213	-0.31590867	Yes	
row_36	TNF	TNF	19137	-0.15177491307258606	-0.27159366	Yes	
row_37	IL20RB	IL20RB	19147	-0.15315189957618713	-0.2167202	Yes	
row_38	NOD2	NOD2	19177	-0.15736031532287598	-0.16135801	Yes	
row_39	CCR7	CCR7	19316	-0.1969507485628128	-0.09731455	Yes	
row_40	HLA-DRB1	HLA-DRB1	19416	-0.2843194007873535	3.096792E-4	Yes	
