NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATA2	GATA2	1593	0.0748433768749237	-0.049974594	No	
row_1	F2RL1	F2RL1	2020	0.061297498643398285	-0.04556226	No	
row_2	FES	FES	2668	0.04693170636892319	-0.058739975	No	
row_3	CD177	CD177	2959	0.04184332862496376	-0.05568676	No	
row_4	RABGEF1	RABGEF1	4028	0.028688885271549225	-0.09844444	No	
row_5	KLRC2	KLRC2	4063	0.028348753228783607	-0.087991856	No	
row_6	VAMP7	VAMP7	4191	0.027163779363036156	-0.082848534	No	
row_7	SNX4	SNX4	4539	0.023693598806858063	-0.09055198	No	
row_8	STXBP2	STXBP2	5278	0.01763925328850746	-0.12103892	No	
row_9	C12orf4	C12orf4	5601	0.01565660908818245	-0.13091306	No	
row_10	VAMP8	VAMP8	6089	0.012671174481511116	-0.15058711	No	
row_11	ITGAM	ITGAM	6312	0.011521799489855766	-0.15708148	No	
row_12	PDPK1	PDPK1	6367	0.011231026612222195	-0.15503189	No	
row_13	ITGB2	ITGB2	6874	0.008769125677645206	-0.17736661	No	
row_14	LAMP1	LAMP1	7935	0.004497843328863382	-0.23012821	No	
row_15	ADORA2B	ADORA2B	8184	0.0035174216609448195	-0.24141096	No	
row_16	IL13	IL13	8283	0.003234641160815954	-0.24507514	No	
row_17	FOXF1	FOXF1	9069	3.201288927812129E-4	-0.28544506	No	
row_18	AP1G1	AP1G1	9224	-1.4251205720938742E-4	-0.29333043	No	
row_19	STX4	STX4	10288	-0.0038689947687089443	-0.34651762	No	
row_20	UNC13D	UNC13D	12461	-0.012720093131065369	-0.45312038	No	
row_21	PLA2G3	PLA2G3	12957	-0.01543574221432209	-0.4720168	No	
row_22	SPHK2	SPHK2	14461	-0.025611402466893196	-0.5385467	No	
row_23	GAB2	GAB2	14666	-0.027329448610544205	-0.53730536	No	
row_24	IL13RA2	IL13RA2	14681	-0.027425002306699753	-0.52621853	No	
row_25	RAC2	RAC2	14754	-0.027954911813139915	-0.5178964	No	
row_26	CD84	CD84	14760	-0.027987126260995865	-0.5061031	No	
row_27	STXBP1	STXBP1	15308	-0.03332529217004776	-0.51997954	No	
row_28	HLA-F	HLA-F	15687	-0.037083420902490616	-0.52351695	No	
row_29	SYK	SYK	16277	-0.04460291191935539	-0.5347045	No	
row_30	CCR2	CCR2	16842	-0.05289722606539726	-0.54103047	No	
row_31	FGR	FGR	18181	-0.08349055051803589	-0.57412297	Yes	
row_32	LGALS9	LGALS9	18226	-0.08539202809333801	-0.53962344	Yes	
row_33	SPI1	SPI1	18286	-0.08765018731355667	-0.5049255	Yes	
row_34	LYN	LYN	18329	-0.08925461024045944	-0.4686595	Yes	
row_35	IL4R	IL4R	18659	-0.10706325620412827	-0.43953487	Yes	
row_36	GATA1	GATA1	18690	-0.1091148853302002	-0.39409772	Yes	
row_37	CEACAM1	CEACAM1	18723	-0.11113662272691727	-0.34789324	Yes	
row_38	BCR	BCR	18736	-0.11200267821550369	-0.30028376	Yes	
row_39	CD300A	CD300A	18762	-0.11407595127820969	-0.25245234	Yes	
row_40	FCGR2B	FCGR2B	18932	-0.12737715244293213	-0.20632415	Yes	
row_41	PTAFR	PTAFR	19010	-0.13627639412879944	-0.15161647	Yes	
row_42	PRAM1	PRAM1	19274	-0.18155989050865173	-0.08700762	Yes	
row_43	NCKAP1L	NCKAP1L	19371	-0.21967613697052002	0.002631783	Yes	
