NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBLN1	CBLN1	22	0.3919355273246765	0.18302728	Yes	
row_1	CBLN2	CBLN2	116	0.27354317903518677	0.30676273	Yes	
row_2	GPC4	GPC4	290	0.1947508603334427	0.3893493	Yes	
row_3	SLITRK4	SLITRK4	353	0.1788148730993271	0.47017282	Yes	
row_4	IL1RAP	IL1RAP	371	0.17514151334762573	0.5515912	Yes	
row_5	LRFN5	LRFN5	485	0.15492147207260132	0.6185574	Yes	
row_6	EFNB3	EFNB3	496	0.15237227082252502	0.689638	Yes	
row_7	WNT7A	WNT7A	2093	0.05955233797430992	0.63530564	Yes	
row_8	LRFN3	LRFN3	2300	0.05439167842268944	0.6502385	Yes	
row_9	FZD1	FZD1	2546	0.049022819846868515	0.66063726	Yes	
row_10	VPS35	VPS35	2658	0.047102272510528564	0.6770447	Yes	
row_11	MDGA1	MDGA1	2823	0.04399482160806656	0.6892585	Yes	
row_12	LRRC4B	LRRC4B	3105	0.03963439166545868	0.69338906	Yes	
row_13	SLITRK3	SLITRK3	5908	0.013785931281745434	0.55535185	No	
row_14	EIF4G1	EIF4G1	6050	0.012826893478631973	0.5541068	No	
row_15	IL1RAPL1	IL1RAPL1	6117	0.012485097162425518	0.5565692	No	
row_16	LRRTM1	LRRTM1	8560	0.0021554012782871723	0.4316343	No	
row_17	SLITRK2	SLITRK2	8768	0.0013419846072793007	0.42158872	No	
row_18	LRRTM3	LRRTM3	8940	7.756919949315488E-4	0.41313377	No	
row_19	GRID2	GRID2	9117	1.5188250108622015E-4	0.40412784	No	
row_20	FARP1	FARP1	11540	-0.008598356507718563	0.28325182	No	
row_21	ARF6	ARF6	11570	-0.008712049573659897	0.28584972	No	
row_22	LRFN4	LRFN4	11804	-0.009624101221561432	0.27835476	No	
row_23	SLITRK6	SLITRK6	11857	-0.009878549724817276	0.28031453	No	
row_24	WNT3A	WNT3A	12172	-0.011281975544989109	0.26942095	No	
row_25	SLITRK5	SLITRK5	12224	-0.011478750966489315	0.2721842	No	
row_26	APP	APP	13366	-0.017803147435188293	0.2217017	No	
row_27	IL1RAPL2	IL1RAPL2	13545	-0.019058650359511375	0.22147648	No	
row_28	CLSTN3	CLSTN3	13908	-0.021544495597481728	0.2129294	No	
row_29	NLGN2	NLGN2	14180	-0.023386070504784584	0.209941	No	
row_30	SLITRK1	SLITRK1	14678	-0.027413971722126007	0.19718914	No	
row_31	SNCA	SNCA	15156	-0.03192080184817314	0.18758644	No	
row_32	NTNG2	NTNG2	15331	-0.03353998810052872	0.19437198	No	
row_33	DKK1	DKK1	15509	-0.035269226878881454	0.20181534	No	
