NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RARRES2	RARRES2	89	0.2989669144153595	0.06921894	No	
row_1	LTF	LTF	948	0.10818776488304138	0.051606115	No	
row_2	ATG5	ATG5	2967	0.041712068021297455	-0.042346608	No	
row_3	RNASE7	RNASE7	3512	0.03460215777158737	-0.06190665	No	
row_4	BCL10	BCL10	3753	0.03183688595890999	-0.066444546	No	
row_5	MALT1	MALT1	3873	0.030190806835889816	-0.06513789	No	
row_6	COTL1	COTL1	4060	0.028354786336421967	-0.06774585	No	
row_7	PTX3	PTX3	5194	0.01825684681534767	-0.12176992	No	
row_8	DCD	DCD	7043	0.007992900907993317	-0.21526577	No	
row_9	HTN1	HTN1	7070	0.007887015119194984	-0.21466158	No	
row_10	CRK	CRK	7840	0.004814393352717161	-0.2532001	No	
row_11	DEFB114	DEFB114	8266	0.003300202079117298	-0.27434117	No	
row_12	PLA2G5	PLA2G5	8591	0.0020600680727511644	-0.29057065	No	
row_13	IL25	IL25	9083	2.681310288608074E-4	-0.31586993	No	
row_14	DEFB4A	DEFB4A	9332	-4.655569209717214E-4	-0.32856688	No	
row_15	HRG	HRG	9338	-4.76572138722986E-4	-0.32870752	No	
row_16	TGFB1	TGFB1	9401	-6.811273051425815E-4	-0.33174232	No	
row_17	DEFB136	DEFB136	9688	-0.0017730524996295571	-0.34607956	No	
row_18	DEFB106A	DEFB106A	10059	-0.0030011404305696487	-0.3644531	No	
row_19	IL17A	IL17A	10098	-0.003123491071164608	-0.365645	No	
row_20	GAPDH	GAPDH	10296	-0.00391165167093277	-0.37485638	No	
row_21	RNASE8	RNASE8	11174	-0.0071353609673678875	-0.41840124	No	
row_22	CLEC6A	CLEC6A	11604	-0.008874273858964443	-0.43837264	No	
row_23	CLEC4C	CLEC4C	12029	-0.010587736032903194	-0.4576627	No	
row_24	PLCG2	PLCG2	12235	-0.011508083902299404	-0.46541175	No	
row_25	DEFA6	DEFA6	12515	-0.012978347949683666	-0.4766207	No	
row_26	NLRP10	NLRP10	12533	-0.013079116120934486	-0.47426963	No	
row_27	HTN3	HTN3	12888	-0.015030678361654282	-0.48884642	No	
row_28	IL17RC	IL17RC	13188	-0.016681600362062454	-0.5001742	No	
row_29	ELANE	ELANE	13813	-0.020809918642044067	-0.5272725	No	
row_30	FAM3A	FAM3A	14091	-0.022693457081913948	-0.53597945	No	
row_31	DEFB106B	DEFB106B	14384	-0.025031449273228645	-0.544884	No	
row_32	DEFA5	DEFA5	14811	-0.02839086763560772	-0.5598817	No	
row_33	SPON2	SPON2	14901	-0.029168980196118355	-0.5572775	No	
row_34	DEFB119	DEFB119	16206	-0.04355894774198532	-0.6138883	No	
row_35	SYK	SYK	16277	-0.04460291191935539	-0.60649186	No	
row_36	CLEC4E	CLEC4E	16449	-0.046954039484262466	-0.60373265	No	
row_37	USP15	USP15	16936	-0.0545949712395668	-0.61536	Yes	
row_38	IL36RN	IL36RN	17126	-0.057804834097623825	-0.6108515	Yes	
row_39	BAK1	BAK1	17136	-0.057969722896814346	-0.5970034	Yes	
row_40	CLEC7A	CLEC7A	17260	-0.060342442244291306	-0.5884588	Yes	
row_41	S100A9	S100A9	17648	-0.06803479790687561	-0.59165335	Yes	
row_42	S100A8	S100A8	17844	-0.07333607226610184	-0.5836201	Yes	
row_43	CARD9	CARD9	17976	-0.07724283635616302	-0.57131594	Yes	
row_44	CHGA	CHGA	17991	-0.07801848649978638	-0.552776	Yes	
row_45	TLR4	TLR4	18004	-0.07840833067893982	-0.5340364	Yes	
row_46	CTSG	CTSG	18033	-0.07922389358282089	-0.515922	Yes	
row_47	TRIM62	TRIM62	18155	-0.08271032571792603	-0.5017513	Yes	
row_48	IL17RA	IL17RA	18188	-0.08371023088693619	-0.4827359	Yes	
row_49	MYD88	MYD88	18196	-0.0841781422495842	-0.4623134	Yes	
row_50	SPI1	SPI1	18286	-0.08765018731355667	-0.44526988	Yes	
row_51	MPO	MPO	18590	-0.10292225331068039	-0.435511	Yes	
row_52	ZBP1	ZBP1	18594	-0.10309743136167526	-0.41021058	Yes	
row_53	DEFA1	DEFA1	18617	-0.10448216646909714	-0.38554984	Yes	
row_54	BTK	BTK	18669	-0.10755626857280731	-0.36162823	Yes	
row_55	SCIMP	SCIMP	18851	-0.12074235081672668	-0.34116685	Yes	
row_56	GNLY	GNLY	18859	-0.12179820984601974	-0.31145576	Yes	
row_57	HAMP	HAMP	18912	-0.1258564442396164	-0.28306738	Yes	
row_58	DEFA4	DEFA4	18936	-0.1277220994234085	-0.2527202	Yes	
row_59	CLEC4D	CLEC4D	18949	-0.12928330898284912	-0.2214193	Yes	
row_60	DEFA1B	DEFA1B	18961	-0.13031412661075592	-0.18981221	Yes	
row_61	CLEC4A	CLEC4A	18986	-0.1332034170627594	-0.15816334	Yes	
row_62	DEFA3	DEFA3	19005	-0.1357332020998001	-0.12557988	Yes	
row_63	CX3CR1	CX3CR1	19273	-0.18096375465393066	-0.094692275	Yes	
row_64	ARG1	ARG1	19351	-0.20707754790782928	-0.047541447	Yes	
row_65	S100A12	S100A12	19353	-0.20719493925571442	0.0035645945	Yes	
