NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VTCN1	VTCN1	909	0.11114155501127243	0.00872164	No	
row_1	GBP1	GBP1	2555	0.04883962124586105	-0.05166936	No	
row_2	IRF4	IRF4	3547	0.03415120393037796	-0.08568557	No	
row_3	HRAS	HRAS	3892	0.029999909922480583	-0.08841739	No	
row_4	BCL3	BCL3	6091	0.012664093635976315	-0.19541697	No	
row_5	IL12B	IL12B	6197	0.012077935971319675	-0.19478975	No	
row_6	IRF8	IRF8	6364	0.011245280504226685	-0.19772434	No	
row_7	GBP7	GBP7	7290	0.0068895542062819	-0.24197343	No	
row_8	GBP2	GBP2	7377	0.006590016186237335	-0.24311154	No	
row_9	PF4	PF4	10373	-0.004204763099551201	-0.39543757	No	
row_10	NKG7	NKG7	12309	-0.011847135610878468	-0.48928487	No	
row_11	GBP6	GBP6	13089	-0.016110483556985855	-0.52139366	No	
row_12	LYST	LYST	15755	-0.03788876533508301	-0.63985574	No	
row_13	BATF	BATF	16316	-0.04509631171822548	-0.64617395	No	
row_14	GBP4	GBP4	17084	-0.05695482715964317	-0.6572341	Yes	
row_15	IL10	IL10	17186	-0.05894138291478157	-0.63296	Yes	
row_16	CLEC7A	CLEC7A	17260	-0.060342442244291306	-0.60654145	Yes	
row_17	SPN	SPN	17634	-0.067696213722229	-0.5919133	Yes	
row_18	CD40	CD40	17842	-0.07323311269283295	-0.5659563	Yes	
row_19	SLC11A1	SLC11A1	17961	-0.07668882608413696	-0.5336817	Yes	
row_20	MYD88	MYD88	18196	-0.0841781422495842	-0.5036423	Yes	
row_21	TSPAN32	TSPAN32	18566	-0.10152028501033783	-0.47188947	Yes	
row_22	DEFA1	DEFA1	18617	-0.10448216646909714	-0.42220673	Yes	
row_23	BATF2	BATF2	18648	-0.1064445972442627	-0.37051114	Yes	
row_24	IL4R	IL4R	18659	-0.10706325620412827	-0.3174749	Yes	
row_25	DEFA1B	DEFA1B	18961	-0.13031412661075592	-0.26781344	Yes	
row_26	BPGM	BPGM	19105	-0.14688274264335632	-0.2017177	Yes	
row_27	ARG1	ARG1	19351	-0.20707754790782928	-0.11077252	Yes	
row_28	CCDC88B	CCDC88B	19383	-0.22867727279663086	0.002010948	Yes	
