NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SARM1	SARM1	843	0.11614204943180084	-0.012785575	No	
row_1	RAB11FIP2	RAB11FIP2	1242	0.08955122530460358	-0.009619569	No	
row_2	CD36	CD36	2253	0.055418409407138824	-0.047132045	No	
row_3	AP3B1	AP3B1	2318	0.054117172956466675	-0.036095485	No	
row_4	SMPDL3B	SMPDL3B	3442	0.035487234592437744	-0.084731355	No	
row_5	LRRC19	LRRC19	3540	0.034215718507766724	-0.08067551	No	
row_6	IRF4	IRF4	3547	0.03415120393037796	-0.07193344	No	
row_7	LRRC14	LRRC14	3564	0.03394336625933647	-0.06376331	No	
row_8	PRKCE	PRKCE	3612	0.03337905555963516	-0.05734499	No	
row_9	TRAF6	TRAF6	3653	0.03292665630578995	-0.05068479	No	
row_10	BCL10	BCL10	3753	0.03183688595890999	-0.047362857	No	
row_11	RNF115	RNF115	3992	0.02902223914861679	-0.051971182	No	
row_12	IRAK1	IRAK1	4222	0.02686491049826145	-0.05668617	No	
row_13	TYRO3	TYRO3	4512	0.023955680429935455	-0.06527338	No	
row_14	HSPD1	HSPD1	4673	0.022367918863892555	-0.067614086	No	
row_15	ESR1	ESR1	5173	0.018425125628709793	-0.08852107	No	
row_16	NFKBIL1	NFKBIL1	5509	0.016198372468352318	-0.10154195	No	
row_17	TRAF3	TRAF3	5677	0.01522764377295971	-0.10613707	No	
row_18	BIRC2	BIRC2	6015	0.013039624318480492	-0.12009858	No	
row_19	PDPK1	PDPK1	6367	0.011231026612222195	-0.13526307	No	
row_20	TICAM1	TICAM1	6661	0.00975628662854433	-0.14782074	No	
row_21	TLR3	TLR3	7712	0.0053012860007584095	-0.20068476	No	
row_22	UNC93B1	UNC93B1	7862	0.004735143389552832	-0.2071307	No	
row_23	REG3G	REG3G	8617	0.00192316307220608	-0.24559137	No	
row_24	OTUD4	OTUD4	8722	0.001488761161454022	-0.250572	No	
row_25	RPS6KA3	RPS6KA3	9343	-4.830530670005828E-4	-0.2824886	No	
row_26	CACTIN	CACTIN	10105	-0.0031460332684218884	-0.32098696	No	
row_27	IRAK4	IRAK4	10758	-0.005603199824690819	-0.35320032	No	
row_28	TIFAB	TIFAB	11024	-0.006533019710332155	-0.36516517	No	
row_29	IRAK3	IRAK3	11618	-0.008917631581425667	-0.39345062	No	
row_30	PLCG2	PLCG2	12235	-0.011508083902299404	-0.42223817	No	
row_31	NLRP6	NLRP6	12253	-0.011624800972640514	-0.42003554	No	
row_32	TLR9	TLR9	12985	-0.01560899242758751	-0.45367986	No	
row_33	MAP3K7	MAP3K7	13040	-0.015891805291175842	-0.45225856	No	
row_34	TICAM2	TICAM2	13261	-0.01715795323252678	-0.45908132	No	
row_35	LY96	LY96	13427	-0.018221065402030945	-0.4627796	No	
row_36	IRAK2	IRAK2	13700	-0.02013452537357807	-0.47150102	No	
row_37	GDI1	GDI1	13904	-0.02152368798851967	-0.47628796	No	
row_38	FOSL1	FOSL1	14451	-0.02555125020444393	-0.49773526	No	
row_39	IKBKB	IKBKB	14862	-0.02880886197090149	-0.51128995	No	
row_40	TNIP3	TNIP3	14991	-0.03018764778971672	-0.509904	No	
row_41	GPS2	GPS2	15777	-0.038120802491903305	-0.5403724	Yes	
row_42	TLR1	TLR1	15837	-0.03878460451960564	-0.53314143	Yes	
row_43	NFKBIZ	NFKBIZ	15959	-0.040190160274505615	-0.52874243	Yes	
row_44	TIRAP	TIRAP	16043	-0.04132085293531418	-0.5220797	Yes	
row_45	TNIP1	TNIP1	16049	-0.041420888155698776	-0.51135904	Yes	
row_46	TLR2	TLR2	16374	-0.0459236279129982	-0.5159324	Yes	
row_47	TLR10	TLR10	16441	-0.046903498470783234	-0.5069112	Yes	
row_48	IRF7	IRF7	16500	-0.047811564058065414	-0.49723595	Yes	
row_49	MAPKAPK2	MAPKAPK2	16520	-0.04807475954294205	-0.48547518	Yes	
row_50	BIRC3	BIRC3	16941	-0.054754503071308136	-0.49266952	Yes	
row_51	TLR5	TLR5	16983	-0.055404700338840485	-0.48010293	Yes	
row_52	YWHAE	YWHAE	17275	-0.06064441427588463	-0.47906873	Yes	
row_53	CD274	CD274	17496	-0.06448737531900406	-0.4733463	Yes	
row_54	TLR7	TLR7	17521	-0.06520015746355057	-0.45730466	Yes	
row_55	S100A9	S100A9	17648	-0.06803479790687561	-0.44578353	Yes	
row_56	S100A8	S100A8	17844	-0.07333607226610184	-0.43642348	Yes	
row_57	IRF3	IRF3	17871	-0.07399766892194748	-0.41815335	Yes	
row_58	IRF1	IRF1	17987	-0.07782746851444244	-0.40346804	Yes	
row_59	ARRB2	ARRB2	17992	-0.07808425277471542	-0.3829776	Yes	
row_60	TLR4	TLR4	18004	-0.07840833067893982	-0.3627631	Yes	
row_61	MYD88	MYD88	18196	-0.0841781422495842	-0.3503225	Yes	
row_62	GPR108	GPR108	18219	-0.08508329093456268	-0.32890725	Yes	
row_63	TLR8	TLR8	18283	-0.08760792762041092	-0.3089419	Yes	
row_64	GFI1	GFI1	18466	-0.0959889218211174	-0.29290554	Yes	
row_65	TLR6	TLR6	18565	-0.1014678031206131	-0.27107543	Yes	
row_66	MFHAS1	MFHAS1	18600	-0.10337364673614502	-0.24543233	Yes	
row_67	LRCH4	LRCH4	18626	-0.10493996739387512	-0.21890888	Yes	
row_68	BTK	BTK	18669	-0.10755626857280731	-0.19257058	Yes	
row_69	CD300A	CD300A	18762	-0.11407595127820969	-0.16708842	Yes	
row_70	MAPKAPK3	MAPKAPK3	18832	-0.11927136778831482	-0.1390404	Yes	
row_71	SCIMP	SCIMP	18851	-0.12074235081672668	-0.10796655	Yes	
row_72	CTSS	CTSS	19090	-0.14576725661754608	-0.08163023	Yes	
row_73	LGR4	LGR4	19211	-0.16468094289302826	-0.0441818	Yes	
row_74	CD300LF	CD300LF	19354	-0.20763398706912994	0.0035147727	Yes	
