NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYLK	MYLK	8	0.4272156059741974	0.059793614	Yes	
row_1	PDLIM3	PDLIM3	31	0.3546312153339386	0.10863389	Yes	
row_2	ROR1	ROR1	34	0.34811243414878845	0.15758982	Yes	
row_3	ACTA1	ACTA1	128	0.26513373851776123	0.19014536	Yes	
row_4	PGM5	PGM5	156	0.24670182168483734	0.2235166	Yes	
row_5	SYNPO2	SYNPO2	172	0.2400248646736145	0.25656748	Yes	
row_6	PALLD	PALLD	228	0.21552219986915588	0.2840965	Yes	
row_7	PDLIM5	PDLIM5	239	0.2106301337480545	0.31326336	Yes	
row_8	SORBS1	SORBS1	267	0.20030154287815094	0.34009543	Yes	
row_9	TPM1	TPM1	347	0.179979607462883	0.36137426	Yes	
row_10	PPP1R12B	PPP1R12B	356	0.17824605107307434	0.38608068	Yes	
row_11	PDLIM4	PDLIM4	386	0.172476664185524	0.40888795	Yes	
row_12	TPM4	TPM4	394	0.1699414998292923	0.43247575	Yes	
row_13	LPP	LPP	400	0.16901063919067383	0.45603576	Yes	
row_14	FHL3	FHL3	426	0.1653575301170349	0.47804663	Yes	
row_15	CALD1	CALD1	507	0.15059858560562134	0.49513307	Yes	
row_16	MYH7	MYH7	553	0.14356309175491333	0.5130381	Yes	
row_17	MYL9	MYL9	578	0.14119356870651245	0.53169525	Yes	
row_18	FAM107A	FAM107A	588	0.14047351479530334	0.5510267	Yes	
row_19	FLNB	FLNB	598	0.13949410617351532	0.5702201	Yes	
row_20	DBN1	DBN1	770	0.12309218943119049	0.57872385	Yes	
row_21	ACTN1	ACTN1	869	0.11363060772418976	0.58966947	Yes	
row_22	PDLIM7	PDLIM7	947	0.1081918254494667	0.6009347	Yes	
row_23	XIRP1	XIRP1	980	0.1060432493686676	0.61422443	Yes	
row_24	ACTA2	ACTA2	985	0.10574676096439362	0.6289204	Yes	
row_25	FBLIM1	FBLIM1	1011	0.10325251519680023	0.64217883	Yes	
row_26	AFAP1L1	AFAP1L1	1063	0.09945285320281982	0.6535571	Yes	
row_27	ILK	ILK	1212	0.09106341004371643	0.6587365	Yes	
row_28	AFAP1	AFAP1	1378	0.08338197320699692	0.6619542	Yes	
row_29	MYH10	MYH10	1648	0.0726061537861824	0.6582747	Yes	
row_30	PPP1R12A	PPP1R12A	1652	0.07248147577047348	0.6683343	Yes	
row_31	ACTN4	ACTN4	1749	0.06908950209617615	0.67310625	Yes	
row_32	SHROOM4	SHROOM4	1755	0.0688895583152771	0.6825563	Yes	
row_33	TRIP6	TRIP6	1845	0.06600786745548248	0.6872559	Yes	
row_34	CTTNBP2NL	CTTNBP2NL	2322	0.05403243005275726	0.6702534	Yes	
row_35	FSCN1	FSCN1	2369	0.052883051335811615	0.6753272	Yes	
row_36	DIXDC1	DIXDC1	2400	0.051910437643527985	0.6810914	Yes	
row_37	BAG3	BAG3	2544	0.04903498291969299	0.68060637	Yes	
row_38	MICALL2	MICALL2	2562	0.04874727874994278	0.6865971	Yes	
row_39	ZYX	ZYX	2727	0.04568051919341087	0.68455327	Yes	
row_40	MYO1C	MYO1C	2978	0.04155977442860603	0.677481	Yes	
row_41	CNN2	CNN2	3036	0.040420107543468475	0.68022954	Yes	
row_42	LIMA1	LIMA1	3114	0.03957219421863556	0.6818242	Yes	
row_43	CDC42BPA	CDC42BPA	3120	0.03948485851287842	0.6871302	Yes	
row_44	MYH9	MYH9	3187	0.03874993324279785	0.68917793	Yes	
row_45	TEK	TEK	3235	0.038178250193595886	0.69212765	Yes	
row_46	PPP1R12C	PPP1R12C	3335	0.03686945512890816	0.6922037	Yes	
row_47	GAS2L2	GAS2L2	3465	0.03521496802568436	0.690495	No	
row_48	RAI14	RAI14	3681	0.032670628279447556	0.6839801	No	
row_49	EVL	EVL	4101	0.02800598554313183	0.66625756	No	
row_50	SPEF1	SPEF1	4134	0.027711544185876846	0.668508	No	
row_51	DAAM1	DAAM1	4418	0.024767659604549408	0.6573626	No	
row_52	PDLIM1	PDLIM1	4886	0.020633438602089882	0.6361186	No	
row_53	CORO1B	CORO1B	5114	0.01889561116695404	0.6270418	No	
row_54	GAS2L1	GAS2L1	5239	0.017938874661922455	0.623157	No	
