NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX3X	DDX3X	3745	0.03190399333834648	-0.1663153	No	
row_1	GSDMD	GSDMD	6226	0.01194882020354271	-0.28412366	No	
row_2	NLRP9	NLRP9	8014	0.004175223875790834	-0.3727188	No	
row_3	NLRP6	NLRP6	12253	-0.011624800972640514	-0.58138853	No	
row_4	NLRP3	NLRP3	15679	-0.03701961040496826	-0.7269383	Yes	
row_5	AIM2	AIM2	16306	-0.04496344178915024	-0.7216147	Yes	
row_6	DHX33	DHX33	16704	-0.05067570507526398	-0.69971615	Yes	
row_7	CARD8	CARD8	17531	-0.06546549499034882	-0.6875624	Yes	
row_8	NLRP1	NLRP1	17536	-0.06558652967214584	-0.6329495	Yes	
row_9	PYCARD	PYCARD	17725	-0.06983988732099533	-0.5842631	Yes	
row_10	CASP4	CASP4	18168	-0.08305995166301727	-0.5376158	Yes	
row_11	NAIP	NAIP	18461	-0.09571775048971176	-0.47265908	Yes	
row_12	CARD16	CARD16	18639	-0.10565493255853653	-0.39347064	Yes	
row_13	CASP1	CASP1	18711	-0.11037369817495346	-0.3048759	Yes	
row_14	MEFV	MEFV	18973	-0.13212864100933075	-0.20788859	Yes	
row_15	NLRC4	NLRC4	19013	-0.13643169403076172	-0.09586488	Yes	
row_16	CASP5	CASP5	19043	-0.1398487240076065	0.019530185	Yes	
