NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GH1	GH1	1	0.5265214443206787	0.017450195	Yes	
row_1	SERPINA5	SERPINA5	13	0.4173137843608856	0.030744007	Yes	
row_2	PRG4	PRG4	20	0.3936084806919098	0.043512832	Yes	
row_3	CBLN1	CBLN1	22	0.3919355273246765	0.056489076	Yes	
row_4	PRG2	PRG2	28	0.3601650297641754	0.06819877	Yes	
row_5	CDH13	CDH13	33	0.3529323935508728	0.07972064	Yes	
row_6	SERPINE2	SERPINE2	38	0.3456302285194397	0.09099977	Yes	
row_7	PODN	PODN	67	0.31896454095840454	0.10012991	Yes	
row_8	MFAP5	MFAP5	68	0.3174777626991272	0.11068361	Yes	
row_9	FN1	FN1	84	0.30122244358062744	0.11990785	Yes	
row_10	RARRES2	RARRES2	89	0.2989669144153595	0.12963578	Yes	
row_11	TNC	TNC	127	0.2657626271247864	0.1365239	Yes	
row_12	ECM2	ECM2	170	0.2403247207403183	0.14230338	Yes	
row_13	ADAM19	ADAM19	175	0.23948219418525696	0.1500539	Yes	
row_14	WNT2	WNT2	180	0.23681090772151947	0.15771562	Yes	
row_15	COL16A1	COL16A1	185	0.2342424988746643	0.16529197	Yes	
row_16	CXCL12	CXCL12	191	0.2294350117444992	0.17265588	Yes	
row_17	ANGPTL2	ANGPTL2	227	0.21566526591777802	0.17798387	Yes	
row_18	ANGPT1	ANGPT1	230	0.21385039389133453	0.18498755	Yes	
row_19	TGFB1I1	TGFB1I1	248	0.20788443088531494	0.19100378	Yes	
row_20	PCSK6	PCSK6	256	0.20476335287094116	0.19744235	Yes	
row_21	LAMB1	LAMB1	275	0.19881896674633026	0.20310465	Yes	
row_22	KAZALD1	KAZALD1	281	0.19740960001945496	0.20940396	Yes	
row_23	ANGPTL1	ANGPTL1	288	0.19501259922981262	0.215571	Yes	
row_24	GPC4	GPC4	290	0.1947508603334427	0.22199236	Yes	
row_25	SERPINF1	SERPINF1	301	0.1892688125371933	0.22775804	Yes	
row_26	WNT2B	WNT2B	302	0.18918585777282715	0.23404701	Yes	
row_27	THBS2	THBS2	308	0.18868227303028107	0.24005622	Yes	
row_28	MATN2	MATN2	309	0.188478022813797	0.24632168	Yes	
row_29	TGFB2	TGFB2	312	0.1884625405073166	0.2524814	Yes	
row_30	CPA3	CPA3	318	0.18682841956615448	0.25842896	Yes	
row_31	THBS1	THBS1	339	0.18119747936725616	0.26340026	Yes	
row_32	NPNT	NPNT	343	0.18063925206661224	0.26924732	Yes	
row_33	COL3A1	COL3A1	346	0.18011103570461273	0.2751294	Yes	
row_34	COL12A1	COL12A1	355	0.17870160937309265	0.280649	Yes	
row_35	COL1A2	COL1A2	365	0.1761123538017273	0.28602993	Yes	
row_36	COCH	COCH	374	0.17477206885814667	0.2914189	Yes	
row_37	SOD3	SOD3	389	0.17171351611614227	0.2963906	Yes	
row_38	TPSAB1	TPSAB1	397	0.16948367655277252	0.30165637	Yes	
