NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYNM	SYNM	109	0.2810559868812561	0.12556471	Yes	
row_1	KRT8	KRT8	142	0.25502410531044006	0.24294719	Yes	
row_2	FLNC	FLNC	144	0.2524026930332184	0.36070368	Yes	
row_3	PGM5	PGM5	156	0.24670182168483734	0.47528395	Yes	
row_4	KRT19	KRT19	428	0.1645289659500122	0.53811175	Yes	
row_5	VCL	VCL	457	0.15996867418289185	0.6113336	Yes	
row_6	SVIL	SVIL	661	0.13238070905208588	0.6626606	Yes	
row_7	SDC4	SDC4	791	0.1210457906126976	0.71251047	Yes	
row_8	ANK2	ANK2	944	0.10842786729335785	0.75528574	Yes	
row_9	HOMER1	HOMER1	1387	0.08307177573442459	0.77128154	Yes	
row_10	AHNAK	AHNAK	1570	0.07536232471466064	0.7970776	Yes	
row_11	DAG1	DAG1	2176	0.05751452594995499	0.79274476	No	
row_12	SMPX	SMPX	2954	0.041891179978847504	0.7722561	No	
row_13	DMD	DMD	3641	0.033047378063201904	0.7523291	No	
row_14	FXR1	FXR1	6763	0.009300999343395233	0.5958355	No	
row_15	AHNAK2	AHNAK2	9920	-0.0025219835806638002	0.43437412	No	
row_16	PLEC	PLEC	10418	-0.004344350192695856	0.41078988	No	
row_17	ANK3	ANK3	18755	-0.11390070617198944	0.034372624	No	
