NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAC1	RAC1	1763	0.0687345340847969	-0.07073369	No	
row_1	AP2A2	AP2A2	2853	0.04359715059399605	-0.11408887	No	
row_2	FCER1G	FCER1G	3509	0.0346456877887249	-0.1376771	No	
row_3	CD93	CD93	3529	0.03442195802927017	-0.12848866	No	
row_4	CD58	CD58	3631	0.03316716477274895	-0.12390539	No	
row_5	PTPRN2	PTPRN2	3955	0.029424704611301422	-0.13189177	No	
row_6	PKP1	PKP1	4168	0.02735188603401184	-0.13475855	No	
row_7	DSP	DSP	4278	0.02632373571395874	-0.1326102	No	
row_8	DYNLL1	DYNLL1	4390	0.02511299028992653	-0.13092284	No	
row_9	STBD1	STBD1	4465	0.024316933006048203	-0.12756	No	
row_10	COPB1	COPB1	4999	0.019810238853096962	-0.14923117	No	
row_11	SERPINB6	SERPINB6	5193	0.01827053539454937	-0.15379977	No	
row_12	ATAD3B	ATAD3B	5205	0.01815205067396164	-0.149005	No	
row_13	PRCP	PRCP	5322	0.017313018441200256	-0.14988025	No	
row_14	RHOA	RHOA	5760	0.01468312181532383	-0.16810876	No	
row_15	DYNC1LI1	DYNC1LI1	5960	0.013444347307085991	-0.17441306	No	
row_16	ITGB2	ITGB2	6874	0.008769125677645206	-0.21896923	No	
row_17	LAMP1	LAMP1	7935	0.004497843328863382	-0.27237833	No	
row_18	LGALS3	LGALS3	7966	0.004360768478363752	-0.27263916	No	
row_19	DSG1	DSG1	7969	0.004353926982730627	-0.27145612	No	
row_20	ATP6AP2	ATP6AP2	9386	-6.511221872642636E-4	-0.34438536	No	
row_21	LAMP2	LAMP2	9943	-0.0026078508235514164	-0.3723265	No	
row_22	SLC2A3	SLC2A3	10865	-0.005956477951258421	-0.41812676	No	
row_23	SERPINB12	SERPINB12	11128	-0.006974245421588421	-0.42959586	No	
row_24	TMEM179B	TMEM179B	11794	-0.009573211893439293	-0.46110785	No	
row_25	CLEC4C	CLEC4C	12029	-0.010587736032903194	-0.47006348	No	
row_26	DSC1	DSC1	12294	-0.011794581077992916	-0.48021176	No	
row_27	DOK3	DOK3	12439	-0.01262197457253933	-0.48391882	No	
row_28	SIRPA	SIRPA	12505	-0.01289660856127739	-0.48346525	No	
row_29	ENPP4	ENPP4	13314	-0.017525995150208473	-0.52001214	No	
row_30	TCIRG1	TCIRG1	13490	-0.018689287826418877	-0.5235275	No	
row_31	ARL8A	ARL8A	13822	-0.020873581990599632	-0.53445333	No	
row_32	LAMTOR1	LAMTOR1	14071	-0.02257913537323475	-0.5405892	No	
row_33	GAA	GAA	14747	-0.027922634035348892	-0.5671965	No	
row_34	DIAPH1	DIAPH1	14967	-0.02987867034971714	-0.5696782	No	
row_35	NFASC	NFASC	15319	-0.033432260155677795	-0.5779265	No	
row_36	UBR4	UBR4	15770	-0.03802850842475891	-0.5899292	No	
row_37	MGAM	MGAM	17517	-0.06512142717838287	-0.6608525	Yes	
row_38	CR1	CR1	17605	-0.067142054438591	-0.64550877	Yes	
row_39	CD55	CD55	17751	-0.07066105306148529	-0.6321205	Yes	
row_40	ATP6V0A1	ATP6V0A1	17814	-0.07245130836963654	-0.6139172	Yes	
row_41	ATP6V0C	ATP6V0C	17902	-0.07501491904258728	-0.5962475	Yes	
row_42	SLC11A1	SLC11A1	17961	-0.07668882608413696	-0.5765857	Yes	
row_43	SERPINB10	SERPINB10	18312	-0.08860673755407333	-0.5684817	Yes	
row_44	FPR1	FPR1	18333	-0.08936905115842819	-0.5431114	Yes	
row_45	LILRB2	LILRB2	18456	-0.09553731232881546	-0.521186	Yes	
row_46	FCAR	FCAR	18740	-0.11246562749147415	-0.5025733	Yes	
row_47	CD300A	CD300A	18762	-0.11407595127820969	-0.46995524	Yes	
row_48	ITGAX	ITGAX	18864	-0.12199229747056961	-0.4391296	Yes	
row_49	TBC1D10C	TBC1D10C	18926	-0.1267670840024948	-0.40482765	Yes	
row_50	NBEAL2	NBEAL2	18935	-0.12763112783432007	-0.3675336	Yes	
row_51	CLEC4D	CLEC4D	18949	-0.12928330898284912	-0.33000958	Yes	
row_52	ADAM8	ADAM8	19033	-0.13836918771266937	-0.29341605	Yes	
row_53	ADGRE3	ADGRE3	19244	-0.1745031476020813	-0.25270534	Yes	
row_54	LILRA3	LILRA3	19303	-0.1922897845506668	-0.19889057	Yes	
row_55	NCKAP1L	NCKAP1L	19371	-0.21967613697052002	-0.13744955	Yes	
row_56	SIGLEC5	SIGLEC5	19385	-0.22987867891788483	-0.07020577	Yes	
row_57	FPR2	FPR2	19399	-0.24392426013946533	0.0011876205	Yes	
