NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RYR3	RYR3	10	0.4233059287071228	0.043629967	Yes	
row_1	DES	DES	51	0.3350934088230133	0.07650415	Yes	
row_2	SLC8A2	SLC8A2	73	0.31220731139183044	0.1079767	Yes	
row_3	SGCD	SGCD	77	0.3094997704029083	0.14010029	Yes	
row_4	SYNM	SYNM	109	0.2810559868812561	0.16780537	Yes	
row_5	CASQ1	CASQ1	132	0.26306772232055664	0.19410108	Yes	
row_6	KRT8	KRT8	142	0.25502410531044006	0.22023201	Yes	
row_7	FLNC	FLNC	144	0.2524026930332184	0.2465044	Yes	
row_8	PGM5	PGM5	156	0.24670182168483734	0.27166364	Yes	
row_9	POPDC2	POPDC2	167	0.241024911403656	0.29628268	Yes	
row_10	SSPN	SSPN	237	0.2110259234905243	0.31471345	Yes	
row_11	KCNJ2	KCNJ2	297	0.19097602367401123	0.3315717	Yes	
row_12	SLMAP	SLMAP	360	0.1772453337907791	0.34684232	Yes	
row_13	TGFB3	TGFB3	416	0.16679354012012482	0.36138588	Yes	
row_14	BVES	BVES	419	0.16641509532928467	0.3786384	Yes	
row_15	KRT19	KRT19	428	0.1645289659500122	0.395383	Yes	
row_16	COL6A1	COL6A1	442	0.1626940220594406	0.41167697	Yes	
row_17	VCL	VCL	457	0.15996867418289185	0.42763487	Yes	
row_18	COL6A2	COL6A2	506	0.15062105655670166	0.44085473	Yes	
row_19	CAV1	CAV1	510	0.1501365453004837	0.4563576	Yes	
row_20	ANXA6	ANXA6	575	0.14139795303344727	0.4677858	Yes	
row_21	ATP1B1	ATP1B1	580	0.14094328880310059	0.48227802	Yes	
row_22	BGN	BGN	625	0.13606631755828857	0.49418733	Yes	
row_23	VCAM1	VCAM1	694	0.1294286847114563	0.5041598	Yes	
row_24	SGCA	SGCA	703	0.12867674231529236	0.51716524	Yes	
row_25	CACNA1C	CACNA1C	724	0.12703557312488556	0.5293772	Yes	
row_26	CORO1C	CORO1C	840	0.1165321096777916	0.5355674	Yes	
row_27	SYNC	SYNC	868	0.11364062130451202	0.5460194	Yes	
row_28	CDH2	CDH2	920	0.11021056026220322	0.55486906	Yes	
row_29	ANK2	ANK2	944	0.10842786729335785	0.5649848	Yes	
row_30	KCNB1	KCNB1	1036	0.10117499530315399	0.5708179	Yes	
