NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FTH1	FTH1	1990	0.0620875358581543	-0.06462967	No	
row_1	HLA-DRA	HLA-DRA	2231	0.056015193462371826	-0.04276454	No	
row_2	FTL	FTL	7231	0.0071038962341845036	-0.29610306	No	
row_3	MAP1LC3A	MAP1LC3A	7810	0.00491038104519248	-0.32289568	No	
row_4	LAMP1	LAMP1	7935	0.004497843328863382	-0.32653838	No	
row_5	PLA2G5	PLA2G5	8591	0.0020600680727511644	-0.35904217	No	
row_6	NCOA4	NCOA4	8976	6.4657541224733E-4	-0.3784408	No	
row_7	LAMP2	LAMP2	9943	-0.0026078508235514164	-0.4266407	No	
row_8	CRHBP	CRHBP	10720	-0.005485018715262413	-0.46328828	No	
row_9	PIK3C3	PIK3C3	13884	-0.021387970075011253	-0.6132573	No	
row_10	GAA	GAA	14747	-0.027922634035348892	-0.64062405	No	
row_11	HLA-DRB3	HLA-DRB3	16142	-0.042490482330322266	-0.6865097	Yes	
row_12	PLEKHM1	PLEKHM1	16437	-0.04683898389339447	-0.6730365	Yes	
row_13	SQSTM1	SQSTM1	17441	-0.06332291662693024	-0.68603486	Yes	
row_14	SLC48A1	SLC48A1	18052	-0.07973918318748474	-0.6687419	Yes	
row_15	MPEG1	MPEG1	18254	-0.08637426793575287	-0.6263111	Yes	
row_16	LRRK2	LRRK2	18320	-0.08902397006750107	-0.57525057	Yes	
row_17	CLN3	CLN3	18376	-0.09166442602872849	-0.52206063	Yes	
row_18	ADAM8	ADAM8	19033	-0.13836918771266937	-0.47130442	Yes	
row_19	NCF1	NCF1	19078	-0.14459790289402008	-0.38519478	Yes	
row_20	NCF4	NCF4	19159	-0.1541808694601059	-0.29508376	Yes	
row_21	NCF2	NCF2	19373	-0.22048990428447723	-0.17130062	Yes	
row_22	HLA-DRB1	HLA-DRB1	19416	-0.2843194007873535	3.0930643E-4	Yes	
