NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRB	PTPRB	439	0.16310955584049225	0.004833638	No	
row_1	ITGAV	ITGAV	744	0.12578485906124115	0.010347723	No	
row_2	SNAP25	SNAP25	851	0.11529954522848129	0.024332017	No	
row_3	SCAMP1	SCAMP1	932	0.1091766431927681	0.038627267	No	
row_4	SLC2A5	SLC2A5	1201	0.09164345264434814	0.040239	No	
row_5	CKAP4	CKAP4	1465	0.080195352435112	0.040176496	No	
row_6	ANO6	ANO6	1506	0.07851884514093399	0.051364426	No	
row_7	CD36	CD36	2253	0.055418409407138824	0.022138102	No	
row_8	DEGS1	DEGS1	2750	0.04531455785036087	0.0041358187	No	
row_9	ATP8B4	ATP8B4	2914	0.04257988929748535	0.0028944805	No	
row_10	CD177	CD177	2959	0.04184332862496376	0.0076834266	No	
row_11	RAP2B	RAP2B	3328	0.03692879527807236	-0.0051145474	No	
row_12	ATP8A1	ATP8A1	3387	0.036178454756736755	-0.002006105	No	
row_13	CD93	CD93	3529	0.03442195802927017	-0.0034869537	No	
row_14	CD47	CD47	3983	0.029087254777550697	-0.022005025	No	
row_15	VAMP1	VAMP1	5100	0.01904727891087532	-0.07650834	No	
row_16	PGRMC1	PGRMC1	5154	0.01857782155275345	-0.0761129	No	
row_17	ADAM10	ADAM10	5464	0.016421308740973473	-0.08932179	No	
row_18	RAP1A	RAP1A	5741	0.014797396026551723	-0.101098105	No	
row_19	TARM1	TARM1	5994	0.013194842264056206	-0.11190372	No	
row_20	VAMP8	VAMP8	6089	0.012671174481511116	-0.114626035	No	
row_21	ITGAM	ITGAM	6312	0.011521799489855766	-0.12416252	No	
row_22	OLR1	OLR1	6796	0.009133598767220974	-0.14760105	No	
row_23	ITGB2	ITGB2	6874	0.008769125677645206	-0.15010294	No	
row_24	MLEC	MLEC	7870	0.0047063687816262245	-0.20076942	No	
row_25	LAMTOR3	LAMTOR3	7904	0.004613155964761972	-0.2016973	No	
row_26	AGPAT2	AGPAT2	8064	0.003977874293923378	-0.20924912	No	
row_27	SNAP23	SNAP23	8258	0.0033234120346605778	-0.21866992	No	
row_28	ATP11A	ATP11A	8515	0.0023245958145707846	-0.23151769	No	
row_29	SLC15A4	SLC15A4	8773	0.0013277367688715458	-0.24458547	No	
row_30	ATP6V1D	ATP6V1D	10378	-0.004209676757454872	-0.3268331	No	
row_31	SLC2A3	SLC2A3	10865	-0.005956477951258421	-0.3509632	No	
row_32	SLCO4C1	SLCO4C1	10882	-0.006023545749485493	-0.35077372	No	
row_33	PLAU	PLAU	11541	-0.008608521893620491	-0.38335186	No	
row_34	TMEM30A	TMEM30A	12190	-0.011350558139383793	-0.41494983	No	
row_35	HGSNAT	HGSNAT	12352	-0.012145704589784145	-0.42122608	No	
row_36	MMP25	MMP25	12521	-0.013013377785682678	-0.4277179	No	
row_37	STOM	STOM	12969	-0.01550094224512577	-0.44821948	No	
row_38	KCNAB2	KCNAB2	13114	-0.01623505912721157	-0.45292607	No	
row_39	CMTM6	CMTM6	13202	-0.01681917905807495	-0.45458603	No	
row_40	HMOX2	HMOX2	13313	-0.017522260546684265	-0.45731682	No	
row_41	LAIR1	LAIR1	13421	-0.018182452768087387	-0.459781	No	
row_42	ALDH3B1	ALDH3B1	13838	-0.021023036912083626	-0.47774696	No	
row_43	ORMDL3	ORMDL3	14019	-0.022239921614527702	-0.48330164	No	
row_44	AP1M1	AP1M1	14069	-0.02257048524916172	-0.4820252	No	
row_45	LAMTOR1	LAMTOR1	14071	-0.02257913537323475	-0.47826478	No	
row_46	CD33	CD33	14309	-0.02439497411251068	-0.4864036	No	
row_47	C3AR1	C3AR1	14422	-0.02535824663937092	-0.48791486	No	
row_48	TSPAN14	TSPAN14	15678	-0.03701397404074669	-0.5465738	No	
row_49	LAMTOR2	LAMTOR2	15769	-0.03800641745328903	-0.5448118	No	
row_50	UBR4	UBR4	15770	-0.03802850842475891	-0.53839123	No	
row_51	STK10	STK10	15871	-0.039111241698265076	-0.5369599	No	
row_52	DGAT1	DGAT1	15893	-0.039394475519657135	-0.53139484	No	
row_53	SLC44A2	SLC44A2	15914	-0.039672866463661194	-0.5257311	No	
row_54	TMC6	TMC6	16871	-0.053244683891534805	-0.56618553	Yes	
row_55	HVCN1	HVCN1	17036	-0.056199755519628525	-0.56517905	Yes	
row_56	CYBB	CYBB	17099	-0.057366348803043365	-0.55870026	Yes	
row_57	CD53	CD53	17166	-0.058678582310676575	-0.55220675	Yes	
row_58	DNAJC5	DNAJC5	17578	-0.06641242653131485	-0.5622508	Yes	
row_59	CYBA	CYBA	17799	-0.07202135026454926	-0.56146944	Yes	
row_60	TMEM63A	TMEM63A	18063	-0.08003773540258408	-0.56155854	Yes	
row_61	MS4A3	MS4A3	18236	-0.08569511771202087	-0.555986	Yes	
row_62	TMBIM1	TMBIM1	18249	-0.08605672419071198	-0.54207724	Yes	
row_63	CD59	CD59	18318	-0.08879992365837097	-0.5306017	Yes	
row_64	CLEC5A	CLEC5A	18401	-0.09307936578989029	-0.51912767	Yes	
