NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRB	PTPRB	439	0.16310955584049225	0.012790432	No	
row_1	SNAP25	SNAP25	851	0.11529954522848129	0.016629867	No	
row_2	ANO6	ANO6	1506	0.07851884514093399	-8.531276E-5	No	
row_3	RAP2C	RAP2C	1730	0.0698462575674057	0.003582691	No	
row_4	ATP8B4	ATP8B4	2914	0.04257988929748535	-0.04828135	No	
row_5	NRAS	NRAS	2936	0.042138583958148956	-0.040202092	No	
row_6	CD177	CD177	2959	0.04184332862496376	-0.032238718	No	
row_7	RAP2B	RAP2B	3328	0.03692879527807236	-0.043221597	No	
row_8	FCER1G	FCER1G	3509	0.0346456877887249	-0.044987254	No	
row_9	CD93	CD93	3529	0.03442195802927017	-0.03848287	No	
row_10	CD47	CD47	3983	0.029087254777550697	-0.055562988	No	
row_11	DYNLL1	DYNLL1	4390	0.02511299028992653	-0.071078986	No	
row_12	STBD1	STBD1	4465	0.024316933006048203	-0.06961404	No	
row_13	COPB1	COPB1	4999	0.019810238853096962	-0.09284523	No	
row_14	VAMP1	VAMP1	5100	0.01904727891087532	-0.09386972	No	
row_15	SERPINB6	SERPINB6	5193	0.01827053539454937	-0.094649784	No	
row_16	ADAM10	ADAM10	5464	0.016421308740973473	-0.10502908	No	
row_17	TARM1	TARM1	5994	0.013194842264056206	-0.12949231	No	
row_18	VAMP8	VAMP8	6089	0.012671174481511116	-0.13159347	No	
row_19	ITGAM	ITGAM	6312	0.011521799489855766	-0.1405582	No	
row_20	OLR1	OLR1	6796	0.009133598767220974	-0.1635279	No	
row_21	ITGB2	ITGB2	6874	0.008769125677645206	-0.1655993	No	
row_22	LAMTOR3	LAMTOR3	7904	0.004613155964761972	-0.21776333	No	
row_23	SNAP23	SNAP23	8258	0.0033234120346605778	-0.23527968	No	
row_24	ATP11A	ATP11A	8515	0.0023245958145707846	-0.24800137	No	
row_25	RAB14	RAB14	8971	6.642632652074099E-4	-0.27136627	No	
row_26	ATP6AP2	ATP6AP2	9386	-6.511221872642636E-4	-0.2926156	No	
row_27	SLC2A3	SLC2A3	10865	-0.005956477951258421	-0.3676868	No	
row_28	PLAU	PLAU	11541	-0.008608521893620491	-0.40069115	No	
row_29	CLEC4C	CLEC4C	12029	-0.010587736032903194	-0.4235513	No	
row_30	HGSNAT	HGSNAT	12352	-0.012145704589784145	-0.4375472	No	
row_31	SIRPA	SIRPA	12505	-0.01289660856127739	-0.44259614	No	
row_32	STOM	STOM	12969	-0.01550094224512577	-0.4631477	No	
row_33	KCNAB2	KCNAB2	13114	-0.01623505912721157	-0.46705723	No	
row_34	LAIR1	LAIR1	13421	-0.018182452768087387	-0.47891358	No	
row_35	CD33	CD33	14309	-0.02439497411251068	-0.5194385	No	
row_36	GAA	GAA	14747	-0.027922634035348892	-0.5359452	No	
row_37	TSPAN14	TSPAN14	15678	-0.03701397404074669	-0.57594746	No	
row_38	LAMTOR2	LAMTOR2	15769	-0.03800641745328903	-0.572332	No	
row_39	UBR4	UBR4	15770	-0.03802850842475891	-0.5640616	No	
row_40	TMC6	TMC6	16871	-0.053244683891534805	-0.6093177	Yes	
row_41	CYBB	CYBB	17099	-0.057366348803043365	-0.6085705	Yes	
row_42	CD53	CD53	17166	-0.058678582310676575	-0.59921926	Yes	
row_43	CYSTM1	CYSTM1	17298	-0.06092597544193268	-0.5927377	Yes	
row_44	MGAM	MGAM	17517	-0.06512142717838287	-0.58983886	Yes	
row_45	FRMPD3	FRMPD3	17596	-0.06682077050209045	-0.5793369	Yes	
row_46	CYBA	CYBA	17799	-0.07202135026454926	-0.5741108	Yes	
row_47	ATP6V0C	ATP6V0C	17902	-0.07501491904258728	-0.5630668	Yes	
row_48	SLC11A1	SLC11A1	17961	-0.07668882608413696	-0.54938525	Yes	
row_49	TMEM63A	TMEM63A	18063	-0.08003773540258408	-0.53719723	Yes	
row_50	CD59	CD59	18318	-0.08879992365837097	-0.5310089	Yes	
row_51	CLEC5A	CLEC5A	18401	-0.09307936578989029	-0.51500285	Yes	
row_52	LILRB2	LILRB2	18456	-0.09553731232881546	-0.4970155	Yes	
row_53	GPR84	GPR84	18717	-0.11071181297302246	-0.4863718	Yes	
row_54	CEACAM1	CEACAM1	18723	-0.11113662272691727	-0.46246013	Yes	
row_55	FCAR	FCAR	18740	-0.11246562749147415	-0.4388278	Yes	
row_56	CD300A	CD300A	18762	-0.11407595127820969	-0.4151036	Yes	
row_57	ITGAX	ITGAX	18864	-0.12199229747056961	-0.39379126	Yes	
row_58	NBEAL2	NBEAL2	18935	-0.12763112783432007	-0.36965087	Yes	
row_59	CLEC4D	CLEC4D	18949	-0.12928330898284912	-0.34220603	Yes	
row_60	MCEMP1	MCEMP1	18998	-0.13421106338500977	-0.3154979	Yes	
row_61	PTAFR	PTAFR	19010	-0.13627639412879944	-0.28642884	Yes	
row_62	ADAM8	ADAM8	19033	-0.13836918771266937	-0.25747302	Yes	
row_63	CEACAM8	CEACAM8	19049	-0.14056791365146637	-0.22767733	Yes	
row_64	PLD1	PLD1	19080	-0.14477446675300598	-0.19774184	Yes	
row_65	LILRA3	LILRA3	19303	-0.1922897845506668	-0.16739313	Yes	
row_66	SIGLEC5	SIGLEC5	19385	-0.22987867891788483	-0.121584274	Yes	
row_67	FPR2	FPR2	19399	-0.24392426013946533	-0.0692073	Yes	
row_68	CLEC12A	CLEC12A	19421	-0.3234498202800751	5.1547493E-5	Yes	
