NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDLIM3	PDLIM3	31	0.3546312153339386	0.11858714	Yes	
row_1	SYNPO2	SYNPO2	172	0.2400248646736145	0.19271103	Yes	
row_2	PALLD	PALLD	228	0.21552219986915588	0.26291546	Yes	
row_3	PDLIM5	PDLIM5	239	0.2106301337480545	0.33378318	Yes	
row_4	KCNN2	KCNN2	310	0.18847684562206268	0.39404806	Yes	
row_5	PDLIM4	PDLIM4	386	0.172476664185524	0.44863245	Yes	
row_6	CSRP2	CSRP2	455	0.16089296340942383	0.49965218	Yes	
row_7	CSRP1	CSRP1	539	0.14639659225940704	0.54498523	Yes	
row_8	CACNA1C	CACNA1C	724	0.12703557312488556	0.5785468	Yes	
row_9	PKD2	PKD2	752	0.12445914000272751	0.61933386	Yes	
row_10	PPARG	PPARG	763	0.1233760416507721	0.66063076	Yes	
row_11	PDLIM7	PDLIM7	947	0.1081918254494667	0.68785775	Yes	
row_12	MYOT	MYOT	1165	0.09384558349847794	0.7084688	Yes	
row_13	MYOZ1	MYOZ1	1436	0.08138791471719742	0.722124	Yes	
row_14	NFKB1	NFKB1	2156	0.05794673040509224	0.70467377	Yes	
row_15	DAG1	DAG1	2176	0.05751452594995499	0.72318566	Yes	
row_16	MICALL2	MICALL2	2562	0.04874727874994278	0.71984667	No	
row_17	PROM1	PROM1	3934	0.029642445966601372	0.65917146	No	
row_18	MAGI1	MAGI1	4245	0.026677541434764862	0.6522217	No	
row_19	PTPRT	PTPRT	4859	0.02083209715783596	0.62766105	No	
row_20	PDLIM1	PDLIM1	4886	0.020633438602089882	0.63331264	No	
row_21	LDB3	LDB3	6338	0.011370593681931496	0.5623184	No	
row_22	NRAP	NRAP	6647	0.00982649251818657	0.5497609	No	
row_23	XIRP2	XIRP2	7796	0.004980308469384909	0.4922307	No	
row_24	RELA	RELA	7851	0.004777778871357441	0.4910644	No	
row_25	TTN	TTN	7924	0.004543424118310213	0.48889017	No	
row_26	CSRP3	CSRP3	8689	0.0016431169351562858	0.45003715	No	
row_27	LRRC10	LRRC10	9752	-0.0020162330474704504	0.39593866	No	
row_28	RARA	RARA	10557	-0.004847824573516846	0.35610837	No	
row_29	PDLIM2	PDLIM2	11330	-0.0077263847924768925	0.31890434	No	
row_30	CACNA1D	CACNA1D	12712	-0.01407440472394228	0.25243723	No	
row_31	PRICKLE4	PRICKLE4	15324	-0.03347531706094742	0.12909736	No	
row_32	KCNA5	KCNA5	15457	-0.03484557196497917	0.13409765	No	
row_33	TRPC5	TRPC5	15670	-0.036940645426511765	0.13568129	No	
row_34	ADORA2A	ADORA2A	16570	-0.048606857657432556	0.10578072	No	
row_35	MYPN	MYPN	16846	-0.05296313017606735	0.10954469	No	
row_36	PKD2L1	PKD2L1	17678	-0.06870123744010925	0.08996188	No	
