NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDLIM3	PDLIM3	31	0.3546312153339386	0.14726216	Yes	
row_1	SYNPO2	SYNPO2	172	0.2400248646736145	0.24079697	Yes	
row_2	PALLD	PALLD	228	0.21552219986915588	0.3284291	Yes	
row_3	PDLIM5	PDLIM5	239	0.2106301337480545	0.41632792	Yes	
row_4	KCNN2	KCNN2	310	0.18847684562206268	0.49183404	Yes	
row_5	PDLIM4	PDLIM4	386	0.172476664185524	0.5603661	Yes	
row_6	CACNA1C	CACNA1C	724	0.12703557312488556	0.59631515	Yes	
row_7	PKD2	PKD2	752	0.12445914000272751	0.6471662	Yes	
row_8	PPARG	PPARG	763	0.1233760416507721	0.69843906	Yes	
row_9	PDLIM7	PDLIM7	947	0.1081918254494667	0.7344184	Yes	
row_10	MYOT	MYOT	1165	0.09384558349847794	0.7626227	Yes	
row_11	DAG1	DAG1	2176	0.05751452594995499	0.73468983	No	
row_12	MAGI1	MAGI1	4245	0.026677541434764862	0.6392626	No	
row_13	PTPRT	PTPRT	4859	0.02083209715783596	0.616401	No	
row_14	PDLIM1	PDLIM1	4886	0.020633438602089882	0.6237216	No	
row_15	LDB3	LDB3	6338	0.011370593681931496	0.55368143	No	
row_16	NRAP	NRAP	6647	0.00982649251818657	0.54192585	No	
row_17	XIRP2	XIRP2	7796	0.004980308469384909	0.48482588	No	
row_18	TTN	TTN	7924	0.004543424118310213	0.48018494	No	
row_19	LRRC10	LRRC10	9752	-0.0020162330474704504	0.38683173	No	
row_20	RARA	RARA	10557	-0.004847824573516846	0.34741268	No	
row_21	PDLIM2	PDLIM2	11330	-0.0077263847924768925	0.31085184	No	
row_22	CACNA1D	CACNA1D	12712	-0.01407440472394228	0.24555583	No	
row_23	PRICKLE4	PRICKLE4	15324	-0.03347531706094742	0.12498515	No	
row_24	KCNA5	KCNA5	15457	-0.03484557196497917	0.13280609	No	
row_25	ADORA2A	ADORA2A	16570	-0.048606857657432556	0.09587502	No	
row_26	MYPN	MYPN	16846	-0.05296313017606735	0.103927985	No	
row_27	PKD2L1	PKD2L1	17678	-0.06870123744010925	0.08992002	No	
