NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEXN	NEXN	44	0.34065717458724976	0.08343446	Yes	
row_1	BAIAP2L1	BAIAP2L1	219	0.2171391397714615	0.12907653	Yes	
row_2	PALLD	PALLD	228	0.21552219986915588	0.18288748	Yes	
row_3	PDLIM5	PDLIM5	239	0.2106301337480545	0.2353643	Yes	
row_4	DSG2	DSG2	283	0.19648191332817078	0.2825767	Yes	
row_5	ITGA9	ITGA9	476	0.15655018389225006	0.312045	Yes	
row_6	EMILIN1	EMILIN1	564	0.14251890778541565	0.3434075	Yes	
row_7	TRIM29	TRIM29	641	0.13378693163394928	0.37314138	Yes	
row_8	VCAM1	VCAM1	694	0.1294286847114563	0.40301856	Yes	
row_9	CDC42EP1	CDC42EP1	704	0.12862715125083923	0.43491554	Yes	
row_10	CNN3	CNN3	832	0.1173962727189064	0.45789087	Yes	
row_11	KRT18	KRT18	884	0.1129174456000328	0.48366562	Yes	
row_12	SVEP1	SVEP1	921	0.11012257635593414	0.50951207	Yes	
row_13	STXBP6	STXBP6	977	0.10640130937099457	0.5334407	Yes	
row_14	ROBO4	ROBO4	999	0.10434962064027786	0.55860966	Yes	
row_15	ITGA10	ITGA10	1481	0.07948248833417892	0.55375814	Yes	
row_16	EPCAM	EPCAM	1519	0.07798285037279129	0.57146674	Yes	
row_17	JAM3	JAM3	1698	0.07081052660942078	0.58008665	Yes	
row_18	ITGB1	ITGB1	1724	0.06993822008371353	0.59639126	Yes	
row_19	LRRC4C	LRRC4C	1739	0.06951835751533508	0.61315846	Yes	
row_20	GLDN	GLDN	1923	0.06406234949827194	0.61982226	Yes	
row_21	ESAM	ESAM	2008	0.0615561380982399	0.63096994	Yes	
row_22	DSC2	DSC2	2502	0.049866609275341034	0.6180473	No	
row_23	PKP3	PKP3	2969	0.041666656732559204	0.6044564	No	
row_24	PKP2	PKP2	3764	0.03168008476495743	0.5714082	No	
row_25	TMOD3	TMOD3	3977	0.029169371351599693	0.567795	No	
row_26	CD47	CD47	3983	0.029087254777550697	0.57485485	No	
row_27	RPSA	RPSA	4210	0.02693524770438671	0.56995624	No	
row_28	DSP	DSP	4278	0.02632373571395874	0.5731179	No	
row_29	RAB10	RAB10	4350	0.02561316266655922	0.5758941	No	
row_30	PDLIM1	PDLIM1	4886	0.020633438602089882	0.55344677	No	
row_31	CD200	CD200	4930	0.020307039842009544	0.5563345	No	
row_32	ANXA1	ANXA1	5032	0.01950172707438469	0.5560233	No	
row_33	BCAM	BCAM	5660	0.015312358736991882	0.5274844	No	
row_34	CNTN6	CNTN6	6481	0.010589293204247952	0.48778668	No	
row_35	ANXA2	ANXA2	7058	0.007929888553917408	0.46002513	No	
row_36	CNTN2	CNTN2	7553	0.005898040719330311	0.43598858	No	
row_37	ITGA1	ITGA1	7850	0.004778910893946886	0.4218993	No	
row_38	NTNG1	NTNG1	8007	0.0042148674838244915	0.41490063	No	
row_39	CNTN1	CNTN1	9086	2.5386924971826375E-4	0.35927406	No	
row_40	BAIAP2	BAIAP2	9261	-2.8580595972016454E-4	0.35035697	No	
row_41	IGSF9	IGSF9	9305	-3.777615784201771E-4	0.3482306	No	
row_42	DSCAML1	DSCAML1	9621	-0.001468267641030252	0.3323268	No	
row_43	CNTN5	CNTN5	10045	-0.002958431374281645	0.3112186	No	
row_44	ROBO3	ROBO3	10824	-0.005833805073052645	0.27249417	No	
row_45	EMB	EMB	11432	-0.008208807557821274	0.24320129	No	
row_46	IZUMO1	IZUMO1	12099	-0.010928774252533913	0.21154475	No	
row_47	MADCAM1	MADCAM1	12116	-0.01099068857729435	0.21348338	No	
row_48	TMIGD1	TMIGD1	12410	-0.012464121915400028	0.20148264	No	
row_49	SIRPA	SIRPA	12505	-0.01289660856127739	0.19987124	No	
row_50	PAK4	PAK4	13900	-0.021513167768716812	0.13326855	No	
row_51	CLSTN3	CLSTN3	13908	-0.021544495597481728	0.1383274	No	
row_52	JUP	JUP	14116	-0.022858113050460815	0.13338457	No	
row_53	AGER	AGER	14415	-0.02529371716082096	0.124353394	No	
row_54	NFASC	NFASC	15319	-0.033432260155677795	0.08611498	No	
row_55	S100A11	S100A11	15375	-0.03396869823336601	0.09181998	No	
row_56	DSCAM	DSCAM	15414	-0.03435296192765236	0.09849989	No	
row_57	NRCAM	NRCAM	15734	-0.03761957585811615	0.09148495	No	
row_58	CNTN4	CNTN4	15833	-0.03874592483043671	0.09617045	No	
row_59	PLXNB3	PLXNB3	15883	-0.03927655518054962	0.10352084	No	
row_60	NINJ1	NINJ1	15999	-0.04074932634830475	0.107832156	No	
row_61	CXADR	CXADR	16110	-0.042204372584819794	0.11276785	No	
row_62	ITGA2	ITGA2	16490	-0.04756266996264458	0.10515489	No	
row_63	MYPN	MYPN	16846	-0.05296313017606735	0.10014051	No	
row_64	PPP1CA	PPP1CA	17152	-0.058330144733190536	0.09905949	No	
row_65	SLAMF1	SLAMF1	17802	-0.07217614352703094	0.08369071	No	
