NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP12	MMP12	47	0.3380541503429413	0.066351354	Yes	
row_1	PODN	PODN	67	0.31896454095840454	0.13026531	Yes	
row_2	FN1	FN1	84	0.30122244358062744	0.19072449	Yes	
row_3	ECM2	ECM2	170	0.2403247207403183	0.23522902	Yes	
row_4	THBS1	THBS1	339	0.18119747936725616	0.26341584	Yes	
row_5	COCH	COCH	374	0.17477206885814667	0.29721794	Yes	
row_6	COL6A1	COL6A1	442	0.1626940220594406	0.32685786	Yes	
row_7	SPARC	SPARC	447	0.16209904849529266	0.3596314	Yes	
row_8	COL6A2	COL6A2	506	0.15062105655670166	0.38727993	Yes	
row_9	SMAD3	SMAD3	662	0.13229386508464813	0.40618858	Yes	
row_10	HSPG2	HSPG2	768	0.12316025793552399	0.42582196	Yes	
row_11	LOX	LOX	799	0.12004099041223526	0.4486953	Yes	
row_12	SPARCL1	SPARCL1	1258	0.08901677280664444	0.4431457	Yes	
row_13	NID1	NID1	1265	0.08839458972215652	0.4608202	Yes	
row_14	SERPINH1	SERPINH1	1311	0.08615049719810486	0.47602335	Yes	
row_15	TGFBI	TGFBI	1320	0.08560329675674438	0.49302664	Yes	
row_16	CRTAP	CRTAP	1355	0.08452390134334564	0.50846714	Yes	
row_17	PCOLCE	PCOLCE	1449	0.08079025894403458	0.5201	Yes	
row_18	ITGA10	ITGA10	1481	0.07948248833417892	0.53466976	Yes	
row_19	P3H1	P3H1	1527	0.07775411754846573	0.5481646	Yes	
row_20	VWF	VWF	1609	0.07416871190071106	0.5590702	Yes	
row_21	P3H4	P3H4	1681	0.07144660502672195	0.5699386	Yes	
row_22	ITGB1	ITGB1	1724	0.06993822008371353	0.5819982	Yes	
row_23	CD44	CD44	1750	0.06907208263874054	0.59475994	Yes	
row_24	PCOLCE2	PCOLCE2	1945	0.06337590515613556	0.597632	Yes	
row_25	PDGFA	PDGFA	2123	0.05879448726773262	0.6004501	Yes	
row_26	COL5A3	COL5A3	2321	0.054083652794361115	0.60127664	Yes	
row_27	MRC2	MRC2	2335	0.05382129177451134	0.61155534	Yes	
row_28	RELL2	RELL2	2459	0.050815217196941376	0.6155397	Yes	
row_29	DDR2	DDR2	2534	0.04917263239622116	0.6217213	Yes	
row_30	SMAD7	SMAD7	3415	0.03588128462433815	0.58356005	No	
row_31	HSD17B12	HSD17B12	3426	0.03577893599867821	0.5903229	No	
row_32	SMAD4	SMAD4	3690	0.03254425898194313	0.58335745	No	
row_33	TNXB	TNXB	4167	0.027353979647159576	0.5643322	No	
row_34	ADAM9	ADAM9	4888	0.020622486248612404	0.53133214	No	
row_35	LACRT	LACRT	5219	0.018059419468045235	0.51795834	No	
row_36	MMP13	MMP13	5267	0.017707418650388718	0.519133	No	
row_37	COL14A1	COL14A1	6001	0.013129591010510921	0.48393688	No	
row_38	DDR1	DDR1	6350	0.011315300129354	0.46826103	No	
row_39	CCBE1	CCBE1	6472	0.010626242496073246	0.46417207	No	
row_40	COMP	COMP	6828	0.009012121707201004	0.44766602	No	
row_41	ADGRG1	ADGRG1	7004	0.008169837296009064	0.44028756	No	
row_42	ANTXR1	ANTXR1	7774	0.005067387595772743	0.40159133	No	
row_43	ITGA1	ITGA1	7850	0.004778910893946886	0.39868906	No	
row_44	ACHE	ACHE	8816	0.0012087762588635087	0.34908223	No	
row_45	ADGRG6	ADGRG6	8963	7.020441116765141E-4	0.34168258	No	
row_46	AP1G1	AP1G1	9224	-1.4251205720938742E-4	0.32827973	No	
row_47	DSPP	DSPP	9483	-0.0010324424365535378	0.3151613	No	
row_48	CTSB	CTSB	10231	-0.003635294735431671	0.27731022	No	
row_49	USH2A	USH2A	11294	-0.007574786432087421	0.2239875	No	
row_50	CTSK	CTSK	13044	-0.015917442739009857	0.1368711	No	
row_51	AEBP1	AEBP1	13411	-0.01809096708893776	0.121643946	No	
row_52	ITGA3	ITGA3	14237	-0.02380787394940853	0.08386758	No	
row_53	PDGFB	PDGFB	14570	-0.02647826075553894	0.072103344	No	
row_54	PPIB	PPIB	14582	-0.02656262367963791	0.07693942	No	
row_55	LUM	LUM	15045	-0.03077920340001583	0.059334327	No	
row_56	MMP9	MMP9	15547	-0.035631779581308365	0.040701747	No	
row_57	PAK1	PAK1	16070	-0.0416494682431221	0.022208625	No	
row_58	ITGA2	ITGA2	16490	-0.04756266996264458	0.010239659	No	
row_59	CTSL	CTSL	16714	-0.05088047683238983	0.009071259	No	
row_60	VTN	VTN	17434	-0.06319183111190796	-0.015216118	No	
row_61	NID2	NID2	17750	-0.0706365630030632	-0.017117811	No	
row_62	GP6	GP6	18417	-0.09365783631801605	-0.032468643	No	
row_63	C1QTNF1	C1QTNF1	18742	-0.11285226047039032	-0.026246214	No	
row_64	CTSS	CTSS	19090	-0.14576725661754608	-0.014515203	No	
row_65	LRRC15	LRRC15	19166	-0.1553897261619568	0.013225327	No	
