NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRG4	PRG4	20	0.3936084806919098	0.031889413	Yes	
row_1	PRG2	PRG2	28	0.3601650297641754	0.06165589	Yes	
row_2	PODN	PODN	67	0.31896454095840454	0.08636658	Yes	
row_3	MFAP5	MFAP5	68	0.3174777626991272	0.11292538	Yes	
row_4	FN1	FN1	84	0.30122244358062744	0.13734572	Yes	
row_5	TNC	TNC	127	0.2657626271247864	0.15739813	Yes	
row_6	COL16A1	COL16A1	185	0.2342424988746643	0.1740351	Yes	
row_7	LAMB1	LAMB1	275	0.19881896674633026	0.18604766	Yes	
row_8	THBS2	THBS2	308	0.18868227303028107	0.20017095	Yes	
row_9	MATN2	MATN2	309	0.188478022813797	0.2159382	Yes	
row_10	THBS1	THBS1	339	0.18119747936725616	0.22959106	Yes	
row_11	NPNT	NPNT	343	0.18063925206661224	0.24454683	Yes	
row_12	COL3A1	COL3A1	346	0.18011103570461273	0.2595103	Yes	
row_13	COL12A1	COL12A1	355	0.17870160937309265	0.27404445	Yes	
row_14	COL1A2	COL1A2	365	0.1761123538017273	0.28831008	Yes	
row_15	EDIL3	EDIL3	424	0.1657240241765976	0.29916316	Yes	
row_16	COL6A1	COL6A1	442	0.1626940220594406	0.31189102	Yes	
row_17	SPARC	SPARC	447	0.16209904849529266	0.3252439	Yes	
row_18	SPON1	SPON1	472	0.15689359605312347	0.33712313	Yes	
row_19	MMRN1	MMRN1	483	0.15530863404273987	0.3495965	Yes	
row_20	COL6A2	COL6A2	506	0.15062105655670166	0.36105484	Yes	
row_21	TFPI2	TFPI2	509	0.15040959417819977	0.37353364	Yes	
row_22	TINAGL1	TINAGL1	545	0.14571548998355865	0.38390678	Yes	
row_23	SBSPON	SBSPON	548	0.14495021104812622	0.39592886	Yes	
row_24	COL27A1	COL27A1	550	0.14412285387516022	0.40793365	Yes	
row_25	PRELP	PRELP	560	0.14277729392051697	0.4194106	Yes	
row_26	EMILIN1	EMILIN1	564	0.14251890778541565	0.43117738	Yes	
row_27	BGN	BGN	625	0.13606631755828857	0.43944564	Yes	
row_28	MFAP2	MFAP2	630	0.1355685442686081	0.45057908	Yes	
row_29	COL1A1	COL1A1	718	0.12752437591552734	0.45673126	Yes	
row_30	COL15A1	COL15A1	739	0.12617506086826324	0.46624836	Yes	
row_31	HSPG2	HSPG2	768	0.12316025793552399	0.47509798	Yes	
row_32	LTBP4	LTBP4	795	0.12073294818401337	0.4838484	Yes	
row_33	COL5A2	COL5A2	853	0.11520417034626007	0.49052712	Yes	
row_34	LAMA4	LAMA4	857	0.11485586315393448	0.49997973	Yes	
row_35	COL4A2	COL4A2	907	0.1111951544880867	0.50673836	Yes	
row_36	IGFBP7	IGFBP7	995	0.10474347323179245	0.5109848	Yes	
row_37	COL21A1	COL21A1	1079	0.09885311126708984	0.5149461	Yes	
row_38	MXRA5	MXRA5	1204	0.09143351018428802	0.51615846	Yes	
row_39	NID1	NID1	1265	0.08839458972215652	0.52043873	Yes	
row_40	ELN	ELN	1280	0.0876355767250061	0.5270432	Yes	
row_41	MGP	MGP	1286	0.08736415207386017	0.5340922	Yes	
row_42	COL4A4	COL4A4	1297	0.08665212988853455	0.540822	Yes	
row_43	TGFBI	TGFBI	1320	0.08560329675674438	0.54684126	Yes	
row_44	COL18A1	COL18A1	1335	0.0850159153342247	0.5532266	Yes	
row_45	CTHRC1	CTHRC1	1344	0.0847872868180275	0.5599043	Yes	
row_46	PXDN	PXDN	1373	0.08354166895151138	0.5654396	Yes	
row_47	SRPX	SRPX	1423	0.08189676702022552	0.56974727	Yes	
row_48	COL8A1	COL8A1	1424	0.08187947422266006	0.5765969	Yes	
row_49	PCOLCE	PCOLCE	1449	0.08079025894403458	0.5821097	Yes	
row_50	COL4A1	COL4A1	1469	0.08002251386642456	0.5878178	Yes	
row_51	CILP	CILP	1487	0.07925735414028168	0.5935657	Yes	
row_52	LAMA3	LAMA3	1548	0.07674500346183777	0.5968714	Yes	
row_53	MMRN2	MMRN2	1556	0.07630123198032379	0.6028911	Yes	
row_54	VWF	VWF	1609	0.07416871190071106	0.6063965	Yes	
row_55	SRPX2	SRPX2	1780	0.06826075911521912	0.60328263	Yes	
row_56	COL6A3	COL6A3	1810	0.06710111349821091	0.6073907	Yes	
row_57	COL17A1	COL17A1	1815	0.06700349599123001	0.61278826	Yes	
row_58	FBLN5	FBLN5	1948	0.06330176442861557	0.611232	Yes	
row_59	COL4A5	COL4A5	1960	0.06287256628274918	0.61592066	Yes	
row_60	TUFT1	TUFT1	2015	0.06139981374144554	0.6182541	Yes	
row_61	FBN1	FBN1	2072	0.05999435484409332	0.62036616	Yes	
row_62	EFEMP2	EFEMP2	2310	0.05427473783493042	0.61260444	No	
row_63	COL5A3	COL5A3	2321	0.054083652794361115	0.61660975	No	
row_64	LAMA2	LAMA2	2408	0.05175352469086647	0.61647516	No	
