NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSH1	CSH1	0	0.5737018585205078	0.15726338	Yes	
row_1	GH1	GH1	1	0.5265214443206787	0.30159366	Yes	
row_2	CSH2	CSH2	2	0.46394553780555725	0.42877057	Yes	
row_3	CSHL1	CSHL1	5	0.44556593894958496	0.5508061	Yes	
row_4	FABP4	FABP4	76	0.3106314241886139	0.63234645	Yes	
row_5	CRH	CRH	623	0.1366068571805954	0.6416343	Yes	
row_6	LEP	LEP	650	0.13308310508728027	0.6767742	Yes	
row_7	GNAO1	GNAO1	1012	0.10312547534704208	0.68642515	Yes	
row_8	PTHLH	PTHLH	1127	0.09596554189920425	0.70685196	Yes	
row_9	PTPN11	PTPN11	1452	0.08068407326936722	0.7122595	Yes	
row_10	CCK	CCK	1668	0.07189413160085678	0.7208789	Yes	
row_11	SOCS2	SOCS2	1864	0.06545431166887283	0.72876453	Yes	
row_12	JAK1	JAK1	2299	0.054420825093984604	0.7212997	No	
row_13	VIP	VIP	2614	0.04783761501312256	0.7182191	No	
row_14	UCN	UCN	4220	0.026866475120186806	0.6428091	No	
row_15	JAK2	JAK2	4600	0.02310159057378769	0.6295956	No	
row_16	GHRH	GHRH	5775	0.014586351811885834	0.5730473	No	
row_17	UCN3	UCN3	7988	0.004282841924577951	0.4601419	No	
row_18	PTH	PTH	9194	-4.7183737478917465E-5	0.3980094	No	
row_19	NPPC	NPPC	9479	-0.0010206112638115883	0.38364244	No	
row_20	GPHA2	GPHA2	9504	-0.0010961467633023858	0.38270515	No	
row_21	NPPA	NPPA	11051	-0.0066409846767783165	0.30479378	No	
row_22	JAK3	JAK3	11336	-0.007750493008643389	0.2922716	No	
row_23	GNAS	GNAS	12386	-0.012362280860543251	0.24156031	No	
row_24	PSMC5	PSMC5	13925	-0.021641042083501816	0.16817331	No	
row_25	GNRH2	GNRH2	14829	-0.028558453544974327	0.12943137	No	
row_26	GNRH1	GNRH1	14981	-0.030095864087343216	0.12989375	No	
row_27	NPPB	NPPB	15709	-0.037402208894491196	0.1026529	No	
row_28	GH2	GH2	16131	-0.04238780960440636	0.09256004	No	
row_29	GPHB5	GPHB5	16434	-0.04680400341749191	0.08981493	No	
row_30	TYK2	TYK2	16691	-0.05045958608388901	0.09044425	No	
row_31	ADCYAP1	ADCYAP1	17412	-0.06274395436048508	0.0705111	No	
row_32	UCN2	UCN2	18852	-0.12074590474367142	0.029396502	No	
