NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDLIM3	PDLIM3	31	0.3546312153339386	0.21527919	Yes	
row_1	SYNPO2	SYNPO2	172	0.2400248646736145	0.35485408	Yes	
row_2	PALLD	PALLD	228	0.21552219986915588	0.48382384	Yes	
row_3	PDLIM5	PDLIM5	239	0.2106301337480545	0.6121205	Yes	
row_4	PDLIM4	PDLIM4	386	0.172476664185524	0.71007675	Yes	
row_5	PKD2	PKD2	752	0.12445914000272751	0.7673837	Yes	
row_6	PDLIM7	PDLIM7	947	0.1081918254494667	0.8235531	Yes	
row_7	PDLIM1	PDLIM1	4886	0.020633438602089882	0.63326555	No	
row_8	LDB3	LDB3	6338	0.011370593681931496	0.5654563	No	
row_9	NRAP	NRAP	6647	0.00982649251818657	0.555596	No	
row_10	TTN	TTN	7924	0.004543424118310213	0.49262846	No	
row_11	PDLIM2	PDLIM2	11330	-0.0077263847924768925	0.32191044	No	
row_12	PRICKLE4	PRICKLE4	15324	-0.03347531706094742	0.13664253	No	
row_13	MYPN	MYPN	16846	-0.05296313017606735	0.09066265	No	
row_14	PKD2L1	PKD2L1	17678	-0.06870123744010925	0.089859836	No	
