NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD36	CD36	2253	0.055418409407138824	-0.08456605	No	
row_1	DMBT1	DMBT1	3121	0.03948427736759186	-0.10674573	No	
row_2	TRIM5	TRIM5	3584	0.03367224708199501	-0.11135534	No	
row_3	PGLYRP2	PGLYRP2	5913	0.013754080049693584	-0.22356763	No	
row_4	IFIH1	IFIH1	7130	0.007598513271659613	-0.28194383	No	
row_5	TLR3	TLR3	7712	0.0053012860007584095	-0.30888224	No	
row_6	DHX16	DHX16	8016	0.004171430598944426	-0.32212815	No	
row_7	PGLYRP3	PGLYRP3	9088	2.5054297293536365E-4	-0.37721983	No	
row_8	CLEC6A	CLEC6A	11604	-0.008874273858964443	-0.5018612	No	
row_9	NLRP6	NLRP6	12253	-0.011624800972640514	-0.5286461	No	
row_10	NOD1	NOD1	12277	-0.01173565536737442	-0.52313465	No	
row_11	TLR9	TLR9	12985	-0.01560899242758751	-0.5506885	No	
row_12	LY96	LY96	13427	-0.018221065402030945	-0.5630332	No	
row_13	COLEC12	COLEC12	13584	-0.019322915002703667	-0.56005085	No	
row_14	CD14	CD14	15183	-0.032074399292469025	-0.6241593	No	
row_15	MARCO	MARCO	15208	-0.03225245699286461	-0.6069902	No	
row_16	AIM2	AIM2	16306	-0.04496344178915024	-0.63790464	Yes	
row_17	TLR2	TLR2	16374	-0.0459236279129982	-0.6151509	Yes	
row_18	CLEC4E	CLEC4E	16449	-0.046954039484262466	-0.5921702	Yes	
row_19	SCARB1	SCARB1	16528	-0.04816431924700737	-0.56870496	Yes	
row_20	TLR5	TLR5	16983	-0.055404700338840485	-0.5604991	Yes	
row_21	CLEC7A	CLEC7A	17260	-0.060342442244291306	-0.5402951	Yes	
row_22	TLR7	TLR7	17521	-0.06520015746355057	-0.51649374	Yes	
row_23	CARD8	CARD8	17531	-0.06546549499034882	-0.47959602	Yes	
row_24	NLRP1	NLRP1	17536	-0.06558652967214584	-0.4423714	Yes	
row_25	PGLYRP4	PGLYRP4	17930	-0.07578759640455246	-0.4193868	Yes	
row_26	TLR4	TLR4	18004	-0.07840833067893982	-0.3784032	Yes	
row_27	TLR8	TLR8	18283	-0.08760792762041092	-0.3427417	Yes	
row_28	FCN1	FCN1	18882	-0.12353628873825073	-0.3030789	Yes	
row_29	CLEC4D	CLEC4D	18949	-0.12928330898284912	-0.23269935	Yes	
row_30	PTAFR	PTAFR	19010	-0.13627639412879944	-0.15801936	Yes	
row_31	PGLYRP1	PGLYRP1	19175	-0.15657161176204681	-0.077120274	Yes	
row_32	NOD2	NOD2	19177	-0.15736031532287598	0.012635337	Yes	
