NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROR1	ROR1	34	0.34811243414878845	0.15155041	Yes	
row_1	APCDD1L	APCDD1L	298	0.19078202545642853	0.22200578	Yes	
row_2	FZD5	FZD5	528	0.14749737083911896	0.2751525	Yes	
row_3	FZD6	FZD6	568	0.14196448028087616	0.3356605	Yes	
row_4	FZD9	FZD9	620	0.1367408037185669	0.3932492	Yes	
row_5	SFRP1	SFRP1	638	0.13416019082069397	0.4514548	Yes	
row_6	FZD8	FZD8	949	0.10817628353834152	0.4831081	Yes	
row_7	NID1	NID1	1265	0.08839458972215652	0.50579196	Yes	
row_8	FRZB	FRZB	1331	0.08511979877948761	0.53992563	Yes	
row_9	CTHRC1	CTHRC1	1344	0.0847872868180275	0.5766459	Yes	
row_10	RECK	RECK	1453	0.08061253279447556	0.6065772	Yes	
row_11	FZD4	FZD4	1563	0.07596936821937561	0.63441217	Yes	
row_12	RYK	RYK	1686	0.07127144932746887	0.6595078	Yes	
row_13	PORCN	PORCN	1859	0.0657343715429306	0.67958665	Yes	
row_14	FZD3	FZD3	1899	0.06468483805656433	0.7060618	Yes	
row_15	APCDD1	APCDD1	1965	0.06268903613090515	0.73031723	Yes	
row_16	FZD1	FZD1	2546	0.049022819846868515	0.72199696	Yes	
row_17	LRP5	LRP5	2552	0.048922762274742126	0.743284	Yes	
row_18	FZD2	FZD2	4055	0.02841472066938877	0.6783428	No	
row_19	SFRP4	SFRP4	6410	0.010994913056492805	0.5617945	No	
row_20	FZD7	FZD7	6910	0.008623960427939892	0.5398601	No	
row_21	ROR2	ROR2	8288	0.0032230729702860117	0.47027087	No	
row_22	WIF1	WIF1	8558	0.0021580795291811228	0.45734957	No	
row_23	SFRP5	SFRP5	9058	3.529219829943031E-4	0.4317727	No	
row_24	PTPRO	PTPRO	10089	-0.0030894980300217867	0.3800186	No	
row_25	TRABD2B	TRABD2B	10170	-0.0034337013494223356	0.37740535	No	
row_26	WLS	WLS	13107	-0.0161924846470356	0.23313364	No	
row_27	MUSK	MUSK	14630	-0.02701106294989586	0.16654295	No	
row_28	LRP6	LRP6	15334	-0.033558376133441925	0.14506951	No	
row_29	FZD10	FZD10	17105	-0.05742812901735306	0.079085276	No	
row_30	SFRP2	SFRP2	18372	-0.09161362797021866	0.054145943	No	
