NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_I_BAND	GOCC_I_BAND	Details ...	140	0.6778232	2.401146	0.0	0.0	0.0	2571	tags=41%, list=13%, signal=47%	
GOCC_CONTRACTILE_MUSCLE_FIBER	GOCC_CONTRACTILE_MUSCLE_FIBER	Details ...	241	0.628396	2.3315058	0.0	0.0	0.0	2587	tags=39%, list=13%, signal=45%	
GOCC_ACTIN_FILAMENT_BUNDLE	GOCC_ACTIN_FILAMENT_BUNDLE	Details ...	88	0.6975433	2.3017771	0.0	0.0	0.0	1845	tags=42%, list=9%, signal=46%	
GOCC_ACTOMYOSIN	GOCC_ACTOMYOSIN	Details ...	87	0.6922037	2.277737	0.0	0.0	0.0	3335	tags=54%, list=17%, signal=65%	
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	Details ...	158	0.62036616	2.1964774	0.0	0.0	0.0	2072	tags=39%, list=11%, signal=44%	
GOCC_SARCOLEMMA	GOCC_SARCOLEMMA	Details ...	139	0.59859276	2.0653267	0.0	0.002430501	0.015	2529	tags=33%, list=13%, signal=38%	
GOMF_ACTININ_BINDING	GOMF_ACTININ_BINDING	Details ...	37	0.72318566	2.044186	0.0	0.0024979713	0.018	2176	tags=43%, list=11%, signal=49%	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	Details ...	414	0.5187899	2.0246222	0.0	0.0033981605	0.028	2484	tags=33%, list=13%, signal=37%	
GOMF_HORMONE_RECEPTOR_BINDING	GOMF_HORMONE_RECEPTOR_BINDING	Details ...	33	0.72876453	2.0200517	0.0	0.0035578404	0.033	1864	tags=36%, list=10%, signal=40%	
GOMF_WNT_PROTEIN_BINDING	GOMF_WNT_PROTEIN_BINDING	Details ...	31	0.743284	2.0140705	0.0	0.0034916757	0.036	2552	tags=58%, list=13%, signal=67%	
GOMF_ALPHA_ACTININ_BINDING	GOMF_ALPHA_ACTININ_BINDING	Details ...	28	0.7626227	2.0138955	0.0	0.0031742505	0.036	1165	tags=39%, list=6%, signal=42%	
GOBP_CARDIAC_CONDUCTION	GOBP_CARDIAC_CONDUCTION	Details ...	95	0.6003965	1.9991387	0.0	0.0050248425	0.062	1261	tags=21%, list=6%, signal=22%	
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	Details ...	109	0.58205605	1.9958218	0.0	0.005167231	0.069	2661	tags=33%, list=14%, signal=38%	
GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY	GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY	Details ...	66	0.63096994	1.993378	0.0	0.005073787	0.073	2008	tags=33%, list=10%, signal=37%	
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	Details ...	46	0.6751719	1.9767284	0.0	0.007337963	0.108	2747	tags=52%, list=14%, signal=61%	
GOBP_MUSCLE_CONTRACTION	GOBP_MUSCLE_CONTRACTION	Details ...	337	0.51185185	1.9623523	0.0	0.008709981	0.133	1387	tags=20%, list=7%, signal=21%	
GOCC_COSTAMERE	GOCC_COSTAMERE	Details ...	18	0.7970776	1.9464204	0.0	0.010887622	0.171	1570	tags=61%, list=8%, signal=66%	
GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION	GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION	Details ...	34	0.69338906	1.9362093	0.0	0.0123925395	0.2	3105	tags=38%, list=16%, signal=45%	
GOMF_COLLAGEN_BINDING	GOMF_COLLAGEN_BINDING	Details ...	66	0.6217213	1.9312022	0.0	0.012767079	0.218	2534	tags=45%, list=13%, signal=52%	
GOMF_MUSCLE_ALPHA_ACTININ_BINDING	GOMF_MUSCLE_ALPHA_ACTININ_BINDING	Details ...	15	0.8235531	1.9205507	0.0018691589	0.015291468	0.267	947	tags=47%, list=5%, signal=49%	
GOBP_REGULATION_OF_HEART_CONTRACTION	GOBP_REGULATION_OF_HEART_CONTRACTION		199	0.52510333	1.9141812	0.0	0.016513897	0.298	1334	tags=21%, list=7%, signal=22%	
GOBP_MUSCLE_ORGAN_DEVELOPMENT	GOBP_MUSCLE_ORGAN_DEVELOPMENT		336	0.49550226	1.9123774	0.0	0.016644176	0.31	2571	tags=29%, list=13%, signal=33%	
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE		21	0.76797485	1.9089803	0.0	0.016977483	0.329	768	tags=29%, list=4%, signal=30%	
GOCC_FILAMENTOUS_ACTIN	GOCC_FILAMENTOUS_ACTIN		31	0.6933997	1.9067163	0.0018867925	0.016552834	0.334	1698	tags=35%, list=9%, signal=39%	
GOBP_MUSCLE_SYSTEM_PROCESS	GOBP_MUSCLE_SYSTEM_PROCESS		423	0.48818925	1.9058645	0.0	0.01608447	0.337	1982	tags=22%, list=10%, signal=24%	
GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY	GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY		52	0.6292803	1.9013143	0.0	0.017038427	0.368	2008	tags=31%, list=10%, signal=34%	
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH		44	0.65057343	1.8925177	0.0	0.019647596	0.434	1960	tags=43%, list=10%, signal=48%	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE		38	0.668388	1.8896731	0.0	0.020056272	0.452	1241	tags=26%, list=6%, signal=28%	
GOBP_SKELETAL_MUSCLE_ADAPTATION	GOBP_SKELETAL_MUSCLE_ADAPTATION		22	0.7425812	1.8835496	0.0	0.021477055	0.487	3340	tags=55%, list=17%, signal=66%	
GOMF_WNT_RECEPTOR_ACTIVITY	GOMF_WNT_RECEPTOR_ACTIVITY		17	0.7816033	1.8831582	0.0	0.020826379	0.488	2552	tags=71%, list=13%, signal=81%	
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING		33	0.6841523	1.8830407	0.0	0.020186136	0.488	1041	tags=30%, list=5%, signal=32%	
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION		81	0.5778512	1.8794812	0.0	0.020798847	0.51	2661	tags=27%, list=14%, signal=31%	
GOMF_ALCOHOL_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	GOMF_ALCOHOL_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY		24	0.72500074	1.8773566	0.0	0.021082425	0.528	1250	tags=33%, list=6%, signal=36%	
GOCC_ADHERENS_JUNCTION	GOCC_ADHERENS_JUNCTION		183	0.5191918	1.8739114	0.0	0.021837272	0.547	3187	tags=34%, list=16%, signal=40%	
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM	GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM		36	0.6694388	1.871848	0.0	0.022073528	0.563	1029	tags=25%, list=5%, signal=26%	
GOCC_BASEMENT_MEMBRANE	GOCC_BASEMENT_MEMBRANE		91	0.5680964	1.8681829	0.0	0.02248416	0.579	2747	tags=42%, list=14%, signal=48%	
GOBP_INTRACELLULAR_POTASSIUM_ION_HOMEOSTASIS	GOBP_INTRACELLULAR_POTASSIUM_ION_HOMEOSTASIS		15	0.7903395	1.8676478	0.0	0.022058342	0.584	1534	tags=40%, list=8%, signal=43%	
