NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE	GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE	Details ...	58	-0.68009186	-2.2580512	0.0	0.0	0.0	1907	tags=36%, list=10%, signal=40%	
GOBP_RESPONSE_TO_FUNGUS	GOBP_RESPONSE_TO_FUNGUS	Details ...	66	-0.62883985	-2.1279337	0.0	0.001027985	0.002	2488	tags=44%, list=13%, signal=50%	
GOCC_TERTIARY_GRANULE_MEMBRANE	GOCC_TERTIARY_GRANULE_MEMBRANE	Details ...	69	-0.62104654	-2.0587823	0.0	0.0069099492	0.02	2325	tags=41%, list=12%, signal=46%	
GOCC_TERTIARY_GRANULE	GOCC_TERTIARY_GRANULE	Details ...	157	-0.5396721	-2.0323272	0.0	0.00877986	0.034	2553	tags=34%, list=13%, signal=39%	
GOBP_DEFENSE_RESPONSE_TO_FUNGUS	GOBP_DEFENSE_RESPONSE_TO_FUNGUS	Details ...	55	-0.62752646	-2.0168612	0.0	0.010151521	0.049	2488	tags=44%, list=13%, signal=50%	
GOCC_SPECIFIC_GRANULE_MEMBRANE	GOCC_SPECIFIC_GRANULE_MEMBRANE	Details ...	88	-0.57517505	-2.0029993	0.0	0.011231995	0.064	2553	tags=39%, list=13%, signal=44%	
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	Details ...	41	-0.6525988	-1.9971384	0.0	0.01038229	0.069	2238	tags=44%, list=12%, signal=50%	
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	Details ...	72	-0.5775237	-1.9785779	0.0	0.012851447	0.093	4254	tags=57%, list=22%, signal=73%	
GOBP_DETECTION_OF_OTHER_ORGANISM	GOBP_DETECTION_OF_OTHER_ORGANISM	Details ...	19	-0.7716055	-1.962729	0.0	0.01706367	0.137	2164	tags=53%, list=11%, signal=59%	
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	Details ...	215	-0.49047932	-1.9530412	0.0	0.01838701	0.162	3050	tags=36%, list=16%, signal=42%	
GOMF_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY	GOMF_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY	Details ...	33	-0.66356575	-1.9473526	0.0	0.019169582	0.185	3118	tags=52%, list=16%, signal=61%	
GOCC_SECONDARY_LYSOSOME	GOCC_SECONDARY_LYSOSOME	Details ...	23	-0.7247376	-1.945665	0.0	0.018004369	0.187	1983	tags=43%, list=10%, signal=48%	
GOBP_RESPONSE_TO_PROTOZOAN	GOBP_RESPONSE_TO_PROTOZOAN	Details ...	29	-0.6857223	-1.9304136	0.0	0.020777846	0.234	2340	tags=52%, list=12%, signal=59%	
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	Details ...	241	-0.48275378	-1.9098514	0.0	0.028403435	0.326	3206	tags=36%, list=17%, signal=43%	
GOBP_NEGATIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION	Details ...	39	-0.6290656	-1.9061599	0.0022675737	0.0284545	0.345	2298	tags=46%, list=12%, signal=52%	
GOBP_DETECTION_OF_BACTERIUM	GOBP_DETECTION_OF_BACTERIUM	Details ...	16	-0.78441656	-1.9004655	0.0	0.02948032	0.372	1780	tags=50%, list=9%, signal=55%	
GOBP_REGULATION_OF_LEUKOCYTE_DEGRANULATION	GOBP_REGULATION_OF_LEUKOCYTE_DEGRANULATION	Details ...	44	-0.6100743	-1.8917062	0.0	0.031962797	0.416	1243	tags=30%, list=6%, signal=31%	
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	Details ...	37	-0.6256717	-1.8856866	0.0	0.033057395	0.446	4298	tags=54%, list=22%, signal=69%	
GOCC_CANONICAL_INFLAMMASOME_COMPLEX	GOCC_CANONICAL_INFLAMMASOME_COMPLEX	Details ...	17	-0.7591964	-1.8708943	0.0	0.039177746	0.521	3118	tags=71%, list=16%, signal=84%	
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	75	-0.55047673	-1.8671179	0.0	0.0394465	0.547	3647	tags=45%, list=19%, signal=56%	
GOCC_SPECIFIC_GRANULE	GOCC_SPECIFIC_GRANULE		156	-0.48484287	-1.8552998	0.0	0.045981012	0.616	2553	tags=35%, list=13%, signal=40%	
GOBP_KILLING_BY_HOST_OF_SYMBIONT_CELLS	GOBP_KILLING_BY_HOST_OF_SYMBIONT_CELLS		27	-0.672496	-1.8466446	0.0021231424	0.050079606	0.655	1391	tags=26%, list=7%, signal=28%	
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE		99	-0.5124133	-1.839645	0.0	0.053543255	0.696	1940	tags=23%, list=10%, signal=26%	
GOBP_POSITIVE_REGULATION_OF_B_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_B_CELL_DIFFERENTIATION		17	-0.74775285	-1.8316228	0.0021367522	0.05788422	0.743	3147	tags=65%, list=16%, signal=77%	
GOBP_INTERLEUKIN_1_PRODUCTION	GOBP_INTERLEUKIN_1_PRODUCTION		106	-0.50109637	-1.8199401	0.0	0.06574407	0.798	2238	tags=37%, list=12%, signal=41%	
GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE		20	-0.6940562	-1.8175079	0.0	0.06597421	0.82	2689	tags=40%, list=14%, signal=46%	
GOBP_FEMALE_GENITALIA_DEVELOPMENT	GOBP_FEMALE_GENITALIA_DEVELOPMENT		18	-0.71159136	-1.790519	0.004347826	0.09418447	0.912	2288	tags=39%, list=12%, signal=44%	
GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND	GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND		33	-0.59771156	-1.7875553	0.0022123894	0.0952349	0.922	2089	tags=30%, list=11%, signal=34%	
GOBP_REGULATION_OF_LYSOSOMAL_LUMEN_PH	GOBP_REGULATION_OF_LYSOSOMAL_LUMEN_PH		31	-0.627447	-1.7861539	0.0	0.093664154	0.926	4200	tags=48%, list=22%, signal=62%	
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE		137	-0.46903953	-1.7756957	0.0	0.10451986	0.955	3145	tags=29%, list=16%, signal=35%	
GOBP_REGULATION_OF_PHAGOCYTOSIS	GOBP_REGULATION_OF_PHAGOCYTOSIS		95	-0.5063271	-1.7750796	0.0	0.102085456	0.957	3619	tags=42%, list=19%, signal=51%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION		58	-0.54160464	-1.7743977	0.0	0.09951209	0.957	2164	tags=41%, list=11%, signal=46%	
GOBP_REGULATION_OF_B_CELL_ACTIVATION	GOBP_REGULATION_OF_B_CELL_ACTIVATION		125	-0.4765353	-1.7701116	0.0	0.102380626	0.964	3738	tags=34%, list=19%, signal=42%	
GOBP_SEQUESTERING_OF_TRIGLYCERIDE	GOBP_SEQUESTERING_OF_TRIGLYCERIDE		17	-0.6924295	-1.763912	0.0063829785	0.10827787	0.976	1513	tags=41%, list=8%, signal=45%	
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION		34	-0.5899442	-1.7589144	0.004415011	0.112041526	0.978	3227	tags=47%, list=17%, signal=56%	
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA		18	-0.6931043	-1.7537661	0.0	0.11634369	0.984	807	tags=39%, list=4%, signal=41%	
GOBP_B_CELL_PROLIFERATION	GOBP_B_CELL_PROLIFERATION		103	-0.4850404	-1.7520008	0.0026809652	0.116318524	0.988	3615	tags=33%, list=19%, signal=40%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION		69	-0.5252881	-1.7512014	0.0	0.114461035	0.988	2164	tags=36%, list=11%, signal=41%	
GOMF_PEPTIDOGLYCAN_MURALYTIC_ACTIVITY	GOMF_PEPTIDOGLYCAN_MURALYTIC_ACTIVITY		15	-0.7252499	-1.7468005	0.0042643924	0.117503494	0.991	2476	tags=27%, list=13%, signal=31%	
GOBP_NEUTROPHIL_MIGRATION	GOBP_NEUTROPHIL_MIGRATION		101	-0.48326394	-1.7457087	0.0	0.11628601	0.993	1228	tags=25%, list=6%, signal=26%	
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS		27	-0.63460976	-1.7358449	0.0	0.1276154	0.997	2238	tags=44%, list=12%, signal=50%	
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS		24	-0.63567287	-1.7358298	0.004524887	0.12457693	0.997	1790	tags=42%, list=9%, signal=46%	
GOBP_DICARBOXYLIC_ACID_CATABOLIC_PROCESS	GOBP_DICARBOXYLIC_ACID_CATABOLIC_PROCESS		17	-0.68388295	-1.7329091	0.008163265	0.12601131	0.998	1794	tags=29%, list=9%, signal=32%	
GOCC_SECRETORY_GRANULE_MEMBRANE	GOCC_SECRETORY_GRANULE_MEMBRANE		304	-0.42118183	-1.7316477	0.0	0.12496672	0.998	2388	tags=28%, list=12%, signal=31%	
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE		138	-0.4634261	-1.7311878	0.0	0.12272018	0.998	3788	tags=42%, list=20%, signal=52%	
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION	GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION		24	-0.627095	-1.7264915	0.0021834061	0.12754661	1.0	4200	tags=50%, list=22%, signal=64%	
GOBP_LYMPHOCYTE_HOMEOSTASIS	GOBP_LYMPHOCYTE_HOMEOSTASIS		74	-0.51355463	-1.7254295	0.0	0.12646882	1.0	3491	tags=39%, list=18%, signal=48%	
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		210	-0.43490642	-1.7248812	0.0	0.12442058	1.0	3745	tags=32%, list=19%, signal=40%	
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION	GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION		156	-0.4526024	-1.7248209	0.0	0.12196667	1.0	3080	tags=35%, list=16%, signal=41%	
GOBP_RESPIRATORY_BURST	GOBP_RESPIRATORY_BURST		35	-0.580642	-1.7246661	0.0022172949	0.11981505	1.0	2325	tags=51%, list=12%, signal=58%	
