NAME	TITLE	SCORE	
CSH1	CSH1	0.57370186	
GH1	GH1	0.52652144	
CSH2	CSH2	0.46394554	
CNN1	CNN1	0.46213165	
PTGIS	PTGIS	0.44742817	
CSHL1	CSHL1	0.44556594	
SLC25A18	SLC25A18	0.43556976	
CORIN	CORIN	0.43464917	
MYLK	MYLK	0.4272156	
RAB40A	RAB40A	0.4238226	
RYR3	RYR3	0.42330593	
PTCHD1	PTCHD1	0.42201248	
OLFML2A	OLFML2A	0.42148104	
SERPINA5	SERPINA5	0.41731378	
UNC5A	UNC5A	0.4122217	
LVRN	LVRN	0.4100945	
SCG2	SCG2	0.40852928	
SCGB2A1	SCGB2A1	0.40814403	
SCGB1D4	SCGB1D4	0.39650744	
SCRG1	SCRG1	0.39545867	
PRG4	PRG4	0.39360848	
AOC1	AOC1	0.39292982	
CBLN1	CBLN1	0.39193553	
IGF1	IGF1	0.37521526	
FABP3	FABP3	0.37143806	
CHRDL2	CHRDL2	0.36623365	
KCNE4	KCNE4	0.36500564	
ISM2	ISM2	0.36120453	
PRG2	PRG2	0.36016503	
BEND6	BEND6	0.3588241	
GSTM1	GSTM1	0.35571072	
PDLIM3	PDLIM3	0.35463122	
PSG3	PSG3	0.35295385	
CDH13	CDH13	0.3529324	
ROR1	ROR1	0.34811243	
C7	C7	0.34760308	
S100P	S100P	0.34621742	
MYH11	MYH11	0.34620634	
SERPINE2	SERPINE2	0.34563023	
ENPP3	ENPP3	0.3456238	
LINC00890	LINC00890	0.3454277	
REEP1	REEP1	0.344139	
LINGO2	LINGO2	0.34286326	
PIPOX	PIPOX	0.34073648	
NEXN	NEXN	0.34065717	
FILIP1	FILIP1	0.34030494	
OLFM4	OLFM4	0.33831024	
MMP12	MMP12	0.33805415	
VAT1L	VAT1L	0.33722138	
INMT	INMT	0.33632323	
ADH1A	ADH1A	0.3360985	
DES	DES	0.3350934	
PRKAR1B	PRKAR1B	0.3336891	
FHL5	FHL5	0.33308375	
STAB2	STAB2	0.33231387	
SLC7A3	SLC7A3	0.33222872	
CORO6	CORO6	0.33144444	
NOTUM	NOTUM	0.33081537	
LAIR2	LAIR2	0.33014587	
ERP27	ERP27	0.32962257	
MT1G	MT1G	0.3292733	
MRGPRF	MRGPRF	0.32893097	
DACT3	DACT3	0.3283936	
G0S2	G0S2	0.32705566	
ASCL2	ASCL2	0.32491335	
FAM46B	FAM46B	0.32430726	
HSPB3	HSPB3	0.32258308	
PODN	PODN	0.31896454	
MFAP5	MFAP5	0.31747776	
C3orf70	C3orf70	0.31628484	
MSRB3	MSRB3	0.31412116	
FHOD3	FHOD3	0.31405324	
GCM1	GCM1	0.31377178	
SLC8A2	SLC8A2	0.3122073	
EBI3	EBI3	0.3114774	
