NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX5A	COX5A	5534	0.016043709591031075	-0.23087592	No	
row_1	COX6A2	COX6A2	6453	0.010746357031166553	-0.24181408	No	
row_2	COX5B	COX5B	6929	0.008529790677130222	-0.23742533	No	
row_3	COX7C	COX7C	7407	0.006418557837605476	-0.24028428	No	
row_4	COX4I2	COX4I2	7440	0.006285255774855614	-0.2206633	No	
row_5	COX7B	COX7B	8354	0.0029576097149401903	-0.25770172	No	
row_6	COX6B1	COX6B1	8632	0.0018573192646726966	-0.2656903	No	
row_7	COX7A2	COX7A2	10165	-0.0034222581889480352	-0.33305368	No	
row_8	COX6B2	COX6B2	10451	-0.004463401157408953	-0.33263522	No	
row_9	COX6A1	COX6A1	11244	-0.007394526619464159	-0.3484235	No	
row_10	COX4I1	COX4I1	13577	-0.019278986379504204	-0.40335038	Yes	
row_11	GSTO1	GSTO1	14048	-0.02245740033686161	-0.3515715	Yes	
row_12	COX8A	COX8A	14318	-0.02444019913673401	-0.282725	Yes	
row_13	COX6C	COX6C	14647	-0.02713698148727417	-0.20779258	Yes	
row_14	COX8C	COX8C	15456	-0.03483809158205986	-0.13153341	Yes	
row_15	AS3MT	AS3MT	16162	-0.04289667680859566	-0.022695513	Yes	
row_16	COX7A1	COX7A1	17048	-0.05633196234703064	0.12233332	Yes	
