NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTM1	GSTM1	30	0.3557107150554657	0.17834349	Yes	
row_1	GSTT1	GSTT1	173	0.23998668789863586	0.2923899	Yes	
row_2	GSTM5	GSTM5	187	0.23358026146888733	0.40984592	Yes	
row_3	CYP1B1	CYP1B1	384	0.1725764274597168	0.4870181	Yes	
row_4	GSTM3	GSTM3	712	0.12793634831905365	0.53486234	Yes	
row_5	GSTM2	GSTM2	1029	0.10158995538949966	0.56994975	Yes	
row_6	GSTM4	GSTM4	2166	0.05774589255452156	0.54059625	No	
row_7	MGST3	MGST3	3457	0.03527896851301193	0.49194267	No	
row_8	MGST1	MGST1	5118	0.01886170729994774	0.4159144	No	
row_9	GSTO2	GSTO2	6339	0.011365175247192383	0.3587754	No	
row_10	CYP1A1	CYP1A1	10935	-0.006225770339369774	0.12506822	No	
row_11	GSTA5	GSTA5	11869	-0.009927138686180115	0.08199579	No	
row_12	GSTP1	GSTP1	11884	-0.009991340339183807	0.08632696	No	
row_13	MGST2	MGST2	13723	-0.02023899368941784	0.001819948	No	
row_14	GSTO1	GSTO1	14048	-0.02245740033686161	-0.0035239344	No	
row_15	AHR	AHR	14922	-0.02941727451980114	-0.03364704	No	
row_16	GSTA3	GSTA3	17051	-0.05636309087276459	-0.11483384	No	
row_17	GSTA4	GSTA4	17278	-0.06066913902759552	-0.09580175	No	
row_18	GSTT2B	GSTT2B	17568	-0.06623681634664536	-0.077201396	No	
row_19	ARNT	ARNT	18018	-0.07886343449354172	-0.06046294	No	
row_20	GSTT2	GSTT2	18079	-0.08060483634471893	-0.022792274	No	
row_21	GSTA1	GSTA1	18082	-0.08069956302642822	0.017915985	No	
row_22	GSTA2	GSTA2	18557	-0.10105360299348831	0.044587787	No	
