NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBB2A	TUBB2A	569	0.14193272590637207	0.100955985	No	
row_1	TUBB6	TUBB6	858	0.11476974934339523	0.19146295	No	
row_2	TUBA1A	TUBA1A	3447	0.03544433414936066	0.09059019	No	
row_3	TUBB	TUBB	3659	0.032894037663936615	0.10990848	No	
row_4	TUBA1C	TUBA1C	4242	0.02668577991425991	0.10440319	No	
row_5	KIF5C	KIF5C	5798	0.014495312236249447	0.037550412	No	
row_6	KIF5B	KIF5B	6781	0.009221477434039116	-0.0046058847	No	
row_7	TUBB4A	TUBB4A	7649	0.005571662448346615	-0.044184394	No	
row_8	KLC4	KLC4	7838	0.004818999208509922	-0.049452007	No	
row_9	TUBA1B	TUBA1B	8476	0.0024670641869306564	-0.08002411	No	
row_10	KLC1	KLC1	9257	-2.7058253181166947E-4	-0.119983986	No	
row_11	TUBB8	TUBB8	9300	-3.695647756103426E-4	-0.1218098	No	
row_12	TUBA8	TUBA8	11394	-0.008038276806473732	-0.22232321	No	
row_13	KIF5A	KIF5A	11411	-0.008088869042694569	-0.2157228	No	
row_14	PLEKHM2	PLEKHM2	12162	-0.011237128637731075	-0.24406946	No	
row_15	TUBB4B	TUBB4B	12446	-0.012649323791265488	-0.24704637	No	
row_16	KLC2	KLC2	14138	-0.023038046434521675	-0.313068	No	
row_17	TUBB2B	TUBB2B	14398	-0.025156689807772636	-0.30332658	No	
row_18	TUBB3	TUBB3	15077	-0.03105594590306282	-0.30976897	No	
row_19	TUBA3D	TUBA3D	17398	-0.06255286931991577	-0.37194225	Yes	
row_20	TUBB1	TUBB1	18579	-0.1024346873164177	-0.33874002	Yes	
row_21	TUBA4A	TUBA4A	18940	-0.1281176507472992	-0.23969188	Yes	
row_22	KLC3	KLC3	19024	-0.13738061487674713	-0.11786169	Yes	
row_23	TUBA3E	TUBA3E	19125	-0.15069057047367096	0.015310069	Yes	
