NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBB2A	TUBB2A	569	0.14193272590637207	0.10231544	No	
row_1	TUBB6	TUBB6	858	0.11476974934339523	0.19392122	No	
row_2	TUBA1A	TUBA1A	3447	0.03544433414936066	0.093394466	No	
row_3	TUBB	TUBB	3659	0.032894037663936615	0.11302803	No	
row_4	TUBA1C	TUBA1C	4242	0.02668577991425991	0.10777961	No	
row_5	KIF5C	KIF5C	5798	0.014495312236249447	0.041069645	No	
row_6	KIF5B	KIF5B	6781	0.009221477434039116	-9.958114E-4	No	
row_7	TUBB4A	TUBB4A	7649	0.005571662448346615	-0.04051871	No	
row_8	KLC4	KLC4	7838	0.004818999208509922	-0.045739714	No	
row_9	TUBA1B	TUBA1B	8476	0.0024670641869306564	-0.07628652	No	
row_10	KLC1	KLC1	9257	-2.7058253181166947E-4	-0.11624173	No	
row_11	TUBB8	TUBB8	9300	-3.695647756103426E-4	-0.118063904	No	
row_12	TUBA8	TUBA8	11394	-0.008038276806473732	-0.21849485	No	
row_13	KIF5A	KIF5A	11411	-0.008088869042694569	-0.211817	No	
row_14	TUBB4B	TUBB4B	12446	-0.012649323791265488	-0.2533835	No	
row_15	KLC2	KLC2	14138	-0.023038046434521675	-0.3191802	No	
row_16	TUBB2B	TUBB2B	14398	-0.025156689807772636	-0.3091974	No	
row_17	TUBB3	TUBB3	15077	-0.03105594590306282	-0.31534088	No	
row_18	TUBA3D	TUBA3D	17398	-0.06255286931991577	-0.3769095	Yes	
row_19	TUBB1	TUBB1	18579	-0.1024346873164177	-0.3427241	Yes	
row_20	TUBA4A	TUBA4A	18940	-0.1281176507472992	-0.24244922	Yes	
row_21	KLC3	KLC3	19024	-0.13738061487674713	-0.119304426	Yes	
row_22	TUBA3E	TUBA3E	19125	-0.15069057047367096	0.015309328	Yes	
