NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBB2A	TUBB2A	569	0.14193272590637207	0.07092051	No	
row_1	TUBB6	TUBB6	858	0.11476974934339523	0.13714428	No	
row_2	TUBA1A	TUBA1A	3447	0.03544433414936066	0.02871236	No	
row_3	TUBB	TUBB	3659	0.032894037663936615	0.041067798	No	
row_4	TUBA1C	TUBA1C	4242	0.02668577991425991	0.02990396	No	
row_5	KIF5C	KIF5C	5798	0.014495312236249447	-0.040052097	No	
row_6	KIF5B	KIF5B	6781	0.009221477434039116	-0.084182434	No	
row_7	TUBB4A	TUBB4A	7649	0.005571662448346615	-0.124960214	No	
row_8	KLC4	KLC4	7838	0.004818999208509922	-0.13125165	No	
row_9	KXD1	KXD1	8193	0.0035003963857889175	-0.1470357	No	
row_10	TUBA1B	TUBA1B	8476	0.0024670641869306564	-0.15983647	No	
row_11	KLC1	KLC1	9257	-2.7058253181166947E-4	-0.19987224	No	
row_12	TUBB8	TUBB8	9300	-3.695647756103426E-4	-0.20177723	No	
row_13	TUBA8	TUBA8	11394	-0.008038276806473732	-0.304041	No	
row_14	KIF5A	KIF5A	11411	-0.008088869042694569	-0.29915196	No	
row_15	BLOC1S2	BLOC1S2	11747	-0.009396782144904137	-0.30979073	No	
row_16	BORCS7	BORCS7	12060	-0.01073931809514761	-0.3182949	No	
row_17	PLEKHM2	PLEKHM2	12162	-0.011237128637731075	-0.31556556	No	
row_18	TUBB4B	TUBB4B	12446	-0.012649323791265488	-0.32122484	No	
row_19	ARL8A	ARL8A	13822	-0.020873581990599632	-0.37739196	No	
row_20	KLC2	KLC2	14138	-0.023038046434521675	-0.37736267	No	
row_21	TUBB2B	TUBB2B	14398	-0.025156689807772636	-0.37294865	No	
row_22	TUBB3	TUBB3	15077	-0.03105594590306282	-0.38597625	No	
row_23	ARL8B	ARL8B	15691	-0.0371280238032341	-0.39136216	Yes	
row_24	BLOC1S1	BLOC1S1	16007	-0.04084485024213791	-0.3787536	Yes	
row_25	BORCS6	BORCS6	16116	-0.042235586792230606	-0.354487	Yes	
row_26	TUBA3D	TUBA3D	17398	-0.06255286931991577	-0.37636277	Yes	
row_27	BORCS5	BORCS5	17485	-0.06432884186506271	-0.3353542	Yes	
row_28	SNAPIN	SNAPIN	18488	-0.09713936597108841	-0.3184082	Yes	
row_29	TUBB1	TUBB1	18579	-0.1024346873164177	-0.25068682	Yes	
row_30	TUBA4A	TUBA4A	18940	-0.1281176507472992	-0.17874694	Yes	
row_31	KLC3	KLC3	19024	-0.13738061487674713	-0.08597771	Yes	
row_32	TUBA3E	TUBA3E	19125	-0.15069057047367096	0.015317331	Yes	
