NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB7B	RAB7B	611	0.1383494883775711	0.14838359	No	
row_1	MAP1LC3B2	MAP1LC3B2	4131	0.027770036831498146	0.0031608597	No	
row_2	BIRC6	BIRC6	4411	0.024862071499228477	0.021107584	No	
row_3	MAP1LC3A	MAP1LC3A	7810	0.00491038104519248	-0.14759994	No	
row_4	VPS39	VPS39	10389	-0.0042649428360164165	-0.2748938	No	
row_5	RAB7A	RAB7A	10577	-0.004944760352373123	-0.27810085	No	
row_6	TECPR2	TECPR2	12566	-0.013222068548202515	-0.36334822	No	
row_7	VPS16	VPS16	12664	-0.013796435669064522	-0.35040978	No	
row_8	VPS41	VPS41	15051	-0.03086673840880394	-0.43322548	Yes	
row_9	VPS33A	VPS33A	15928	-0.039833251386880875	-0.42657694	Yes	
row_10	PLEKHM1	PLEKHM1	16437	-0.04683898389339447	-0.3918581	Yes	
row_11	MAP1LC3B	MAP1LC3B	16601	-0.049066223204135895	-0.33646652	Yes	
row_12	VPS11	VPS11	16815	-0.0524429976940155	-0.2792612	Yes	
row_13	VPS18	VPS18	18101	-0.0810604989528656	-0.24008833	Yes	
row_14	MAP1LC3C	MAP1LC3C	18753	-0.11372055858373642	-0.12578574	Yes	
row_15	EPG5	EPG5	18875	-0.12322673201560974	0.028185498	Yes	
