NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1H	CACNA1H	86	0.2998230457305908	0.3503936	Yes	
row_1	CACNA1C	CACNA1C	724	0.12703557312488556	0.46789604	Yes	
row_2	CACNB2	CACNB2	1911	0.06440338492393494	0.4829742	Yes	
row_3	CACNB3	CACNB3	2334	0.05385371670126915	0.5249528	Yes	
row_4	CACNA2D1	CACNA2D1	4187	0.027192959561944008	0.4616607	No	
row_5	CACNA2D2	CACNA2D2	5873	0.01398959569633007	0.39135215	No	
row_6	CACNG6	CACNG6	6528	0.010367905721068382	0.3699073	No	
row_7	CACNG1	CACNG1	6930	0.008515845984220505	0.35931316	No	
row_8	CACNG4	CACNG4	7782	0.0050481329672038555	0.32141688	No	
row_9	CACNG2	CACNG2	8231	0.003403277834877372	0.30234936	No	
row_10	CACNB4	CACNB4	8302	0.003186079440638423	0.30251133	No	
row_11	CACNB1	CACNB1	8790	0.0012839070986956358	0.2789251	No	
row_12	CACNA1A	CACNA1A	9070	3.1959451735019684E-4	0.26492038	No	
row_13	CACNG3	CACNG3	9141	8.905178401619196E-5	0.26141715	No	
row_14	CACNA1S	CACNA1S	9559	-0.001265273429453373	0.24141748	No	
row_15	CACNA1B	CACNA1B	10346	-0.004130168817937374	0.20578572	No	
row_16	CACNG7	CACNG7	10561	-0.004867712035775185	0.20051436	No	
row_17	CACNA2D4	CACNA2D4	10820	-0.005818809382617474	0.19410032	No	
row_18	CACNA1I	CACNA1I	12121	-0.011026281863451004	0.14013222	No	
row_19	CACNA1F	CACNA1F	12306	-0.011836525984108448	0.14465469	No	
row_20	CACNA1D	CACNA1D	12712	-0.01407440472394228	0.14043269	No	
row_21	CACNG5	CACNG5	13719	-0.020230984315276146	0.11251412	No	
row_22	CACNA1E	CACNA1E	13818	-0.020851319655776024	0.13213865	No	
row_23	CACNA1G	CACNA1G	14878	-0.029023773968219757	0.11189372	No	
row_24	CACNA2D3	CACNA2D3	18597	-0.10334637016057968	0.042530242	No	
