NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASQ2	CASQ2	93	0.29331734776496887	0.26003864	Yes	
row_1	CASQ1	CASQ1	132	0.26306772232055664	0.49560007	Yes	
row_2	CACNA1C	CACNA1C	724	0.12703557312488556	0.57983786	Yes	
row_3	ASPH	ASPH	1792	0.06778915971517563	0.5860494	Yes	
row_4	CACNB2	CACNB2	1911	0.06440338492393494	0.6381164	Yes	
row_5	CACNB3	CACNB3	2334	0.05385371670126915	0.6649898	Yes	
row_6	CACNA2D1	CACNA2D1	4187	0.027192959561944008	0.59408784	No	
row_7	RYR2	RYR2	5504	0.016237536445260048	0.54092044	No	
row_8	CACNA2D2	CACNA2D2	5873	0.01398959569633007	0.53458434	No	
row_9	CACNG6	CACNG6	6528	0.010367905721068382	0.51023746	No	
row_10	CACNG1	CACNG1	6930	0.008515845984220505	0.49725834	No	
row_11	CACNG4	CACNG4	7782	0.0050481329672038555	0.45795476	No	
row_12	CACNG2	CACNG2	8231	0.003403277834877372	0.43793714	No	
row_13	CACNB4	CACNB4	8302	0.003186079440638423	0.4372059	No	
row_14	CACNB1	CACNB1	8790	0.0012839070986956358	0.41326463	No	
row_15	CACNG3	CACNG3	9141	8.905178401619196E-5	0.39530566	No	
row_16	CACNG7	CACNG7	10561	-0.004867712035775185	0.32656386	No	
row_17	CACNA2D4	CACNA2D4	10820	-0.005818809382617474	0.31851998	No	
row_18	TRDN	TRDN	12787	-0.014515138231217861	0.23029572	No	
row_19	CACNG5	CACNG5	13719	-0.020230984315276146	0.20057724	No	
row_20	CACNA2D3	CACNA2D3	18597	-0.10334637016057968	0.042521328	No	
